crop,subsidy
AG,0.0
AN_NU,0.0
AN_PA,0.0
BA_INT,23589869.139999997
BA_IRR,3654467.98
BA_PER,2845584.0
BA_SINT,1982004.8399999999
BC_BT,0.0
CS_BT_NIM,11435755.271714287
CS_BT_NISM,11719.575131428574
CS_CGT_NIM,2386861.7714
CS_CGT_NISM,8619.99144
CS_EGT_NIM,5805847.993785715
CS_EGT_NISM,309928.0103542857
CS_MG_NISM,6235952.460342859
CS_NGT_NIM,10124958.416571429
CS_NGT_NISM,1291997.0358857142
CS_SBT_NIM,1063451.997
IG_PLA,0.0
IG_TUT,0.0
JA,83608.0
MA_ROTA,0.0
MA_TO_CO_JA,0.0
ME,0.0
PN_PIQ,2948874.5
VE_BTGT,0.0
