crop,observed_ha,simulated_ha,abs_deviation_ha,pad_pct,within_threshold
AG,100.84,9.91,90.93,90.17255057516859,False
AN,132.67000000000002,461.22,328.55,247.64453154443353,False
BA,1920.8,2046.97,126.17000000000007,6.568617242815497,True
BC,147.21,246.6,99.38999999999999,67.51579376401058,False
CS,12812.93,12782.44,30.48999999999978,0.23796274544541943,True
IG,145.42,258.66,113.24000000000004,77.87099436116081,False
JA,621.47,418.13,203.34000000000003,32.719198030476136,False
MA,1086.97,1148.89,61.92000000000007,5.696569362539911,True
ME,189.36,4.25,185.11,97.7555978031263,False
PN,6109.43,6096.03,13.400000000000546,0.2193330638046519,True
VE,310.89,8.03,302.86,97.41709286242722,False
TOTAL,23577.99,23481.129999999997,1555.4000000000005,6.596830348982252,True
