region,crop,observed_ha,simulated_ha,abs_deviation_ha,pad_pct,within_threshold
1,AG,1.42,0.0,1.42,100.0,False
1,AN,0.9299999999999999,22.46,21.53,2315.05376344086,False
1,BA,8.63,38.46,29.83,345.6546929316338,False
1,BC,6.83,0.14,6.69,97.9502196193265,False
1,CS,775.8,801.81,26.00999999999999,3.3526682134570756,True
1,IG,20.33,2.79,17.54,86.27643876045254,False
1,JA,23.62,7.5,16.12,68.24724809483489,False
1,MA,40.6,32.68,7.920000000000002,19.50738916256158,True
1,PN,604.53,590.37,14.159999999999968,2.3423155178403006,True
1,VE,17.67,0.75,16.92,95.75551782682513,False
1,TOTAL,1500.3600000000001,1496.96,158.14,10.540137033778558,True
2,AG,1.4100000000000001,0.0,1.4100000000000001,99.99999999999999,False
2,AN,1.73,0.0,1.73,100.0,False
2,BA,1.32,129.68,128.36,9724.242424242426,False
2,BC,18.47,1.7,16.77,90.79588521927451,False
2,CS,2151.11,2158.67,7.559999999999945,0.3514464625239967,True
2,IG,36.1,74.63,38.529999999999994,106.73130193905816,False
2,JA,52.29,41.28,11.009999999999998,21.0556511761331,False
2,MA,367.53,309.32,58.20999999999998,15.838162871058142,True
2,ME,10.03,1.69,8.34,83.1505483549352,False
2,PN,1725.19,1663.24,61.950000000000045,3.590908827433503,True
2,VE,38.54,1.98,36.56,94.86248053969902,False
2,TOTAL,4403.72,4382.19,370.42999999999995,8.41175188249934,True
3,AG,0.62,0.0,0.62,100.0,False
3,BA,159.43,283.42,123.99000000000001,77.77080850530012,False
3,BC,4.07,1.7600000000000002,2.31,56.75675675675675,False
3,CS,4019.76,4138.72,118.96000000000004,2.959380659541864,True
3,IG,38.81,146.31,107.5,276.9904663746457,False
3,JA,219.81,65.28,154.53,70.30162412993039,False
3,MA,176.24,175.76,0.4800000000000182,0.27235587834771796,True
3,ME,179.33,2.56,176.77,98.5724641721965,False
3,PN,1298.81,1291.54,7.269999999999982,0.5597431494983857,True
3,VE,51.76,4.32,47.44,91.65378670788253,False
3,TOTAL,6148.639999999999,6109.67,739.8700000000001,12.033067475083925,True
4,AG,14.95,0.0,14.95,100.0,False
4,AN,121.55,366.06,244.51,201.1600164541341,False
4,BA,102.1,144.67,42.56999999999999,41.694417238001954,False
4,BC,27.34,2.27,25.07,91.69714703730797,False
4,CS,3256.9,3134.22,122.68000000000029,3.766772083883456,True
4,IG,32.25,0.11,32.14,99.65891472868218,False
4,JA,69.72,40.89,28.83,41.351118760757316,False
4,MA,165.87,113.5,52.370000000000005,31.572918550672213,False
4,PN,634.92,661.98,27.06000000000006,4.261954261954272,True
4,VE,53.61,0.0,53.61,100.0,False
4,TOTAL,4479.21,4463.7,643.7900000000003,14.37284699757324,True
5,AG,37.66,0.92,36.739999999999995,97.55708975039829,False
5,AN,7.75,57.99,50.24,648.258064516129,False
5,BA,1427.01,1150.16,276.8499999999999,19.400704970532786,True
5,BC,81.31,210.42,129.10999999999999,158.78735702865575,False
5,CS,318.72,337.03,18.309999999999945,5.744854417670665,True
5,IG,5.26,1.02,4.24,80.60836501901142,False
5,JA,190.46,217.16,26.69999999999999,14.01869158878504,True
5,MA,75.74,252.83,177.09000000000003,233.8130446263534,False
5,PN,208.62,167.43,41.19,19.744032211676732,True
5,VE,48.49,0.98,47.510000000000005,97.97896473499692,False
5,TOTAL,2401.0199999999995,2395.94,807.98,33.65153143247454,False
6,AG,44.27,8.99,35.28,79.6927942173029,False
6,AN,0.04,14.71,14.670000000000002,36675.00000000001,False
6,BA,222.31,237.01,14.699999999999989,6.612388106697849,True
6,BC,8.28,30.31,22.03,266.06280193236717,False
6,CS,104.55,107.31,2.760000000000005,2.6398852223816407,True
6,IG,4.65,16.02,11.37,244.51612903225805,False
6,JA,51.83,34.87,16.96,32.72236156666024,False
6,MA,202.25,239.48,37.22999999999999,18.40791100123609,True
6,PN,280.28,318.33,38.05000000000001,13.575710004281438,True
6,VE,94.77,0.0,94.77,100.0,False
6,TOTAL,1013.2299999999999,1007.03,287.82,28.406186157141025,False
7,AG,0.51,0.0,0.51,100.0,False
7,AN,0.6699999999999999,0.0,0.6699999999999999,100.00000000000001,False
7,BA,0.0,63.57,63.57,,
7,BC,0.91,0.0,0.91,100.0,False
7,CS,2186.09,2104.68,81.41000000000031,3.724000384247689,True
7,IG,8.02,17.78,9.760000000000002,121.69576059850377,False
7,JA,13.74,11.15,2.59,18.850072780203785,True
7,MA,58.74,25.32,33.42,56.89479060265577,False
7,PN,1357.08,1403.14,46.06000000000017,3.394051935037004,True
7,VE,6.05,0.0,6.05,100.0,False
7,TOTAL,3631.8100000000004,3625.6400000000003,244.9500000000005,6.744570888895633,True
