crop,region,island,surface,production,sales,subsidy,revenue,gross_margin,labor_hours,labor_cost,etp,ges,ift,azote,surface_cld,water_need_m3,soil_carbon_balance
AG,5,1,0.92,18.400000000000002,12880.0,0.0,12880.0,5518.794646666665,452.88533333333334,7019.722666666667,0.2818203692180045,2360.241960784313,5.5200000000000005,132.48,0.0,600.0,-1.1549341745550001
AG,6,1,8.99,179.8,125860.0,0.0,125860.0,53928.22160166666,4425.477333333333,68594.89866666666,2.753875129641153,23063.668725490188,53.94,1294.56,0.0,0.0,-10.141488855864003
AN_NU,1,2,0.07,1.4000000000000001,1026.6666666666667,0.0,1026.6666666666667,487.87106666666665,30.660000000000004,475.2300000000001,0.019079029247044185,158.46936274509804,0.5133333333333334,8.99966666666667,0.0,0.0,-0.1064247367134
AN_NU,4,1,20.5,410.0,300666.6666666667,0.0,300666.6666666667,142876.52666666667,8979.0,139174.5,5.587429993777225,46408.884803921566,150.33333333333334,2635.6166666666672,0.0,0.0,-31.167244323209992
AN_NU,5,1,3.16,63.2,46346.666666666664,0.0,46346.666666666664,22023.893866666665,1384.0800000000002,21453.24,0.8612818917237088,7153.759803921568,23.173333333333336,406.2706666666667,0.0,0.0,-4.804316685919199
AN_NU,6,1,7.15,143.0,104866.66666666666,0.0,104866.66666666666,49832.54466666666,3131.7,48541.35,1.948786558805227,16186.513480392157,52.43333333333334,919.2516666666669,0.0,0.0,-10.870526678582998
AN_PA,1,2,22.39,783.65,574676.6666666666,0.0,574676.6666666666,366374.28699999995,9762.04,151311.62,6.074698195395146,100144.21397058827,358.24,4806.386666666667,0.0,0.0,-34.040712214471796
AN_PA,4,1,345.56,12094.6,8869373.333333332,0.0,8869373.333333332,5654501.947999999,150664.16,2335294.48,93.75492221530803,1545593.3264705888,5528.96,74180.21333333333,0.0,0.0,-525.3733145526071
AN_PA,5,1,54.83,1919.05,1407303.3333333333,0.0,1407303.3333333333,897199.7389999998,23905.88,370541.14,14.876092097075295,245239.26985294124,877.28,11770.173333333334,0.0,0.0,-83.36097591422458
AN_PA,6,1,7.56,264.59999999999997,194039.99999999997,0.0,194039.99999999997,123706.54799999997,3296.16,51090.479999999996,2.0511263223397633,33813.767647058834,120.96,1622.88,0.0,0.0,-11.493871565047197
BA_INT,1,2,6.05,272.25,147015.0,112880.90000000001,259895.9,62554.48924999999,9426.8453125,146116.10234375,5.866114071250777,176806.1897977941,45.375,2350.4250000000006,0.0,73224.0,0.8669789178395211
BA_INT,2,2,6.58,296.09999999999997,159894.0,122769.64000000001,282663.64,68034.4693,10252.668125,158916.3559375,6.380005056004978,192294.99650735295,49.35,2556.330000000001,0.0,89224.79999999999,0.9714595513930977
BA_INT,3,2,82.96,3733.2,2015928.0,1547867.68,3563795.68,857771.9715999999,129264.6425,2003601.95875,80.43848319850653,2424436.6125,622.2,32229.96000000001,0.0,1041408.0,12.248067535497167
BA_INT,4,1,74.19,3338.55,1802817.0,1384237.02,3187054.02,767093.81115,115599.6121875,1791793.98890625,71.93504180927194,2168140.6977022057,556.425,28822.81500000001,0.0,368696.4,18.36362961525025
BA_INT,5,1,939.28,42267.6,22824504.0,17525086.24,40349590.24,9711765.398799999,1463545.0025,22684947.53875,910.7311776602364,27449672.388970587,7044.6,364910.2800000001,0.0,9648889.2,279.8108828397699
BA_INT,6,1,97.34,4380.3,2365362.0,1816169.72,4181531.72,1006455.2039,151670.929375,2350899.4053125,94.38141218108277,2844680.085110294,730.05,37816.59000000001,0.0,0.0,30.300332945490073
BA_INT,7,3,14.13,635.85,343359.0,263637.54,606996.54,146098.33604999998,22016.7478125,341259.59109375,13.700527574673304,412937.4317095588,105.975,5489.505000000002,0.0,0.0,2.4587745434587456
BA_IRR,1,2,15.32,520.88,281275.2,218432.56,499707.76,141774.23954545453,16478.052727272727,255409.81727272726,10.25392204559597,289520.9135026738,91.92,5057.4384,0.0,207739.19999999998,-3.3874392464703775
BA_IRR,2,2,85.42,2904.28,1568311.2,1217918.36,2786229.56,790493.1815909089,91876.97545454545,1424093.1195454544,57.172977880862135,1614286.973328877,512.52,28198.8504,0.0,1158295.2,-19.546297299453123
BA_IRR,3,2,154.01,5236.34,2827623.6,2195874.58,5023498.18,1425238.291931818,165651.7559090909,2567602.216590909,103.08136646489788,2910516.702907754,924.06,50841.7812,0.0,2088375.6,-35.11441835358159
BA_PER,1,2,17.09,307.62,166114.8,123048.0,289162.8,80426.19511666667,9659.125583333333,149716.44654166664,6.010656865795477,176174.41172181373,42.725,2655.786,0.0,131260.8,-13.45688489347592
BA_PER,2,2,36.31,653.58,352933.2,261432.0,614365.2,170876.25188333335,20522.109416666666,318092.6959583333,12.770447676830532,374306.1959987745,90.775,5642.5740000000005,0.0,413444.4,-28.812775479774555
BA_PER,3,2,46.449999999999996,836.0999999999999,451494.0,334440.0,785934.0,218595.48058333335,26253.152916666662,406923.87020833325,16.33674730346401,478835.6597120098,116.125,7218.33,0.0,540908.3999999999,-36.85908623066726
BA_PER,4,1,64.51,1161.18,627037.2,464472.0,1091509.2,303586.5328833334,36460.514416666665,565137.9734583333,22.688559064509434,665009.4382781863,161.275,10024.854000000001,0.0,143464.8,-49.33857560354425
BA_PER,5,1,58.91,1060.3799999999999,572605.2,424152.0,996757.2000000001,277232.7182166667,33295.44108333333,516079.33679166663,20.719005030076744,607281.1348468137,147.275,9154.614,0.0,217638.0,-39.140245362233294
BA_PER,6,1,54.45,980.1,529254.0,392040.0,921294.0,256243.78725000002,30774.686249999995,477007.63687499997,19.15039592408214,561304.6646139706,136.125,8461.53,0.0,0.0,-36.60458774338836
BA_PER,7,3,49.44,889.92,480556.8,355968.0,836524.8,232666.5352,27943.075999999997,433117.67799999996,17.388348475420035,509658.4502941176,123.6,7682.976000000001,0.0,0.0,-38.541473638282056
BA_SINT,2,2,1.3699999999999999,36.989999999999995,19974.6,15697.46,35672.06,7802.093331818178,1313.0204545454546,20351.817045454547,0.8170631328845392,23843.132921122993,8.219999999999999,372.09200000000004,0.0,18577.2,-0.6573284253178504
BA_SINT,4,1,5.97,161.19,87042.6,68404.26,155446.86,33998.903059090895,5721.702272727273,88686.38522727274,3.5604867907450366,103900.36754679144,35.82,1621.4520000000002,0.0,0.0,-2.8919398129628373
BA_SINT,5,1,151.97,4103.19,2215722.6,1741272.26,3956994.86,865462.8639681814,145649.42954545456,2257566.1579545457,90.63436810544776,2644847.3795788772,911.82,41275.052,0.0,69969.6,-53.81759938931509
BA_SINT,6,1,85.22,2300.94,1242507.6,976450.76,2218958.36,485324.37499090884,81675.62272727274,1265972.1522727273,50.82490524410251,1483147.2901737967,511.32,23145.752,0.0,0.0,-27.770985087949214
BC_BT,4,1,2.27,59.02,47216.0,0.0,47216.0,25847.440125,1382.1462500000002,21423.266875,0.8600785625388924,2945.471047794117,5.675000000000001,176.60600000000002,0.0,27391.2,-0.8369335631682794
BC_BT,5,1,210.42,5470.92,4376736.0,0.0,4376736.0,2395955.22075,128119.4775,1985851.9012499999,79.72587274424393,273033.48805147054,526.05,16370.676000000001,0.0,1567807.2,-77.89869363561805
BC_BT,6,1,30.31,788.0600000000001,630448.0,0.0,630448.0,345125.951625,18455.00125,286052.51937500003,11.484132700684505,39329.17509191176,75.775,2358.1180000000004,0.0,0.0,-9.046525526359307
BC_GTMG,1,2,0.14,3.6400000000000006,2912.0000000000005,0.0,2912.0000000000005,1588.0952500000003,86.92250000000001,1347.2987500000002,0.05408991910392036,168.9972426470588,0.35000000000000003,10.892000000000003,0.0,1898.4000000000003,-0.07220976405607996
BC_GTMG,2,2,1.7,44.2,35360.0,0.0,35360.0,19284.01375,1055.4875,16360.056250000001,0.6568061605476042,2052.1093749999995,4.25,132.26000000000002,0.0,23052.0,-0.8689954095185002
BC_GTMG,3,2,1.7600000000000002,45.760000000000005,36608.0,0.0,36608.0,19964.626000000004,1092.7400000000002,16937.47,0.6799875544492845,2124.536764705882,4.4,136.92800000000003,0.0,23865.600000000006,-0.8996658357368006
CS_BT_NIM,4,1,3130.5,231657.0,4911128.399999999,10117749.167142857,15028877.567142855,8646592.963414285,39802.071428571435,616932.1071428572,24.767934927549117,6697062.537132352,7781.528571428572,225396.0,0.0,0.0,638.2523560687279
CS_BT_NIM,5,1,123.58,9144.92,193872.30399999997,399409.5007428571,593281.8047428571,341333.95892628573,1571.2314285714288,24354.087142857144,0.9777420215130235,264374.05792647053,307.1845714285714,8897.76,0.0,0.0,43.65607783310349
CS_BT_NIM,6,1,107.31,7940.94,168347.92799999996,346825.0002,515172.92819999997,296395.429134,1364.3700000000001,21147.735,0.8490168014934661,229567.7306691176,266.742,7726.32,0.0,0.0,54.729463297227994
CS_BT_NISM,4,1,3.7199999999999998,220.22400000000002,4668.748799999999,9775.071634285716,14443.820434285715,6245.822499428574,47.29714285714286,733.1057142857144,0.029431949506622812,6680.675241176469,9.246857142857143,267.84,0.0,0.0,0.6744806881372016
CS_BT_NISM,5,1,0.24,14.208,301.20959999999997,630.6497828571429,931.8593828571429,402.95629028571443,3.0514285714285716,47.29714285714286,0.0018988354520401815,431.0113058823528,0.5965714285714285,17.28,0.0,0.0,0.03774911384160007
CS_CGT_NIM,1,2,799.73,50382.99,1163343.2391000001,2371648.4412714285,3534991.680371429,2052777.7878791436,10167.995714285715,157603.93357142858,6.32731531691706,1647150.9576911763,1987.9002857142857,57580.56,0.0,0.0,-4.248629536228381
CS_CGT_NISM,1,2,2.08,104.832,2420.5708799999998,5022.291931428572,7442.862811428571,3295.5864091428575,26.44571428571429,409.90857142857146,0.016456573917681572,3675.9163999999996,5.170285714285714,149.76,0.0,0.0,-0.015263017084352112
CS_EGT_NIM,2,2,2023.86,115360.02,2902458.1032000002,5717731.208828571,8620189.312028572,5073793.8323468575,25731.934285714287,398844.98142857145,16.01240465819184,4080470.8168235286,5030.737714285714,145717.92,0.0,0.0,-205.9437580302112
CS_EGT_NISM,2,2,134.81,6147.336,154666.97376,310365.43660571426,465032.4103657143,211670.1073425714,1714.0128571428572,26567.199285714287,1.0665916970397369,236141.34407499994,335.09914285714285,9706.32,0.0,0.0,-13.746586285955361
CS_MG_NISM,7,3,2104.68,95973.40800000001,1574923.62528,5112291.7734857155,6687215.398765715,3403487.589260573,26759.50285714286,414772.29428571434,16.65183749666637,3686684.697335293,5231.633142857143,151536.96,0.0,0.0,-185.875817516326
CS_NGT_NIM,3,2,3576.12,193110.48,4980319.2792,10157509.073142856,15137828.352342857,8671763.938282287,45467.81142857143,704751.0771428572,28.293597653124724,7132416.199499999,8889.212571428572,257480.64,0.0,0.0,-511.99300266968424
CS_NGT_NISM,3,2,562.6,24304.320000000003,626808.4127999999,1302087.8697142857,1928896.2825142858,855867.9326114286,7153.057142857144,110872.38571428573,4.451186772157525,981093.8985588233,1398.4628571428573,40507.2,0.0,0.0,-81.00938077816541
CS_SBT_NIM,5,1,213.21,20787.975,427608.64574999997,955372.6889999999,1382981.33475,752872.4547239998,3766.7099999999996,58384.00499999999,2.3439390168014933,514320.91759191174,611.202,15351.12,0.0,0.0,153.21119864148648
IG_PLA,1,2,2.79,50.22,75330.0,0.0,75330.0,31795.272449999997,1874.88,29060.64,1.1666957062850032,7116.551470588234,2.79,321.40799999999996,0.0,16800.0,-5.65028351912034
IG_PLA,2,2,74.63,1343.34,2015010.0,0.0,2015010.0,850495.04765,50151.36,777346.08,31.20806471686372,190361.375,74.63,8597.375999999998,0.0,1119450.0,-159.13305547106373
IG_PLA,3,2,146.31,2633.58,3950370.0,0.0,3950370.0,1667371.4380499998,98320.32,1523964.96,61.18252644679527,373198.0808823529,146.31,16854.911999999997,0.0,2099850.0,-311.975845450507
IG_PLA,7,3,17.78,320.04,480060.0,0.0,480060.0,202623.6359,11948.16,185196.48,7.435071561916615,45352.07352941176,17.78,2048.256,0.0,0.0,-37.91217642068221
IG_TUT,4,1,0.11,1.65,3300.0,0.0,3300.0,996.72375,109.01,1689.655,0.06783447417548227,216.0286764705882,0.11,9.504,0.0,0.0,-0.23567329336055998
IG_TUT,5,1,1.02,15.3,30600.0,0.0,30600.0,9242.3475,1010.82,15667.710000000001,0.6290105787181083,2003.1749999999997,1.02,88.12799999999999,0.0,0.0,-1.9061353224000006
IG_TUT,6,1,16.02,240.3,480600.0,0.0,480600.0,145159.22249999997,15875.82,246075.20999999996,9.879166148102053,31461.630882352936,16.02,1384.1279999999997,0.0,0.0,-32.76015312289967
JA,1,2,7.5,0.0,0.0,1500.0,1500.0,870.0,45.0,697.5,0.028002489110143122,904.4117647058822,0.0,0.0,0.0,0.0,3.9145690163668796
JA,2,2,41.28,0.0,0.0,8256.0,8256.0,4788.4800000000005,247.68,3839.04,0.15412570006222776,4977.882352941176,0.0,0.0,0.0,0.0,21.489135941433595
JA,3,2,65.28,0.0,0.0,13056.0,13056.0,7572.48,391.68,6071.04,0.24373366521468576,7871.999999999998,0.0,0.0,0.0,0.0,33.98816861909639
JA,4,1,40.89,0.0,0.0,8178.0,8178.0,4743.24,245.34,3802.77,0.1526695706285003,4930.852941176469,0.0,0.0,0.0,0.0,21.475332418720797
JA,5,1,217.16,0.0,0.0,43432.0,43432.0,25190.56,1302.96,20195.88,0.8108027380211574,26186.941176470584,0.0,0.0,0.0,0.0,119.92392254391117
JA,6,1,34.87,0.0,0.0,6974.0,6974.0,4044.92,209.22,3242.91,0.1301929060360921,4204.911764705881,0.0,0.0,0.0,0.0,19.267646551435195
JA,7,3,11.15,0.0,0.0,2230.0,2230.0,1293.3999999999999,66.9,1036.95,0.041630367143746114,1344.5588235294115,0.0,0.0,0.0,0.0,5.804357212862998
MA_ROTA,1,2,18.09,976.86,1025703.0,0.0,1025703.0,505230.7419809999,29902.77,463492.935,18.607822028624767,85035.90242647058,271.35,5014.548000000001,0.0,325620.0,-18.610810768872458
MA_ROTA,2,2,242.29,13083.66,13737843.0,0.0,13737843.0,6766852.209760998,400505.37,6207833.235,249.22549471064093,1138935.8097794116,3634.35,67162.78800000002,0.0,4361220.0,-248.65963690415134
MA_ROTA,3,2,62.48,3373.92,3542616.0,0.0,3542616.0,1744987.1066319998,103279.44,1600831.32,64.26847542003733,293700.56294117647,937.2,17319.456000000002,0.0,1124640.0,-64.12255608473885
MA_ROTA,4,1,22.84,1233.36,1295028.0,0.0,1295028.0,637892.2137559999,37754.52,585195.06,23.493789670192907,107364.29029411763,342.6,6331.248000000001,2.37,411120.0,-19.057755833495555
MA_ROTA,5,1,155.47,8395.38,8815149.0,0.0,8815149.0,4342079.793023,256991.91,3983374.605,159.9202924704418,730819.8866911763,2332.05,43096.28400000001,145.57,2798460.0,-125.1179458922067
MA_TO_CO_JA,1,2,14.59,525.24,577764.0,0.0,577764.0,303840.425221,16457.52,255091.56,10.241144990665838,22254.57757352941,145.9,1103.0040000000001,0.0,206280.0,-14.595421646740585
MA_TO_CO_JA,2,2,67.03,2413.08,2654388.0,0.0,2654388.0,1395916.634857,75609.84,1171952.52,47.050304915992534,102242.92904411764,670.3,5067.468000000001,0.0,1202580.0,-68.7921724449431
MA_TO_CO_JA,3,2,113.28,4078.08,4485888.0,0.0,4485888.0,2359084.535232,127779.84,1980587.52,79.51452395768513,172789.48235294115,1132.8,8563.968,0.0,1973340.0,-116.2580530294369
MA_TO_CO_JA,4,1,90.66,3263.76,3590136.0,0.0,3590136.0,1888017.337254,102264.48,1585099.44,63.636888612321094,138286.49779411763,906.6,6853.896000000001,0.0,308700.0,-88.58956698276278
MA_TO_CO_JA,5,1,97.36,3504.96,3855456.0,0.0,3855456.0,2027546.524984,109822.08,1702242.24,68.33981331673927,148506.21470588233,973.6,7360.416000000001,0.0,697860.0,-76.5471645303391
MA_TO_CO_JA,6,1,239.48,8621.28,9483408.0,0.0,9483408.0,4987231.325012,270133.44,4187068.32,168.09797137523336,365286.2397058823,2394.8,18104.688000000002,0.0,0.0,-177.9054415162005
MA_TO_CO_JA,7,3,25.32,911.52,1002672.0,0.0,1002672.0,527295.3781079999,28560.96,442694.88,17.772843808338518,38621.37794117646,253.2,1914.1920000000002,0.0,0.0,-25.985645327554217
ME,2,2,1.69,33.800000000000004,40560.0,0.0,40560.0,15786.296760000003,1061.32,16450.46,0.6604355942750466,273679.6376102941,18.59,119.99000000000001,0.0,30420.000000000004,-2.8692518429302014
ME,3,2,2.56,51.2,61440.0,0.0,61440.0,23912.970240000002,1607.68,24919.04,1.0004231487243311,414567.97176470584,28.16,181.76,0.0,46080.0,-4.346322318284802
PN_PIQ,1,2,590.37,389.6442,1948221.0,324703.5,2272924.5,945772.74,74386.62,1152992.61,46.28912258867455,6010053.419117646,0.0,0.0,0.0,0.0,-837.4074200975393
PN_PIQ,2,2,1663.24,1097.7384,5488692.0,914782.0,6403474.0,2664510.48,209568.24,3248307.72,130.40960796515245,16932027.794117644,0.0,0.0,6.65,0.0,-2399.8105169854543
PN_PIQ,3,2,1291.54,852.4164000000001,4262082.0,710347.0,4972429.0,2069047.08,162734.04,2522377.62,101.2657373988799,13148067.132352939,0.0,0.0,44.71,0.0,-1874.8302644521893
PN_PIQ,4,1,661.98,436.90680000000003,2184534.0,364089.0,2548623.0,1060491.96,83409.48,1292846.94,51.90384567517113,6739053.749999999,0.0,0.0,20.259999999999998,0.0,-884.3522018671689
PN_PIQ,5,1,167.43,110.5038,552519.0,92086.5,644605.5,268222.86,21096.18,326990.79,13.127678904791537,1704462.0220588234,0.0,0.0,150.5,0.0,-222.45482721550138
PN_PIQ,6,1,318.33,210.0978,1050489.0,175081.5,1225570.5,509964.66,40109.58,621698.49,24.959290603609208,3240646.2132352935,0.0,0.0,255.42,0.0,-388.04588022971524
PN_PIQ,7,3,1403.14,926.0724,4630362.0,771727.0,5402089.0,2247830.28,176795.64,2740332.42,110.01595519601743,14284171.544117644,0.0,0.0,0.0,0.0,-2017.3879043767713
