crop,gross_margin
AG,59447.01624833332
AN_NU,215220.83626666665
AN_PA,7041782.521999999
BA_INT,12619773.680049999
BA_IRR,2357505.713068181
BA_PER,1539627.5011333337
BA_SINT,1392588.2353499993
BC_BT,2766928.6125000003
BC_GTMG,40836.735
CS_BT_NIM,9284322.35147457
CS_BT_NISM,6648.778789714288
CS_CGT_NIM,2052777.7878791436
CS_CGT_NISM,3295.5864091428575
CS_EGT_NIM,5073793.832346857
CS_EGT_NISM,211670.1073425714
CS_MG_NISM,3403487.5892605726
CS_NGT_NIM,8671763.938282285
CS_NGT_NISM,855867.9326114286
CS_SBT_NIM,752872.4547239998
IG_PLA,2752285.39405
IG_TUT,155398.29374999998
JA,48503.08
MA_ROTA,13997042.065152997
MA_TO_CO_JA,13488932.160668
ME,39699.26700000001
PN_PIQ,9765840.06
VE_BTGT,35071.03570666666
