crop,labor_cost
AG,75614.62133333333
AN_NU,209644.32
AN_PA,2908237.7199999997
BA_INT,29477534.94109375
BA_IRR,4247105.153409091
BA_PER,2866075.637833333
BA_SINT,3632576.5125
BC_BT,2293327.6875
BC_GTMG,34644.825000000004
CS_BT_NIM,662433.9292857144
CS_BT_NISM,780.4028571428572
CS_CGT_NIM,157603.93357142858
CS_CGT_NISM,409.90857142857146
CS_EGT_NIM,398844.98142857145
CS_EGT_NISM,26567.199285714287
CS_MG_NISM,414772.29428571434
CS_NGT_NIM,704751.0771428572
CS_NGT_NISM,110872.38571428573
CS_SBT_NIM,58384.00499999999
IG_PLA,2515568.16
IG_TUT,263432.575
JA,38886.090000000004
MA_ROTA,12840727.155
MA_TO_CO_JA,11324736.48
ME,41369.5
PN_PIQ,11905546.59
VE_BTGT,45089.52066666666
