crop,production_tonnes
AG,198.2
AN_NU,617.6
AN_PA,15061.9
BA_INT,54923.85
BA_IRR,8661.5
BA_PER,5888.88
BA_SINT,6602.31
BC_BT,6318.0
BC_GTMG,93.60000000000001
CS_BT_NIM,248742.86
CS_BT_NISM,234.43200000000002
CS_CGT_NIM,50382.99
CS_CGT_NISM,104.832
CS_EGT_NIM,115360.01999999999
CS_EGT_NISM,6147.336
CS_MG_NISM,95973.408
CS_NGT_NIM,193110.47999999998
CS_NGT_NISM,24304.320000000003
CS_SBT_NIM,20787.975000000002
IG_PLA,4347.18
IG_TUT,257.25
JA,0.0
MA_ROTA,27063.18
MA_TO_CO_JA,23317.920000000002
ME,85.0
PN_PIQ,4023.3798
VE_BTGT,116.43499999999999
