crop,revenue
AG,138740.0
AN_NU,452906.6666666666
AN_PA,11045393.333333332
BA_INT,52431527.739999995
BA_IRR,8309435.5
BA_PER,5535547.2
BA_SINT,6367072.140000001
BC_BT,5054400.0
BC_GTMG,74880.0
CS_BT_NIM,16137332.300085712
CS_BT_NISM,15375.679817142858
CS_CGT_NIM,3534991.680371429
CS_CGT_NISM,7442.862811428571
CS_EGT_NIM,8620189.312028572
CS_EGT_NISM,465032.4103657143
CS_MG_NISM,6687215.398765715
CS_NGT_NIM,15137828.352342855
CS_NGT_NISM,1928896.2825142858
CS_SBT_NIM,1382981.33475
IG_PLA,6520770.0
IG_TUT,514499.99999999994
JA,83626.0
MA_ROTA,28416339.0
MA_TO_CO_JA,25649712.0
ME,102000.0
PN_PIQ,23469715.5
VE_BTGT,81504.5
