crop,subsidy
AG,0.0
AN_NU,0.0
AN_PA,0.0
BA_INT,22772648.74
BA_IRR,3632225.5
BA_PER,2355552.0
BA_SINT,2801824.74
BC_BT,0.0
BC_GTMG,0.0
CS_BT_NIM,10863983.668085713
CS_BT_NISM,10405.721417142859
CS_CGT_NIM,2371648.4412714285
CS_CGT_NISM,5022.291931428572
CS_EGT_NIM,5717731.208828571
CS_EGT_NISM,310365.43660571426
CS_MG_NISM,5112291.773485715
CS_NGT_NIM,10157509.073142856
CS_NGT_NISM,1302087.8697142857
CS_SBT_NIM,955372.689
IG_PLA,0.0
IG_TUT,0.0
JA,83626.0
MA_ROTA,0.0
MA_TO_CO_JA,0.0
ME,0.0
PN_PIQ,3352816.5
VE_BTGT,0.0
