crop,observed_ha,simulated_ha,abs_deviation_ha,pad_pct,within_threshold
AG,100.84,39.83,61.010000000000005,60.501785005950026,False
AN,132.67000000000002,166.29,33.619999999999976,25.341071832366,False
BA,1920.8,2155.43,234.62999999999988,12.215222823823401,True
BC,147.21,9.22,137.99,93.73683852999116,False
CS,12812.93,13347.79,534.8600000000006,4.174376977006825,True
IG,145.42,61.84,83.57999999999998,57.47490028881859,False
JA,621.47,414.51,206.96000000000004,33.30168793344812,False
MA,1086.97,1730.42,643.45,59.196665961342084,False
ME,189.36,218.29,28.92999999999998,15.277777777777764,False
PN,6109.43,5245.04,864.3900000000003,14.148455747917568,True
VE,310.89,88.83,222.06,71.42719289780952,False
TOTAL,23577.99,23477.490000000005,3051.480000000001,12.942070125570504,True
