crop,region,island,surface,production,sales,subsidy,revenue,gross_margin,labor_hours,labor_cost,etp,ges,ift,azote,surface_cld,water_need_m3,soil_carbon_balance
AG,4,1,2.74,50.69,35483.0,0.0,35483.0,13559.41014333333,1348.8106666666667,20906.565333333332,0.8393345778884049,7029.416274509802,16.44,394.56,0.0,32880.0,-3.449913183025199
AG,5,1,17.04,315.24,220668.0,0.0,220668.0,84325.67475999998,8388.224,130017.472,5.219803360298693,43715.785882352924,102.24,2453.7599999999998,0.0,204480.0,-23.046405986645993
AG,6,1,20.05,370.92499999999995,259647.5,0.0,259647.5,99221.2311583333,9869.946666666667,152984.17333333334,6.141846090022817,51437.88186274508,120.3,2887.2000000000003,0.0,0.0,-22.481911372230005
AN_NU,1,2,0.07,1.05,840.0000000000001,0.0,840.0000000000001,301.2044,30.660000000000004,475.2300000000001,0.019079029247044185,158.46936274509804,0.5133333333333334,8.99966666666667,0.0,0.0,-0.1064247367134
AN_NU,4,1,2.89,43.35,34680.0,0.0,34680.0,12435.438800000002,1265.82,19620.21,0.7876913503422527,6542.520833333333,21.193333333333335,371.5576666666667,0.0,0.0,-4.3938212728818
AN_NU,6,1,1.51,22.65,18120.0,0.0,18120.0,6497.4092,661.38,10251.39,0.4115619166148102,3418.410539215686,11.073333333333334,194.1356666666667,0.0,0.0,-2.2957336062461997
AN_PA,1,2,5.5,126.5,101200.0,0.0,101200.0,50031.48333333334,2398.0,37169.0,1.492221530802738,24599.963235294126,88.0,1180.6666666666667,0.0,0.0,-8.361943598909999
AN_PA,4,1,142.95,3287.85,2630280.0,0.0,2630280.0,1300363.7349999999,62326.2,966056.1,38.78419415059116,639375.4080882355,2287.2,30686.600000000002,0.0,0.0,-217.33451590257894
AN_PA,5,1,12.57,289.11,231288.0,0.0,231288.0,114344.681,5480.52,84948.06,3.410404480398258,56222.09779411767,201.12,2698.36,0.0,0.0,-19.110842006963395
AN_PA,6,1,0.8,18.400000000000002,14720.0,0.0,14720.0,7277.306666666667,348.8,5406.400000000001,0.21705040448039825,3578.1764705882365,12.8,171.73333333333335,0.0,0.0,-1.2162827052959997
BA_INT,1,2,3.19,143.54999999999998,77517.0,59519.02,137036.02,32983.27614999999,4970.5184375,77043.03578124999,3.0930419648413188,93225.08189338233,23.924999999999997,1239.3150000000003,0.0,37696.799999999996,0.4568585612060305
BA_INT,2,2,5.7,256.5,138510.0,106350.6,244860.6,58935.6345,8881.490625,137663.1046875,5.526752100186683,166577.7325367647,42.75,2214.4500000000007,0.0,77292.0,0.8415379092614983
BA_INT,3,2,76.4,3438.0,1856520.0,1425471.2,3281991.2,789944.2939999999,119043.1375,1845168.6312499999,74.07787025513379,2232726.0992647056,573.0,29681.40000000001,0.0,959370.0,11.27956074869797
BA_INT,4,1,116.24,5230.8,2824632.0,2168805.92,4993437.92,1201873.3604,181120.0825,2807361.27875,112.70695861854387,3397016.777205882,871.8,45159.24000000001,0.0,586063.2,24.249534188286063
BA_INT,5,1,870.51,39172.95,21153393.0,16241975.58,37395368.58,9000712.138349999,1356390.5971875,21024054.25640625,844.0513983743,25439926.657996323,6528.825,338193.1350000001,0.0,8483542.8,257.15753548625815
BA_INT,6,1,99.7,4486.5,2422710.0,1860202.6,4282912.6,1030856.6244999999,155348.178125,2407896.7609375,96.66968147168637,2913649.111213235,747.75,38733.45000000001,0.0,0.0,31.186146639720473
BA_INT,7,3,31.169999999999998,1402.65,757431.0,581569.86,1339000.86,322284.86445,48567.730312499996,752799.81984375,30.222607537336653,910917.1795036764,233.775,12109.545000000004,0.0,0.0,5.063456949225588
BA_IRR,1,2,30.51,1037.34,560163.6,435011.58,995175.18,282345.43397727265,32816.27863636363,508652.31886363635,20.42083300333767,576585.0568516043,183.06,10071.9612,0.0,413715.6,-7.096315795400513
BA_IRR,2,2,98.15,3337.1,1802034.0,1399422.7,3201456.7,908299.0607954544,105569.24772727273,1636323.339772727,65.6933713299768,1854861.4660762032,588.9,32401.278000000002,0.0,1330914.0,-22.459249355435777
BA_IRR,3,2,164.4,5589.6,3018384.0,2344015.2,5362399.2,1521389.359090909,176827.14545454545,2740820.7545454544,110.03556033263563,3106869.3328877003,986.4,54271.728,0.0,2229264.0,-37.491918107050545
BA_PER,1,2,19.75,355.5,191970.0,142200.0,334170.0,92944.25708333334,11162.535416666666,173019.29895833333,6.946195032151005,203595.3558517157,49.375,3069.15,0.0,165974.4,-15.669520960564359
BA_PER,2,2,39.57,712.26,384620.4,284904.0,669524.4,186217.93685000003,22364.63425,346651.830875,13.91700948973242,407912.3154963235,98.925,6149.178000000001,0.0,434191.2,-31.399656450968855
BA_PER,3,2,54.24,976.3199999999999,527212.7999999999,390528.0,917740.8,255255.5192,30655.995999999996,475167.9379999999,19.07653764779091,559139.8532352941,135.6,8428.896,0.0,585385.2,-43.04062082134321
BA_PER,4,1,97.99,1763.82,952462.8,705528.0,1657990.8,461144.6962833334,55383.13141666666,858438.5369583332,34.463678541796305,1010142.2237928922,244.975,15227.646,0.0,208959.6,-75.49498085528376
BA_PER,5,1,65.82,1184.76,639770.4,473904.0,1113674.4,309751.44310000003,37200.915499999996,576614.1902499999,23.149294026135653,678513.7378308823,164.55,10228.428,0.0,280285.2,-43.65595077313038
BA_PER,6,1,50.1,901.8000000000001,486972.0,360720.0,847692.0,235772.5205,28316.102499999997,438899.58874999994,17.62047448662103,516462.14319852943,125.25,7785.540000000001,0.0,0.0,-31.581236588011443
BA_PER,7,3,149.7,2694.6,1455084.0,1077840.0,2532924.0,704493.9385,84609.19249999999,1311442.48375,52.65039981331673,1543201.2542279412,374.25,23263.38,0.0,0.0,-116.50775007271457
BA_SINT,1,2,0.96,25.919999999999998,13996.8,10999.68,24996.48,5467.160290909088,920.0727272727273,14261.127272727274,0.5725405894665385,16707.59679144385,5.76,260.736,0.0,0.0,-0.4606096994928003
BA_SINT,2,2,0.8699999999999999,23.49,12684.599999999999,9968.46,22653.059999999998,4954.614013636361,833.8159090909091,12924.146590909091,0.5188649092040505,15141.259592245988,5.22,236.29200000000003,0.0,11797.2,-0.4174275401653503
