crop,gross_margin
AG,197106.3160616666
AN_NU,19234.0524
AN_PA,1472017.206
BA_INT,12437590.19235
BA_IRR,2712033.853863636
BA_PER,2245580.311516667
BA_SINT,1038134.0098227267
BC_BT,42287.87575000001
CS_BT_NIM,9520228.91752
CS_BT_NISM,5943.605281714288
CS_CGT_NIM,2053881.528452572
CS_CGT_NISM,5957.406201142857
CS_EGT_NIM,5082417.872934286
CS_EGT_NISM,208105.89739028565
CS_MG_NISM,4235536.389696859
CS_NGT_NIM,8509949.791217428
CS_NGT_NISM,852886.2384274285
CS_SBT_NIM,863184.9892466664
IG_PLA,365930.53705
IG_TUT,269387.24624999997
JA,48083.159999999996
MA_ROTA,17676373.073918995
MA_TO_CO_JA,26806958.212768998
ME,3152326.76316
PN_PIQ,9787244.64
VE_BTGT,419055.64343999996
