crop,labor_cost
AG,303908.2106666667
AN_NU,30346.83
AN_PA,1093579.56
BA_INT,29051986.88765625
BA_IRR,4885796.413181818
BA_PER,4180233.867541666
BA_SINT,2707980.0943181817
BC_BT,87014.32625
CS_BT_NIM,679265.8
CS_BT_NISM,697.6328571428571
CS_CGT_NIM,157688.6742857143
CS_CGT_NISM,740.9885714285715
CS_EGT_NIM,399522.90714285715
CS_EGT_NISM,26119.847142857147
CS_MG_NISM,516171.4564285715
CS_NGT_NIM,691600.5007142858
CS_NGT_NISM,110486.12571428574
CS_SBT_NIM,66938.55833333332
IG_PLA,334457.76
IG_TUT,456667.665
JA,38549.43
MA_ROTA,16216103.565
MA_TO_CO_JA,19188864.84
ME,2124834.86
PN_PIQ,10243563.120000001
VE_BTGT,498792.29399999994
