crop,production_tonnes
AG,736.855
AN_NU,67.05
AN_PA,3721.8599999999997
BA_INT,54130.950000000004
BA_IRR,9964.04
BA_PER,8589.06
BA_SINT,4921.83
BC_BT,184.4
CS_BT_NIM,255063.2
CS_BT_NISM,209.568
CS_CGT_NIM,50410.079999999994
CS_CGT_NISM,189.504
CS_EGT_NIM,115556.09999999999
CS_EGT_NISM,6043.824
CS_MG_NISM,119435.97600000001
CS_NGT_NIM,189507.06
CS_NGT_NISM,24219.648
CS_SBT_NIM,23833.875
IG_PLA,577.98
IG_TUT,445.94999999999993
JA,0.0
MA_ROTA,18987.3
MA_TO_CO_JA,21950.2
ME,4365.8
PN_PIQ,3461.7264
VE_BTGT,1332.45
