crop,revenue
AG,515798.5
AN_NU,53640.0
AN_PA,2977488.0
BA_INT,51674607.78
BA_IRR,9559031.08
BA_PER,8073716.4
BA_SINT,4746467.02
BC_BT,129080.00000000001
CS_BT_NIM,16547367.895999998
CS_BT_NISM,13744.925897142857
CS_CGT_NIM,3536892.3798857145
CS_CGT_NISM,13454.40585142857
CS_EGT_NIM,8634841.240142858
CS_EGT_NISM,457201.95586285705
CS_MG_NISM,8322035.389988573
CS_NGT_NIM,14855358.165114284
CS_NGT_NISM,1922176.3452342856
CS_SBT_NIM,1585618.8137499997
IG_PLA,866970.0
IG_TUT,891899.9999999999
JA,82902.0
MA_ROTA,35885997.0
MA_TO_CO_JA,47412432.0
ME,6352239.0
PN_PIQ,21578094.56
VE_BTGT,932715.0
