farm,revenue
E1,35303.48211428571
E10,40041.495828571424
E100,216542.36
E1000,37302.1494
E1001,7009.1554857142855
E1002,69052.5476057143
E1003,18387.343214285713
E1004,35215.00765714286
E1005,29197.947257142856
E1006,285201.0
E1007,42289.28014285714
E1008,27048.12585714286
E1009,8060.603585714286
E101,48144.64957142857
E1010,43793.32
E1011,47037.600000000006
E1012,3844505.304785714
E1013,26068.297457142857
E1014,1151.92
E1015,51005.96734285714
E1016,25848.01555714286
E1017,54017.205342857145
E1018,72628.49531428571
E1019,43320.42
E102,8762.82
E1020,59413.28
E1021,15026.47717142857
E1022,91287.0
E1023,32560.99391428572
E1024,56157.83691428571
E1025,12626.081457142856
E1026,45384.003971428574
E1027,70704.85902857143
E1028,117504.0
E1029,33989.60331428571
E103,17268.606731428572
E1030,4080.6727142857144
E1031,51986.3188
E1032,87264.0
E1033,11231.220000000001
E1034,37734.220628571435
E1035,31662.67696
E1036,1149088.0189428572
E1037,30725.065142857144
E1038,29527.145942857147
E1039,36726.05442857143
E104,60191.66885714285
E1040,38453.12845714286
E1041,249144.95205714286
E1042,56261.200685714284
E1043,39058.5172
E1044,92448.0
E1045,45028.9306
E1046,4704.7756
E1047,50220.29697142857
E1048,55399.60502857143
E1049,109431.0
E105,124103.96177142857
E1050,40202.759999999995
E1051,6433.060514285715
E1052,9750.922342857144
E1053,69796.9472857143
E1054,1064189.0474714285
E1055,105080.73448000001
E1056,13106.160600000001
E1057,385388.22
E1058,40439.64777142857
E1059,15327.9
E106,33086.567228571424
E1060,65338.771342857144
E1061,16178.667114285714
E1062,15838.9
E1063,6603.529028571429
E1064,16168.02
E1065,35947.95554285714
E1066,10614.119999999999
E1067,56341.64539428571
E1068,39705.45477142857
E1069,12770.1052
E107,22737.739999999998
E1070,32294.899999999998
E1071,12187.872662857144
E1072,14925.144617142858
E1073,31980.86185714286
E1074,8303.227942857144
E1075,18463.2
E1076,9499.94
E1077,16772.126514285716
E1078,13108.386582857143
E1079,52407.277571428574
E108,28149.659
E1080,13267.337051428573
E1081,12812.042985714286
E1082,29791.086417142855
E1083,41013.58802857142
E1084,11676.736411428574
E1085,25338.376640000002
E1086,4861.280365714287
E1087,30275.993857142857
E1088,10140.772457142859
E1089,23414.539714285715
E109,54607.96991428571
E1090,5965.3
E1091,22287.006811428575
E1092,18065.730902857144
E1093,33240.005742857145
E1094,6260.252228571429
E1095,7610.900000000001
E1096,26790.880185714283
E1097,9487.16134857143
E1098,23378.172000000002
E1099,7492.465628571428
E11,47589.58579999999
E110,39625.976200000005
E1100,54860.383942857145
E1101,10085.180471428572
E1102,8840.18282857143
E1103,21265.39262857143
E1104,10038.16
E1105,10106.564845714285
E1106,9709.039999999999
E1107,14401.91238857143
E1108,50500.32
E1109,38738.94374857143
E111,17577.856914285716
E1110,15295.144485714285
E1111,4994.977085714286
E1112,245388.98
E1113,13342.98
E1114,5463.625228571429
E1115,8639.4
E1116,15110.071728571429
E1117,4114.0
E1118,30310.81869714286
E1119,31318.586971428576
E112,44885.323685714284
E1120,30821.546605714288
E1121,13494.241005714288
E1122,151479.8
E1123,18348.440000000002
E1124,10508.9048
E1125,31727.94038857143
E1126,3216.5302571428574
E1127,46805.66
E1128,25863.822028571427
E1129,399794.2397428571
E113,59785.17222857143
E1130,4861.280365714287
E1131,62599.54
E1132,112765.4622
E1133,110876.82
E1134,566537.5686571428
E1135,27435.655514285718
E1136,30525.879999999997
E1137,128340.3100857143
E1138,17930.23564
E1139,33173.989114285716
E114,62790.01365142856
E1140,13970.303057142857
E1141,18780.58565714286
E1142,61277.71906857143
E1143,96768.0
E1144,222055.50888571428
E1145,13598.875794285717
E1146,33228.18685
E1147,2928.4827714285716
E1148,16074.56862857143
E1149,19703.443685714286
E115,61579.90364285714
E1150,39606.52928571429
E1151,88851.324
E1152,8441.377085714286
E1153,41472.0
