crop,subsidy
AG,0.0
AN_NU,0.0
AN_PA,0.0
BA_INT,22443894.78
BA_IRR,4178449.48
BA_PER,3435624.0
BA_SINT,2088678.8199999998
BC_BT,0.0
CS_BT_NIM,11140028.056
CS_BT_NISM,9302.084297142857
CS_CGT_NIM,2372923.6326857144
CS_CGT_NISM,9078.75849142857
CS_EGT_NIM,5727449.764142857
CS_EGT_NISM,305139.3440228571
CS_MG_NISM,6362091.023828573
CS_NGT_NIM,9967971.087714285
CS_NGT_NISM,1297551.6233142857
CS_SBT_NIM,1095356.005
IG_PLA,0.0
IG_TUT,0.0
JA,82902.0
MA_ROTA,0.0
MA_TO_CO_JA,0.0
ME,0.0
PN_PIQ,2884772.0
VE_BTGT,0.0
