crop,region,island,surface,production,sales,subsidy,revenue,gross_margin,labor_hours,labor_cost,etp,ges,ift,azote,surface_cld,water_need_m3,soil_carbon_balance
AG,4,1,2.88,53.28,37296.0,0.0,37296.0,14252.226719999997,1417.728,21974.784,0.8822202862476665,7388.583529411762,17.28,414.72,0.0,34560.0,-3.532497054879599
AG,5,1,18.93,350.205,245143.5,0.0,245143.5,93678.69854499998,9318.608,144438.424,5.798760423148725,48564.54382352939,113.58,2725.92,0.0,212520.0,-25.332428814798597
AG,6,1,1.51,27.935,19554.5,0.0,19554.5,7472.5216483333315,743.3226666666667,11521.501333333332,0.462552997303464,3873.8753921568614,9.06,217.44,0.0,0.0,-1.7955249840360004
AN_NU,1,2,0.07,1.05,840.0000000000001,0.0,840.0000000000001,301.2044,30.660000000000004,475.2300000000001,0.019079029247044185,158.46936274509804,0.5133333333333334,8.99966666666667,0.0,0.0,-0.1064247367134
AN_NU,4,1,1.62,24.299999999999997,19440.0,0.0,19440.0,6970.7304,709.56,10998.18,0.4415432482887368,3667.4338235294117,11.88,208.27800000000002,0.0,0.0,-2.4629724782243994
AN_PA,1,2,11.07,254.60999999999999,203688.0,0.0,203688.0,100699.731,4826.5199999999995,74811.06,3.003434971997511,49513.016911764724,177.12,2376.36,0.0,0.0,-16.830311934533395
AN_PA,4,1,126.23,2903.29,2322632.0,0.0,2322632.0,1148268.0256666667,55036.28,853062.34,34.24784069695084,564591.5198529414,2019.68,27097.373333333337,0.0,0.0,-191.91420736189255
AN_PA,5,1,27.46,631.58,505264.0,0.0,505264.0,249793.55133333334,11972.56,185574.68,7.45025513378967,122820.90735294121,439.36,5894.746666666667,0.0,0.0,-41.74890385928519
AN_PA,6,1,7.56,173.88,139104.0,0.0,139104.0,68770.548,3296.16,51090.479999999996,2.0511263223397633,33813.767647058834,120.96,1622.88,0.0,0.0,-11.493871565047197
BA_INT,1,2,0.8300000000000001,37.35,20169.0,15486.14,35655.14,8581.855549999998,1293.2696875000001,20045.68015625,0.80477267423771,24256.055790441176,6.225,322.4550000000001,0.0,4474.799999999999,0.12023460131335001
BA_INT,2,2,6.36,286.2,154548.0,118664.88,273212.88,65759.7606,9909.87375,153603.04312500003,6.166691817050404,185865.6805147059,47.7,2470.8600000000006,0.0,86241.6,0.938979140860198
BA_INT,3,2,40.93,1841.85,994599.0,763671.94,1758270.94,423199.21404999995,63775.3353125,988517.69734375,39.685958501866835,1196145.0162683823,306.975,15901.305000000004,0.0,553519.2,6.042832741416334
BA_INT,4,1,106.52,4793.4,2588436.0,1987450.16,4575886.16,1101372.5942,165974.80375,2572609.458125,103.28239187927817,3112957.906985294,798.9,41383.02000000001,0.0,617929.2,22.23431714759478
BA_INT,5,1,944.82,42516.9,22959126.0,17628451.56,40587577.56,9769046.6997,1472177.188125,22818746.4159375,916.1027928593653,27611574.25533088,7086.15,367062.5700000001,0.0,9710044.8,279.83228915926355
BA_INT,6,1,94.32,4244.4,2291976.0,1759822.56,4051798.56,975229.6571999999,146965.2975,2277962.11125,91.45320317361544,2756423.1110294117,707.4,36643.320000000014,0.0,0.0,29.919181632743523
BA_INT,7,3,28.98,1304.1,704214.0,540708.84,1244922.84,299641.17329999997,45155.368125,699908.2059375,28.099171204107034,846916.2612132352,217.35,11258.730000000003,0.0,0.0,4.655436872132539
BA_IRR,1,2,26.85,912.9,492966.0,382827.3,875793.3,248475.08693181814,28879.615909090906,447634.04659090907,17.97113622220965,507417.527907754,161.1,8863.722,0.0,364086.0,-6.075729479450635
