crop,gross_margin
AG,115403.4469133333
AN_NU,7271.9348
AN_PA,1567531.856
BA_INT,12642830.954599999
BA_IRR,2436351.4389772722
BA_PER,2949180.1027333336
BA_SINT,521259.5639863634
BC_BT,39765.280125000005
CS_BT_NIM,9720864.123673143
CS_BT_NISM,7135.684307142859
CS_CGT_NIM,2063840.8619988577
CS_CGT_NISM,5656.367058
CS_EGT_NIM,5150883.730039715
CS_EGT_NISM,211356.08003399998
CS_MG_NISM,4163898.6584482873
CS_NGT_NIM,8664343.718141142
CS_NGT_NISM,871613.10343
CS_SBT_NIM,1161389.0078266663
IG_PLA,797161.0422499999
IG_TUT,297929.79
JA,48426.520000000004
MA_ROTA,7992644.208961999
MA_TO_CO_JA,22230398.764266
ME,3494000.9178
PN_PIQ,9983846.399999999
VE_BTGT,885239.1251999999
