crop,labor_cost
AG,177934.70933333333
AN_NU,11473.409999999998
AN_PA,1164538.56
BA_INT,29531392.611875
BA_IRR,4389147.688863636
BA_PER,5490011.861833333
BA_SINT,1359709.353409091
BC_BT,81823.666875
CS_BT_NIM,693581.0685714285
CS_BT_NISM,837.5535714285716
CS_CGT_NIM,158453.31142857144
CS_CGT_NISM,703.545
CS_EGT_NIM,404904.9278571429
CS_EGT_NISM,26527.785000000003
CS_MG_NISM,507441.1921428572
CS_NGT_NIM,704148.0385714286
CS_NGT_NISM,112912.07500000001
CS_SBT_NIM,90063.78333333333
IG_PLA,728599.2000000001
IG_TUT,505053.24
JA,38824.71
MA_ROTA,7332360.87
MA_TO_CO_JA,15912887.76
ME,2355141.3000000003
PN_PIQ,10449331.200000001
VE_BTGT,1053679.77
