crop,production_tonnes
AG,431.42
AN_NU,25.349999999999998
AN_PA,3963.3599999999997
BA_INT,55024.2
BA_IRR,8951.18
BA_PER,11280.24
BA_SINT,2471.31
BC_BT,173.4
CS_BT_NIM,260438.56
CS_BT_NISM,251.60000000000002
CS_CGT_NIM,50654.52
CS_CGT_NISM,179.928
CS_EGT_NIM,117112.77
CS_EGT_NISM,6138.216000000001
CS_MG_NISM,117415.896
CS_NGT_NIM,192945.24
CS_NGT_NISM,24751.440000000002
CS_SBT_NIM,32067.749999999996
IG_PLA,1259.1000000000001
IG_TUT,493.19999999999993
JA,0.0
MA_ROTA,8585.4
MA_TO_CO_JA,18202.8
ME,4839.0
PN_PIQ,3531.264
VE_BTGT,2814.75
