crop,revenue
AG,301994.0
AN_NU,20280.0
AN_PA,3170688.0
BA_INT,52527324.08
BA_IRR,8587340.86
BA_PER,10603425.6
BA_SINT,2383258.1399999997
BC_BT,121380.0
CS_BT_NIM,16896097.385371428
CS_BT_NISM,16501.676571428572
CS_CGT_NIM,3554042.8778285715
CS_CGT_NISM,12774.52896
CS_EGT_NIM,8751162.215957144
CS_EGT_NISM,464342.50248
CS_MG_NISM,8181280.670902858
CS_NGT_NIM,15124875.276171427
CS_NGT_NISM,1964381.6656000002
CS_SBT_NIM,2133401.6274999995
IG_PLA,1888650.0
IG_TUT,986399.9999999999
JA,83494.0
MA_ROTA,16226406.0
MA_TO_CO_JA,39318048.0
ME,7040745.0
PN_PIQ,22011545.599999998
VE_BTGT,1970325.0
