crop,subsidy
AG,0.0
AN_NU,0.0
AN_PA,0.0
BA_INT,22814256.08
BA_IRR,3753703.6599999997
BA_PER,4512096.0
BA_SINT,1048750.74
BC_BT,0.0
CS_BT_NIM,11374799.913371429
CS_BT_NISM,11167.756571428572
CS_CGT_NIM,2384430.0110285715
CS_CGT_NISM,8619.99144
CS_EGT_NIM,5804604.922757143
CS_EGT_NISM,309904.98792000004
CS_MG_NISM,6254485.8175428575
CS_NGT_NIM,10148817.536571428
CS_NGT_NISM,1326042.0280000002
CS_SBT_NIM,1473768.0099999998
IG_PLA,0.0
IG_TUT,0.0
JA,83494.0
MA_ROTA,0.0
MA_TO_CO_JA,0.0
ME,0.0
PN_PIQ,2942720.0
VE_BTGT,0.0
