plot,crop,farm,region,island,surface_ha
P1,MA_ROTA,E1,3,2,3.68
P2,MA_ROTA,E1,3,2,3.3
P3,MA_ROTA,E1,3,2,1.36
P4,MA_ROTA,E2,2,2,1.24
P5,MA_PAI_NON_NI,E3,2,2,0.77
P6,MA_PAI_NON_NI,E3,2,2,0.21
P7,MA_PAI_NON_NI,E3,2,2,0.57
P8,MA_PAI_NON_NI,E3,2,2,1.52
P10,MA_ROTA,E4,2,2,0.86
P11,MA_ROTA,E4,2,2,0.6
P12,MA_ROTA,E5,3,2,0.6
P14,MA_ROTA,E5,3,2,1.46
P16,MA_ROTA,E5,3,2,1.46
P17,MA_ROTA,E5,3,2,2.12
P18,MA_ROTA,E5,3,2,0.45
P19,MA_ROTA,E6,1,2,0.76
P20,MA_ROTA,E6,1,2,0.48
P22,MA_ROTA,E6,1,2,0.43
P23,MA_ROTA,E6,1,2,3.59
P24,MA_ROTA,E6,1,2,2.15
P25,MA_ROTA,E6,1,2,0.84
P26,MA_ROTA,E6,1,2,0.9
P27,MA_ROTA,E7,3,2,1.96
P28,MA_ROTA,E7,3,2,1.3
P29,MA_ROTA,E7,3,2,0.44
P30,MA_ROTA,E7,3,2,0.64
P31,MA_ROTA,E7,3,2,0.85
P32,MA_ROTA,E7,3,2,0.49
P33,MA_ROTA,E7,3,2,0.67
P34,MA_ROTA,E7,3,2,0.52
P37,MA_ROTA,E7,3,2,0.24
P38,MA_ROTA,E7,3,2,1.17
P39,MA_ROTA,E7,3,2,3.2
P41,MA_ROTA,E7,3,2,3.61
P42,MA_ROTA,E7,3,2,1.32
P43,MA_ROTA,E7,3,2,0.46
P44,MA_ROTA,E7,3,2,1.01
P47,MA_ROTA,E8,2,2,1.59
P48,MA_ROTA,E9,1,2,4.34
P49,MA_ROTA,E9,1,2,0.86
P50,MA_ROTA,E9,1,2,3.43
P51,MA_ROTA,E9,1,2,1.47
P52,MA_ROTA,E9,1,2,4.36
P53,MA_ROTA,E9,1,2,3.29
P54,MA_ROTA,E10,3,2,0.47
P56,MA_ROTA,E10,3,2,0.05
P57,MA_ROTA,E10,3,2,1.43
P58,MA_ROTA,E10,3,2,0.7
P59,MA_ROTA,E10,3,2,0.18
P60,MA_ROTA,E10,3,2,4.19
P61,MA_ROTA,E10,3,2,0.54
P62,MA_ROTA,E10,3,2,0.04
P63,MA_ROTA,E10,3,2,0.46
P64,MA_ROTA,E10,3,2,0.68
P65,MA_ROTA,E10,3,2,0.96
P66,MA_ROTA,E11,3,2,2.02
P67,MA_ROTA,E11,3,2,0.3
P68,MA_ROTA,E11,3,2,1.25
P69,MA_ROTA,E11,3,2,4.17
P70,MA_ROTA,E11,3,2,0.28
P71,MA_ROTA,E11,3,2,0.39
P72,MA_ROTA,E11,3,2,3.07
P74,MA_ROTA,E12,3,2,1.79
P75,MA_ROTA,E12,3,2,0.9
P77,MA_ROTA,E12,3,2,1.1
P78,MA_ROTA,E13,3,2,1.3
P79,MA_ROTA,E13,3,2,0.98
P80,MA_ROTA,E13,3,2,1.97
P81,MA_ROTA,E13,3,2,2.62
P84,MA_ROTA,E13,3,2,1.52
P86,MA_PAI_NON_NI,E14,7,3,0.19
P87,MA_PAI_NON_NI,E14,7,3,0.28
P88,MA_PAI_NON_NI,E14,7,3,0.27
P89,MA_PAI_NON_NI,E14,7,3,0.7
P90,MA_PAI_NON_NI,E15,7,3,0.45
P91,MA_PAI_NON_NI,E15,7,3,0.43
P92,MA_PAI_NON_NI,E15,7,3,1.48
P93,MA_PAI_NON_NI,E15,7,3,0.16
P94,MA_PAI_NON_NI,E15,7,3,0.49
P95,MA_ROTA,E16,1,2,2.78
P96,MA_ROTA,E16,1,2,0.45
P97,MA_ROTA,E16,1,2,0.44
P98,MA_ROTA,E16,1,2,0.78
P99,MA_ROTA,E16,1,2,1.69
P100,MA_ROTA,E16,1,2,0.87
P101,MA_ROTA,E16,1,2,0.19
P103,MA_ROTA,E17,2,2,1.04
P105,MA_PAI_NON_NI,E18,7,3,0.65
P106,MA_TO_CO_JA,E18,7,3,1.46
P107,MA_ROTA,E19,3,2,1.35
P108,MA_ROTA,E19,3,2,1.81
P109,MA_ROTA,E19,3,2,1.77
P110,MA_ROTA,E19,3,2,1.35
P111,MA_ROTA,E19,3,2,0.61
P112,MA_ROTA,E19,3,2,0.5
P113,MA_ROTA,E19,3,2,0.21
