crop,observed_ha,simulated_ha,abs_deviation_ha,pad_pct,within_threshold
AG,100.84,0.0,100.84,100.0,False
AN,132.67000000000002,0.0,132.67000000000002,100.0,False
BA,1920.8,0.0,1920.8,100.0,False
BC,147.21,0.0,147.21,100.0,False
CS,12812.93,0.0,12812.93,100.0,False
IG,145.42,0.0,145.42,100.0,False
JA,621.47,0.0,621.47,100.0,False
MA,1086.97,24155.09,23068.12,2122.24072421502,False
ME,189.36,0.0,189.36,99.99999999999999,False
PN,6109.43,0.0,6109.43,100.0,False
VE,310.89,0.0,310.89,100.0,False
TOTAL,23577.99,24155.09,45559.14,193.22741251480724,False
