region,crop,observed_ha,simulated_ha,abs_deviation_ha,pad_pct,within_threshold
1,AG,1.42,0.0,1.42,100.0,False
1,AN,0.9299999999999999,0.0,0.9299999999999999,100.0,False
1,BA,8.63,0.0,8.63,100.0,False
1,BC,6.83,0.0,6.83,100.0,False
1,CS,775.8,0.0,775.8,100.0,False
1,IG,20.33,0.0,20.33,100.0,False
1,JA,23.62,0.0,23.62,100.0,False
1,MA,40.6,1532.45,1491.8500000000001,3674.5073891625616,False
1,PN,604.53,0.0,604.53,100.0,False
1,VE,17.67,0.0,17.67,100.0,False
1,TOTAL,1500.3600000000001,1532.45,2951.6099999999997,196.72678557146278,False
2,AG,1.4100000000000001,0.0,1.4100000000000001,99.99999999999999,False
2,AN,1.73,0.0,1.73,100.0,False
2,BA,1.32,0.0,1.32,100.0,False
2,BC,18.47,0.0,18.47,100.0,False
2,CS,2151.11,0.0,2151.11,100.0,False
2,IG,36.1,0.0,36.1,100.0,False
2,JA,52.29,0.0,52.29,100.0,False
2,MA,367.53,4451.51,4083.9800000000005,1111.1963649225916,False
2,ME,10.03,0.0,10.03,100.0,False
2,PN,1725.19,0.0,1725.19,100.0,False
2,VE,38.54,0.0,38.54,100.0,False
2,TOTAL,4403.72,4451.51,8120.170000000001,184.39342192509972,False
3,AG,0.62,0.0,0.62,100.0,False
3,BA,159.43,0.0,159.43,100.0,False
3,BC,4.07,0.0,4.07,100.0,False
3,CS,4019.76,0.0,4019.76,100.0,False
3,IG,38.81,0.0,38.81,100.0,False
3,JA,219.81,0.0,219.81,100.0,False
3,MA,176.24,6346.2,6169.96,3500.88515660463,False
3,ME,179.33,0.0,179.33,100.0,False
3,PN,1298.81,0.0,1298.81,100.0,False
3,VE,51.76,0.0,51.76,100.0,False
3,TOTAL,6148.639999999999,6346.2,12142.36,197.48041843399517,False
4,AG,14.95,0.0,14.95,100.0,False
4,AN,121.55,0.0,121.55,100.0,False
4,BA,102.1,0.0,102.1,100.0,False
4,BC,27.34,0.0,27.34,100.0,False
4,CS,3256.9,0.0,3256.9,100.0,False
4,IG,32.25,0.0,32.25,100.0,False
4,JA,69.72,0.0,69.72,100.0,False
4,MA,165.87,4557.65,4391.78,2647.724121299813,False
4,PN,634.92,0.0,634.92,100.0,False
4,VE,53.61,0.0,53.61,100.0,False
4,TOTAL,4479.21,4557.65,8705.119999999999,194.34498494154101,False
5,AG,37.66,0.0,37.66,100.0,False
5,AN,7.75,0.0,7.75,100.0,False
5,BA,1427.01,0.0,1427.01,100.0,False
5,BC,81.31,0.0,81.31,100.0,False
5,CS,318.72,0.0,318.72,100.0,False
5,IG,5.26,0.0,5.26,100.0,False
5,JA,190.46,0.0,190.46,100.0,False
5,MA,75.74,2546.9,2471.1600000000003,3262.6881436493272,False
5,PN,208.62,0.0,208.62,100.0,False
5,VE,48.49,0.0,48.49,100.0,False
5,TOTAL,2401.0199999999995,2546.9,4796.44,199.76676579120542,False
6,AG,44.27,0.0,44.27,100.0,False
6,AN,0.04,0.0,0.04,100.0,False
6,BA,222.31,0.0,222.31,100.0,False
6,BC,8.28,0.0,8.28,100.0,False
6,CS,104.55,0.0,104.55,100.0,False
6,IG,4.65,0.0,4.65,100.0,False
6,JA,51.83,0.0,51.83,100.0,False
6,MA,202.25,1050.79,848.54,419.5500618046972,False
6,PN,280.28,0.0,280.28,100.0,False
6,VE,94.77,0.0,94.77,100.0,False
6,TOTAL,1013.2299999999999,1050.79,1659.52,163.78512282502493,False
7,AG,0.51,0.0,0.51,100.0,False
7,AN,0.6699999999999999,0.0,0.6699999999999999,100.00000000000001,False
7,BC,0.91,0.0,0.91,100.0,False
7,CS,2186.09,0.0,2186.09,100.0,False
7,IG,8.02,0.0,8.02,100.0,False
7,JA,13.74,0.0,13.74,100.0,False
7,MA,58.74,3669.59,3610.8500000000004,6147.173987061628,False
7,PN,1357.08,0.0,1357.08,100.0,False
7,VE,6.05,0.0,6.05,100.0,False
7,TOTAL,3631.81,3669.59,7183.920000000001,197.80550193980415,False
