farm,observed_ha,simulated_ha,abs_deviation_ha,pad_pct,within_threshold
E1,8.34,8.34,16.68,200.0,False
E10,9.700000000000001,9.700000000000001,19.400000000000002,200.0,False
E100,14.169999999999998,14.17,20.08,141.7078334509527,False
E1000,7.7700000000000005,7.7700000000000005,15.540000000000001,200.0,False
E1001,1.46,1.46,2.92,200.0,False
E1002,12.41,13.18,25.59,206.20467365028202,False
E1003,4.92,4.92,9.84,200.0,False
E1004,2.98,2.98,5.2,174.49664429530202,False
E1005,6.4,6.4,12.8,200.0,False
E1006,5.03,5.03,0.0,0.0,True
E1007,5.83,5.83,11.3,193.82504288164665,False
E1008,6.199999999999999,6.199999999999999,12.399999999999999,200.0,False
E1009,1.9300000000000002,1.9300000000000002,3.8600000000000003,200.0,False
E101,11.11,11.11,22.22,200.0,False
E1010,5.67,5.67,11.34,200.0,False
E1011,2.7800000000000002,2.7800000000000002,4.32,155.3956834532374,False
E1012,910.99,910.99,1821.98,200.0,False
E1013,5.43,9.64,15.07,277.5322283609577,False
E1014,0.28,0.28,0.56,200.0,False
E1015,11.54,11.54,23.08,200.00000000000003,False
E1016,5.9,5.9,11.8,200.0,False
E1017,8.159999999999998,8.16,16.32,200.00000000000003,False
E1018,6.73,6.73,13.02,193.46210995542347,False
E1019,10.53,10.53,21.06,200.0,False
E102,2.13,2.13,4.26,200.0,False
E1020,13.29,13.29,25.56,192.32505643340858,False
E1021,3.13,3.13,6.26,200.0,False
E1022,1.61,1.61,0.0,0.0,True
E1023,6.3500000000000005,6.3500000000000005,12.620000000000001,198.74015748031493,False
E1024,6.86,6.86,12.440000000000001,181.34110787172014,False
E1025,2.63,2.63,5.26,200.0,False
E1026,7.03,7.03,13.540000000000001,192.6031294452347,False
E1027,17.04,17.04,34.08,200.0,False
E1028,2.72,2.7199999999999998,2.6599999999999997,97.7941176470588,False
E1029,7.08,7.08,14.16,200.0,False
E103,4.3100000000000005,4.3100000000000005,8.620000000000001,200.0,False
E1030,0.85,0.85,1.7,200.0,False
E1031,8.92,8.92,17.52,196.41255605381167,False
E1032,2.02,2.02,0.0,0.0,True
E1033,2.73,2.73,5.46,200.0,False
E1034,7.86,7.86,15.72,200.0,False
E1035,7.72,7.720000000000001,15.440000000000001,200.00000000000003,False
E1036,206.32000000000002,206.32,407.46000000000004,197.48933695230707,False
E1037,6.4,6.4,12.8,200.0,False
E1038,6.68,6.68,13.36,200.0,False
E1039,7.65,7.65,15.3,200.0,False
E104,12.66,13.23,25.89,204.50236966824644,False
E1040,6.65,6.65,12.96,194.88721804511277,False
E1041,11.64,11.64,17.82,153.09278350515464,False
E1042,11.29,11.29,22.58,200.00000000000003,False
E1043,7.79,7.79,15.58,200.0,False
E1044,2.14,2.14,0.0,0.0,True
E1045,6.58,6.58,12.86,195.44072948328267,False
E1046,0.98,0.98,1.96,200.0,False
E1047,9.68,9.68,19.36,200.0,False
E1048,7.56,7.56,14.26,188.62433862433863,False
E1049,1.9300000000000002,1.9300000000000002,0.0,0.0,True
E105,14.18,14.18,26.9,189.70380818053596,False
E1050,7.779999999999999,7.779999999999999,14.52,186.6323907455013,False
E1051,1.3399999999999999,1.65,2.9899999999999998,223.134328358209,False
E1052,2.2600000000000002,2.2600000000000002,4.5200000000000005,200.0,False
E1053,15.950000000000001,17.94,33.89,212.47648902821317,False
E1054,68.12,70.57,138.69,203.59659424544918,False
E1055,21.98,21.98,43.96,200.0,False
E1056,2.73,2.73,5.46,200.0,False
E1057,8.06,8.56,16.62,206.20347394540943,False
E1058,7.6499999999999995,7.65,15.3,200.0,False
E1059,3.2899999999999996,3.29,6.299999999999999,191.48936170212764,False
E106,7.8100000000000005,8.69,16.5,211.26760563380282,False
E1060,13.61,13.61,27.22,200.0,False
E1061,3.3699999999999997,3.37,6.739999999999999,200.0,False
E1062,3.85,3.85,7.7,200.0,False
E1063,1.56,1.56,3.12,200.0,False
E1064,3.93,3.93,7.86,200.0,False
E1065,8.71,8.71,17.42,200.0,False
E1066,2.58,3.29,5.87,227.51937984496124,False
E1067,7.37,7.37,14.540000000000001,197.28629579375848,False
E1068,9.46,9.46,18.92,200.0,False
E1069,2.66,2.66,5.32,200.0,False
E107,5.06,5.0600000000000005,10.120000000000001,200.00000000000003,False
E1070,7.85,7.85,15.7,200.0,False
E1071,3.32,3.32,6.64,200.0,False
E1072,3.45,3.45,6.9,200.0,False
E1073,7.53,7.53,15.06,200.0,False
E1074,1.9900000000000002,1.9900000000000002,3.9800000000000004,200.0,False
E1075,4.2700000000000005,4.2700000000000005,8.540000000000001,200.0,False
E1076,1.78,1.78,3.2199999999999998,180.8988764044944,False
E1077,3.97,3.97,7.94,200.0,False
E1078,3.48,3.48,6.96,200.0,False
E1079,10.19,10.19,20.38,200.0,False
E108,6.65,6.6499999999999995,13.299999999999999,200.0,False
E1080,3.0,3.0,6.0,200.0,False
E1081,3.08,3.08,6.16,200.0,False
E1082,7.6899999999999995,7.6899999999999995,15.379999999999999,200.0,False
E1083,8.579999999999998,8.58,17.16,200.00000000000003,False
E1084,3.2800000000000002,3.2800000000000002,6.5600000000000005,199.99999999999997,False
E1085,5.48,5.48,10.96,199.99999999999997,False
E1086,1.53,1.53,3.06,200.0,False
E1087,7.1899999999999995,7.1899999999999995,14.379999999999999,200.0,False
E1088,3.0,3.0,6.0,200.0,False
E1089,5.55,5.55,11.1,200.0,False
E109,9.02,9.02,17.74,196.6740576496674,False
E1090,1.45,1.45,2.9,200.0,False
E1091,4.029999999999999,4.03,8.06,200.00000000000003,False
E1092,4.9399999999999995,4.9399999999999995,9.879999999999999,200.0,False
E1093,8.01,8.01,15.8,197.25343320848938,False
E1094,1.59,1.59,3.18,200.0,False
E1095,1.85,1.85,3.7,200.0,False
