crop,region,island,surface,production,sales,subsidy,revenue,gross_margin,labor_hours,labor_cost,etp
AG,1,2,1.42,28.4,19880.0,0.0,19880.0,8518.13956333333,699.0186666666666,10834.789333333332,0.43498361335822444
AG,2,2,1.4100000000000001,28.2,19740.0,0.0,19740.0,8458.152664999998,694.096,10758.488,0.43192034847542005
AG,3,2,0.62,12.399999999999999,8680.0,0.0,8680.0,3719.1876966666655,305.20533333333333,4730.682666666667,0.18992242273387264
AG,4,1,14.95,299.0,209300.0,0.0,209300.0,89680.41300833331,7359.386666666666,114070.49333333333,4.579580999792574
AG,5,1,37.66,753.1999999999999,527240.0,0.0,527240.0,225910.6591233333,18538.762666666666,287350.8213333333,11.53625554864136
AG,6,1,44.27,885.4,619780.0,0.0,619780.0,265561.99892166664,21792.645333333334,337786.00266666664,13.561073636175067
AG,7,3,0.51,10.2,7140.0,0.0,7140.0,3059.3318149999996,251.05599999999998,3891.3679999999995,0.15622650902302426
AN_NU,1,2,0.9299999999999999,18.6,13640.0,0.0,13640.0,6481.7155999999995,407.34,6313.7699999999995,0.25347853142501553
AN_NU,2,2,1.73,34.6,25373.333333333332,0.0,25373.333333333332,12057.384933333333,757.74,11744.97,0.47152457996266334
AN_NU,4,1,121.55,2431.0,1782733.3333333333,0.0,1782733.3333333333,847153.2593333332,53238.9,825202.95,33.12937149968886
AN_NU,5,1,7.75,155.0,113666.66666666666,0.0,113666.66666666666,54014.29666666666,3394.5,52614.75,2.112321095208463
AN_NU,6,1,0.04,0.8,586.6666666666666,0.0,586.6666666666666,278.78346666666664,17.52,271.56,0.01090230242688239
AN_NU,7,3,0.6699999999999999,13.4,9826.666666666666,0.0,9826.666666666666,4669.623066666666,293.46000000000004,4548.63,0.18261356565028003
BA_INT,1,2,8.63,388.35,209709.0,161018.54,370727.54,89230.61854999998,13446.8884375,208426.77078125,8.36769660080896
BA_INT,2,2,1.32,59.4,32076.0,24628.560000000005,56704.56,13648.252199999999,2056.76625,31879.876875,1.2798794337274426
BA_INT,3,2,159.43,7174.35,3874149.0,2974644.94,6848793.94,1648440.0365499998,248416.8509375,3850461.18953125,154.58422584785313
BA_INT,4,1,102.1,4594.5,2481030.0,1904981.8,4386011.8,1055671.6284999999,159087.753125,2465860.1734375,98.99673498755445
BA_INT,5,1,1427.01,64215.45,34676343.0,26625152.58,61301495.58,14754691.190849999,2223504.5503125,34464320.52984375,1383.6369323662104
BA_INT,6,1,222.31,10003.95,5402133.0,4147859.98,9549992.98,2298593.1413499997,346393.7159375,5369102.59703125,215.55302796359678
BC_BT,1,2,6.83,177.58,142064.0,0.0,142064.0,77770.051125,4158.61625,64458.551875000005,2.5878134723086497
BC_BT,2,2,18.47,480.22,384176.0,0.0,384176.0,210309.347625,11245.92125,174311.779375,6.998084163036714
BC_BT,3,2,4.07,105.82000000000001,84656.0,0.0,84656.0,46343.207625,2478.12125,38410.879375,1.5420791848164281
BC_BT,4,1,27.34,710.84,568672.0,0.0,568672.0,311307.93525000004,16646.6425,258022.95875000002,10.358831673926572
BC_BT,5,1,81.31,2114.06,1691248.0,0.0,1691248.0,925839.3641250001,49507.62625,767368.206875,30.807483665214686
BC_BT,6,1,8.28,215.28,172224.0,0.0,172224.0,94280.53050000001,5041.485,78143.0175,3.1372028624766646
