crop,region,island,surface,production,sales,subsidy,revenue,gross_margin,labor_hours,labor_cost,etp
AG,4,1,123.45,2469.0,1728300.0,0.0,1728300.0,740538.2599249998,60770.32,941939.96,37.816004978220285
AG,5,1,96.34,1926.8,1348760.0,0.0,1348760.0,577913.7785433332,47424.97066666667,735087.0453333333,29.511493880937564
AG,6,1,74.74,1494.8,1046360.0,0.0,1046360.0,448342.0781433332,36792.01066666667,570276.1653333333,22.894841734080064
AN_PA,1,2,385.15,13480.25,9885516.666666666,0.0,9885516.666666666,6302324.994999999,167925.4,2602843.7,104.49620410703173
AN_PA,2,2,2011.13,70389.55,51619003.33333333,0.0,51619003.33333333,32908723.528999995,876852.68,13591216.540000001,545.6457249533291
AN_PA,3,2,3322.18,116276.3,85269286.66666666,0.0,85269286.66666666,54361827.99399999,1448470.48,22451292.44,901.3506409458619
AN_PA,4,1,209.45,7330.75,5375883.333333333,0.0,5375883.333333333,3427293.1849999996,91320.2,1415463.1,56.82650902302427
AN_PA,5,1,1359.23,47573.05,34886903.33333333,0.0,34886903.33333333,22241488.258999996,592624.28,9185676.34,368.77677660236463
AN_PA,6,1,259.41,9079.35,6658189.999999999,0.0,6658189.999999999,4244803.652999999,113102.76,1753092.78,70.38130678282513
AN_PA,7,3,1750.13,61254.55,44920003.33333333,0.0,44920003.33333333,28637902.228999995,763056.68,11827378.540000001,474.83303049159923
BC_BT,4,1,93.59,2433.34,1946672.0,0.0,1946672.0,1065666.044625,56984.61125,883261.474375,35.46024346608588
BC_BT,5,1,46.95,1220.7,976560.0,0.0,976560.0,534597.935625,28586.68125,443093.559375,17.788849564405727
BC_BT,6,1,15.67,407.42,325936.0,0.0,325936.0,178427.042625,9541.07125,147886.604375,5.937194306160547
IG_PLA,1,2,0.04,0.72,1080.0,0.0,1080.0,455.84619999999995,26.88,416.64,0.01672682016179216
IG_PLA,2,2,0.08,1.44,2160.0,0.0,2160.0,911.6923999999999,53.76,833.28,0.03345364032358432
IG_PLA,3,2,0.07,1.2600000000000002,1890.0000000000002,0.0,1890.0000000000002,797.73085,47.040000000000006,729.1200000000001,0.029271935283136284
IG_PLA,4,1,116.27,2092.86,3139290.0,0.0,3139290.0,1325030.9418499998,78133.44,1211068.32,48.62068450528936
IG_PLA,5,1,134.1,2413.8,3620700.0,0.0,3620700.0,1528224.3854999999,90115.2,1396785.6,56.076664592408214
IG_PLA,6,1,34.2,615.6,923400.0,0.0,923400.0,389748.50099999993,22982.399999999998,356227.2,14.301431238332295
MA_PAI_NON_NI,4,1,4.96,178.56,137491.2,0.0,137491.2,44368.449424,5594.88,86720.64,3.481568139390168
MA_PAI_NON_NI,5,1,13.79,496.44,382258.8,0.0,382258.8,123355.023701,15555.119999999999,241104.36,9.6796017423771
MA_PAI_NON_NI,6,1,1.56,56.16,43243.200000000004,0.0,43243.200000000004,13954.592964,1759.6799999999998,27275.04,1.0950093341630367
MA_ROTA,1,2,39.33,2123.82,1561007.7,0.0,1561007.7,429433.6862969998,65012.490000000005,1007693.595,40.455812072184195
MA_ROTA,2,2,99.63,5380.02,3954314.7,0.0,3954314.7,1087833.1595669994,164688.38999999998,2552670.045,102.48188550093342
MA_ROTA,3,2,192.54,10397.16,7641912.6,0.0,7641912.6,2102292.447485999,318268.62,4933163.61,198.05141257000622
MA_ROTA,4,1,105.36,5689.44,4181738.4,0.0,4181738.4,1150397.4876239996,174160.08,2699481.24,108.37590541381456
MA_ROTA,5,1,717.36,38737.44,28472018.4,0.0,28472018.4,7832660.798423996,1185796.08,18379839.24,737.8942626011201
ME,1,2,18.24,364.8,437760.0,0.0,437760.0,170379.91296000002,11454.72,177548.16,7.128014934660858
ME,2,2,57.56,1151.2,1381440.0,0.0,1381440.0,537668.19024,36147.68,560289.04,22.49388923459863
ME,3,2,131.13,2622.6,3147120.0,0.0,3147120.0,1224885.85452,82349.64,1276419.42,51.244331051649034
PN_PIQ,1,2,1089.69,719.1954000000001,3595977.0,599329.5,4195306.5,1745683.38,137300.94,2128164.57,85.43929060360921
PN_PIQ,2,2,2283.11,1506.8526000000002,7534263.0,1255710.5,8789973.5,3657542.22,287671.86,4458913.83,179.01173615432484
PN_PIQ,3,2,2700.28,1782.1848,8910924.0,1485154.0,10396078.0,4325848.56,340235.27999999997,5273646.84,211.72077162414436
PN_PIQ,4,1,3904.57,2577.0162,12885081.0,2147513.5,15032594.5,6255121.14,491975.82,7625625.21,306.1455009334163
PN_PIQ,5,1,46.42,30.637200000000004,153186.0,25531.0,178717.0,74364.84,5848.92,90658.26,3.6396515245799628
PN_PIQ,6,1,249.47,164.6502,823251.0,137208.5,960459.5,399650.94,31433.219999999998,487214.91,19.560186683260735
PN_PIQ,7,3,1919.46,1266.8436000000002,6334218.0,1055703.0,7389921.0,3074974.92,241851.96,3748705.38,150.4990416925949
TH,5,1,132.71,2388.78,7166340.0,0.0,7166340.0,2972868.82582,216184.59,3350861.145,134.5268139390168
TH,6,1,415.74,7483.32,22449960.0,0.0,22449960.0,9313092.34908,677240.46,10497227.13,421.4315245799627
