farm,revenue
E1,112394.33333333333
E10,79669.33333333333
E100,273593.83333333326
E1000,29914.5
E1001,5621.0
E1002,50743.0
E1003,75447.16666666666
E1004,57069.83333333333
E1005,97289.5
E1006,19365.5
E1007,22445.5
E1008,99573.83333333333
E1009,38410.166666666664
E101,42773.5
E1010,21829.5
E1011,46153.333333333336
E1012,15077048.933333332
E1013,266996.39999999997
E1014,1078.0
E1015,178165.16666666666
E1016,81620.0
E1017,31416.0
E1018,25910.5
E1019,40540.5
E102,8200.5
E1020,51166.5
E1021,12050.5
E1022,31505.83333333333
E1023,24447.5
E1024,26411.0
E1025,10125.5
E1026,27065.5
E1027,361109.0
E1028,146880.0
E1029,27258.0
E103,84661.5
E1030,3272.5
E1031,235762.80000000002
E1032,109080.0
E1033,10510.5
E1034,30261.0
E1035,128669.5
E1036,961884.0
E1037,24640.0
E1038,136110.3333333333
E1039,29452.5
E104,238261.8
E1040,25602.5
E1041,181168.16666666666
E1042,43466.5
E1043,127512.0
E1044,59320.8
E1045,25333.0
E1046,3773.0
E1047,37268.0
E1048,29106.0
E1049,36446.666666666664
E105,254162.76666666666
E1050,29953.0
E1051,6352.5
E1052,8701.0
E1053,107030.0
E1054,1112290.6666666665
E1055,84623.0
E1056,52834.83333333333
E1057,339746.4
E1058,109863.33333333333
E1059,28374.5
E106,88037.33333333334
E1060,226713.66666666663
E1061,47226.666666666664
E1062,74382.0
E1063,34367.666666666664
E1064,15130.5
E1065,196488.66666666663
E1066,125671.93333333333
E1067,165165.0
E1068,179320.16666666666
E1069,10241.0
E107,97148.33333333331
E1070,109900.0
E1071,66014.66666666666
E1072,69351.33333333333
E1073,133928.66666666666
E1074,39513.83333333333
E1075,49400.666666666664
E1076,24306.333333333332
E1077,15284.5
E1078,63139.99999999999
E1079,148685.56666666665
E108,25602.5
E1080,24203.666666666664
E1081,63563.49999999999
E1082,100292.5
E1083,159133.3333333333
E1084,62369.99999999999
E1085,100074.33333333333
E1086,22034.833333333332
E1087,133492.3333333333
E1088,57146.83333333333
E1089,75254.66666666666
E109,146864.66666666666
E1090,34800.0
E1091,78565.66666666666
E1092,55452.833333333336
E1093,156502.5
E1094,6121.5
E1095,7122.5
E1096,94913.0
E1097,47688.666666666664
E1098,66091.66666666666
E1099,6814.5
E11,177061.49999999997
E110,177895.66666666666
