plot,crop,farm,region,island,surface_ha
P3,PN_PIQ,E1,3,2,1.36
P4,MA_ROTA,E2,2,2,1.24
P6,IG_PLA,E3,2,2,0.21
P8,MA_TO_CO_JA,E3,2,2,1.52
P10,BC_GTMG,E4,2,2,0.86
P12,BC_GTMG,E5,3,2,0.6
P15,MA_TO_CO_JA,E5,3,2,0.63
P21,BC_GTMG,E6,1,2,0.51
P26,MA_TO_CO_JA,E6,1,2,0.9
P32,MA_TO_CO_JA,E7,3,2,0.49
P33,MA_TO_CO_JA,E7,3,2,0.67
P46,MA_TO_CO_JA,E7,3,2,1.67
P47,VE_BTGT,E8,2,2,1.59
P50,BC_GTMG,E9,1,2,3.43
P51,MA_TO_CO_JA,E9,1,2,1.47
P54,MA_TO_CO_JA,E10,3,2,0.47
P58,MA_TO_CO_JA,E10,3,2,0.7
P61,MA_TO_CO_JA,E10,3,2,0.54
P62,MA_TO_CO_JA,E10,3,2,0.04
P65,MA_TO_CO_JA,E10,3,2,0.96
P67,BC_GTMG,E11,3,2,0.3
P71,BC_GTMG,E11,3,2,0.39
P73,MA_TO_CO_JA,E12,3,2,0.11
P83,MA_TO_CO_JA,E13,3,2,3.03
P84,MA_TO_CO_JA,E13,3,2,1.52
P87,PN_PIQ,E14,7,3,0.28
P90,MA_TO_CO_JA,E15,7,3,0.45
P91,MA_TO_CO_JA,E15,7,3,0.43
P93,IG_PLA,E15,7,3,0.16
P96,MA_TO_CO_JA,E16,1,2,0.45
P97,MA_TO_CO_JA,E16,1,2,0.44
P99,MA_TO_CO_JA,E16,1,2,1.69
P101,BC_GTMG,E16,1,2,0.19
P105,IG_PLA,E18,7,3,0.65
P111,BC_GTMG,E19,3,2,0.61
P112,PN_PIQ,E19,3,2,0.5
P113,MA_TO_CO_JA,E19,3,2,0.21
P116,MA_TO_CO_JA,E20,7,3,0.96
P117,IG_PLA,E20,7,3,0.42
P120,IG_PLA,E20,7,3,0.92
P121,MA_TO_CO_JA,E21,7,3,2.36
P126,MA_TO_CO_JA,E21,7,3,0.41
P129,MA_TO_CO_JA,E21,7,3,2.48
P133,MA_TO_CO_JA,E21,7,3,0.27
P134,MA_TO_CO_JA,E21,7,3,0.35
P135,BC_GTMG,E22,2,2,0.08
P136,MA_TO_CO_JA,E22,2,2,0.8
P137,BC_GTMG,E22,2,2,0.42
P138,MA_TO_CO_JA,E22,2,2,0.1
P139,BC_GTMG,E23,1,2,0.59
P140,PN_PIQ,E23,1,2,0.31
P144,IG_PLA,E24,7,3,0.11
P146,MA_TO_CO_JA,E24,7,3,0.35
P149,MA_TO_CO_JA,E25,2,2,0.47
P150,MA_TO_CO_JA,E25,2,2,0.24
P154,MA_TO_CO_JA,E25,2,2,0.25
