crop,observed_ha,simulated_ha,abs_deviation_ha,pad_pct,within_threshold
AG,100.84,1.42,99.42,98.5918286394288,False
AN,132.67000000000002,1026.32,893.6499999999999,673.5886033014244,False
BA,1920.8,0.0,1920.8,100.0,False
BC,147.21,828.88,681.67,463.0595747571496,False
CS,12812.93,0.0,12812.93,100.0,False
IG,145.42,359.16,213.74000000000004,146.981158025031,False
JA,621.47,0.0,621.47,100.0,False
MA,1086.97,7360.67,6273.7,577.1732430517861,False
ME,189.36,0.0,189.36,99.99999999999999,False
PN,6109.43,1223.69,4885.74,79.97047187708182,False
VE,310.89,421.79,110.90000000000003,35.67178101579338,False
TOTAL,23577.99,11221.930000000002,28703.380000000005,121.73802771143767,False
