farm,observed_ha,simulated_ha,abs_deviation_ha,pad_pct,within_threshold
E1,8.34,1.36,9.7,116.30695443645082,False
E10,9.700000000000001,2.71,12.41,127.93814432989689,False
E100,14.169999999999998,12.43,18.34,129.4283697953423,False
E1000,7.7700000000000005,1.12,8.89,114.41441441441441,False
E1001,1.46,0.0,1.46,100.0,False
E1002,12.41,3.77,16.18,130.37872683319904,False
E1003,4.92,0.74,5.66,115.04065040650407,False
E1004,2.98,2.57,4.79,160.73825503355704,False
E1005,6.4,1.08,7.48,116.875,False
E1006,5.03,8.05,3.0200000000000005,60.03976143141154,False
E1007,5.83,1.9000000000000001,7.370000000000001,126.41509433962266,False
E1008,6.199999999999999,0.2,6.3999999999999995,103.22580645161291,False
E1009,1.9300000000000002,0.8300000000000001,1.7400000000000002,90.15544041450778,False
E101,11.11,6.43,17.54,157.8757875787579,False
E1010,5.67,3.64,9.31,164.19753086419755,False
E1011,2.7800000000000002,4.07,5.61,201.79856115107913,False
E1012,910.99,30.62,941.61,103.36117849811743,False
E1013,5.43,0.66,6.09,112.1546961325967,False
E1014,0.28,0.28,0.0,0.0,True
E1015,11.54,1.1,12.179999999999998,105.54592720970535,False
E1016,5.9,1.35,5.63,95.42372881355932,False
E1017,8.159999999999998,1.88,10.04,123.03921568627452,False
E1018,6.73,5.95,12.12,180.0891530460624,False
E1019,10.53,8.99,19.52,185.37511870845205,False
E102,2.13,2.13,0.0,0.0,True
E1020,13.29,11.64,24.89,187.2836719337848,False
E1021,3.13,0.0,3.13,100.0,False
E1022,1.61,6.51,4.8999999999999995,304.34782608695645,False
E1023,6.3500000000000005,0.7699999999999999,7.12,112.12598425196849,False
E1024,6.86,3.08,8.66,126.23906705539358,False
E1025,2.63,0.0,2.63,100.0,False
E1026,7.03,3.35,9.860000000000001,140.2560455192034,False
E1027,17.04,3.71,20.75,121.77230046948357,False
E1028,2.72,2.7199999999999998,2.6599999999999997,97.7941176470588,False
E1029,7.08,0.0,7.08,100.0,False
E103,4.3100000000000005,0.68,4.99,115.77726218097446,False
E1030,0.85,0.0,0.85,100.0,False
E1031,8.92,2.29,11.209999999999999,125.67264573991031,False
E1032,2.02,2.02,0.0,0.0,True
E1033,2.73,0.89,3.62,132.6007326007326,False
E1034,7.86,0.0,7.86,100.0,False
E1035,7.72,1.31,9.03,116.96891191709844,False
E1036,206.32000000000002,45.89,252.21,122.24214811942612,False
E1037,6.4,0.0,6.4,100.0,False
E1038,6.68,0.36999999999999994,7.05,105.53892215568862,False
E1039,7.65,0.2,7.8500000000000005,102.61437908496731,False
E104,12.66,1.43,14.09,111.2954186413902,False
E1040,6.65,0.9600000000000001,7.2700000000000005,109.32330827067669,False
E1041,11.64,11.64,17.82,153.09278350515464,False
E1042,11.29,1.68,12.969999999999999,114.88042515500443,False
E1043,7.79,1.02,8.81,113.09370988446726,False
E1044,2.14,2.14,0.0,0.0,True
E1045,6.58,1.19,7.47,113.5258358662614,False
E1046,0.98,0.0,0.98,100.0,False
E1047,9.68,1.7,11.379999999999999,117.56198347107438,False
E1048,7.56,2.5,8.879999999999999,117.46031746031746,False
E1049,1.9300000000000002,1.9300000000000002,0.0,0.0,True
E105,14.18,11.889999999999999,25.69,181.1706629055007,False
E1050,7.779999999999999,3.36,10.1,129.82005141388177,False
E1051,1.3399999999999999,0.31,1.65,123.13432835820898,False
E1052,2.2600000000000002,2.2600000000000002,1.32,58.40707964601769,False
E1053,15.950000000000001,0.52,16.47,103.26018808777428,False
E1054,68.12,63.08,112.62,165.32589547856722,False
E1055,21.98,1.79,23.77,108.1437670609645,False
E1056,2.73,0.79,3.52,128.93772893772893,False
E1057,8.06,8.56,16.62,206.20347394540943,False
E1058,7.6499999999999995,1.4,9.05,118.30065359477126,False
E1059,3.2899999999999996,1.37,4.38,133.13069908814592,False
E106,7.8100000000000005,1.92,9.73,124.58386683738796,False
E1060,13.61,3.39,13.64,100.22042615723733,False
E1061,3.3699999999999997,1.7999999999999998,4.549999999999999,135.0148367952522,False
E1062,3.85,1.27,5.12,132.98701298701297,False
E1063,1.56,0.26,1.82,116.66666666666666,False
E1064,3.93,0.88,4.8100000000000005,122.39185750636133,False
