crop,region,island,surface,production,sales,subsidy,revenue,gross_margin,labor_hours,labor_cost,etp,ges,ift,azote,surface_cld,water_need_m3,soil_carbon_balance
AG,4,1,0.66,13.2,9240.0,0.0,9240.0,3959.1352899999993,324.89599999999996,5035.888,0.20217548226509022,1693.2170588235288,3.96,95.03999999999999,0.0,7920.0,-0.51678
AG,6,1,0.76,15.2,10640.0,0.0,10640.0,4559.004273333332,374.12266666666665,5798.901333333333,0.2328081310931342,1949.765098039215,4.56,109.44,0.0,0.0,-0.9601732080000001
AN_NU,1,2,6.98,139.6,102373.33333333331,0.0,102373.33333333331,48647.71493333333,3057.24,47387.22,1.902451773490977,15801.65931372549,51.18666666666667,897.3953333333335,0.0,0.0,-10.612066603707596
AN_NU,4,1,101.88,2037.6,1494240.0,0.0,1494240.0,710061.4896,44623.44,691663.32,27.768164281269446,230640.8382352941,747.12,13098.372000000003,0.0,0.0,-154.89360251944558
AN_NU,5,1,13.290000000000001,265.8,194920.0,0.0,194920.0,92625.80679999999,5821.0199999999995,90225.81,3.622289981331674,30086.540441176472,97.46000000000001,1708.6510000000005,0.0,0.0,-20.205496441729796
AN_NU,6,1,34.34,686.8000000000001,503653.3333333333,0.0,503653.3333333333,239335.60613333332,15040.92,233134.26,9.35962663347853,77740.54166666666,251.82666666666668,4414.979333333335,0.0,0.0,-52.20893512483079
AN_PA,1,2,54.49,1907.15,1398576.6666666665,0.0,1398576.6666666665,891636.2169999998,23757.64,368243.42,14.783845675171126,243718.54485294124,871.84,11697.186666666668,0.0,0.0,-82.84405576447378
AN_PA,4,1,757.09,26498.15,19431976.666666664,0.0,19431976.666666664,12388490.796999998,330091.24,5116414.22,205.4083634100809,3386252.03014706,12113.44,162521.9866666667,0.0,0.0,-1151.0443416906855
AN_PA,5,1,48.93,1712.55,1255870.0,0.0,1255870.0,800656.2689999999,21333.48,330668.94,13.275345364032358,218850.21838235302,782.88,10503.640000000001,0.0,0.0,-74.39089096266659
AN_PA,6,1,9.32,326.2,239213.3333333333,0.0,239213.3333333333,152505.95599999998,4063.52,62984.56,2.5286372121966396,41685.755882352954,149.12,2000.6933333333336,0.0,0.0,-14.169693516698397
BC_BT,4,1,171.13,4449.38,3559504.0,0.0,3559504.0,1948578.162375,104196.77875,1615050.070625,64.83931471686373,222052.18520220584,427.825,13313.914000000002,0.0,2039559.5999999999,-66.0449018540418
BC_BT,5,1,157.59,4097.34,3277872.0,0.0,3277872.0,1794404.444625,95952.61125,1487265.474375,59.709154480398254,204483.16406249997,393.975,12260.502000000002,0.0,1658523.6,-56.202517111356244
BC_BT,6,1,101.52,2639.52,2111616.0,0.0,2111616.0,1155961.287,61812.99,958101.345,38.464835096453015,131728.73161764705,253.8,7898.256000000001,0.0,0.0,-32.68648320612878
BC_GTMG,1,2,68.56,1782.56,1426048.0,0.0,1426048.0,777712.9310000001,42567.19,659791.445,26.488606098319853,82760.36397058822,171.4,5333.968000000001,0.0,929673.6,-30.73402029957055
BC_GTMG,2,2,160.28,4167.28,3333824.0,0.0,3333824.0,1818142.1905,99513.845,1542464.5975,61.92523024268824,193477.70036764702,400.7,12469.784000000001,0.0,2173396.8,-81.93093190448543
BC_GTMG,3,2,169.8,4414.8,3531840.0,0.0,3531840.0,1926132.6675,105424.575,1634080.9125,65.60334474175482,204969.51286764702,424.5,13210.440000000002,0.0,2302488.0,-86.79730619778904
IG_PLA,1,2,35.96,647.28,970920.0,0.0,970920.0,409805.7337999999,24165.12,374559.36,15.037411325451151,91724.44117647059,35.96,4142.592,0.0,207300.0,-76.71742312269805
IG_PLA,2,2,82.47,1484.46,2226690.0,0.0,2226690.0,939840.90285,55419.840000000004,859007.52,34.486521468574985,210359.13970588232,82.47,9500.544,0.0,542250.0,-175.56005287509845
IG_PLA,3,2,62.54,1125.72,1688580.0,0.0,1688580.0,712715.5336999999,42026.88,651416.64,26.15238332296204,159522.98529411762,62.54,7204.607999999999,0.0,580500.0,-133.35362842235463
IG_PLA,7,3,169.8,3056.4,4584600.0,0.0,4584600.0,1935067.1189999997,114105.6,1768636.8,71.00535158680772,433114.85294117645,169.8,19560.96,0.0,0.0,-358.37528796616147
IG_TUT,4,1,4.33,64.95,129900.0,0.0,129900.0,39234.67125,4291.03,66510.965,2.6702115743621655,8503.67426470588,4.33,374.11199999999997,0.0,0.0,-9.276957820465679
IG_TUT,6,1,4.06,60.9,121800.0,0.0,121800.0,36788.167499999996,4023.46,62363.62999999999,2.5037087741132544,7973.422058823528,4.06,350.78399999999993,0.0,0.0,-7.94879364782496
MA_ROTA,1,2,78.27,4226.58,4437909.0,0.0,4437909.0,2185981.7675429997,129380.31,2005394.805,80.51046048537647,367924.8249264705,1174.05,21696.444000000003,0.0,1408860.0,-80.78677325828777
MA_ROTA,2,2,505.09,27274.86,28638603.0,0.0,28638603.0,14106522.690280998,834913.77,12941163.435,519.5480833851898,2374283.2480147057,7576.35,140010.94800000003,0.0,9091620.0,-518.3684675550695
MA_ROTA,3,2,562.7,30385.8,31905090.0,0.0,31905090.0,15715496.877429998,930143.1,14417218.05,578.8071561916615,2645091.3375,8440.5,155980.44000000003,0.0,10128600.0,-576.0431210321316
MA_ROTA,4,1,151.04,8156.16,8563968.0,0.0,8563968.0,4218355.515135999,249669.12,3869871.36,155.36348475420036,709995.7270588235,2265.6,41868.28800000001,22.72,2718720.0,-131.12825460551554
MA_ROTA,5,1,1416.14,76471.56,80295138.0,0.0,80295138.0,39550992.976725996,2340879.42,36283631.01,1456.6766770379588,6656868.041029411,21242.1,392554.0080000001,1389.3,25490520.0,-1063.8104939208558
MA_TO_CO_JA,1,2,198.92,7161.12,7877232.0,0.0,7877232.0,4142559.107948,224381.76,3477917.28,139.6277286869944,303418.819117647,1989.2,15038.352000000003,0.0,2625300.0,-203.7351780718926
MA_TO_CO_JA,2,2,626.02,22536.72,24790392.0,0.0,24790392.0,13037024.194438,706150.56,10945333.68,439.42163036714373,954887.6389705881,6260.2,47327.11200000001,0.0,9397260.0,-639.1220346369623
MA_TO_CO_JA,3,2,949.83,34193.88,37613268.0,0.0,37613268.0,19780449.012176998,1071408.24,16606827.72,666.7132794026136,1448805.0319852938,9498.3,71807.148,0.0,15121080.0,-973.7041293112425
MA_TO_CO_JA,4,1,677.1,24375.6,26813160.0,0.0,26813160.0,14100778.06149,763768.8,11838416.4,475.2761667703796,1032801.5404411764,6771.0,51188.76,0.0,1059840.0,-641.8974930316018
MA_TO_CO_JA,5,1,896.61,32277.96,35505756.0,0.0,35505756.0,18672129.106059,1011376.08,15676329.24,629.3566148102053,1367626.9224264703,8966.1,67783.716,0.0,723240.0,-668.004659807011
MA_TO_CO_JA,6,1,773.14,27833.04,30616344.0,0.0,30616344.0,16100835.253966,872101.92,13517579.76,542.6894337274424,1179294.3183823528,7731.4,58449.384000000005,0.0,0.0,-559.9646890488366
MA_TO_CO_JA,7,3,525.81,18929.16,20822076.0,0.0,20822076.0,10950125.701539,593113.68,9193262.04,369.08131922837583,802034.23125,5258.1,39751.236000000004,0.0,0.0,-525.1698081463861
PN_PIQ,1,2,104.67,69.0822,345411.0,0.0,345411.0,110112.84,13188.42,204420.50999999998,8.206857498444306,1065555.9926470586,0.0,0.0,0.76,0.0,-146.9193639373512
PN_PIQ,2,2,262.39,173.1774,865887.0,0.0,865887.0,276034.28,33061.14,512447.67,20.57320472930927,2671168.7867647056,0.0,0.0,2.08,0.0,-379.2534530101291
PN_PIQ,3,2,164.59,108.6294,543147.0,0.0,543147.0,173148.68,20738.34,321444.27,12.905003111387678,1675550.4044117646,0.0,0.0,2.01,0.0,-238.92276911763153
PN_PIQ,4,1,178.2,117.61200000000001,588060.0,0.0,588060.0,187466.4,22453.2,348024.6,13.972121966397014,1814102.2058823528,0.0,0.0,5.43,0.0,-229.50683446855675
PN_PIQ,5,1,11.67,7.7022,38511.0,0.0,38511.0,12276.84,1470.42,22791.510000000002,0.9150093341630368,118802.31617647057,0.0,0.0,11.67,0.0,-15.583841660460596
PN_PIQ,6,1,43.73,28.861800000000002,144309.0,0.0,144309.0,46003.96,5509.98,85404.69,3.4287367766023644,445177.83088235284,0.0,0.0,17.25,0.0,-58.786970244111
PN_PIQ,7,3,458.44,302.5704,1512852.0,0.0,1512852.0,482278.88,57763.44,895333.32,35.94489110143124,4666986.617647058,0.0,0.0,0.0,0.0,-661.0895781279796
VE_BTGT,1,2,33.5,485.75,340025.0,0.0,340025.0,146311.29466666665,12135.933333333334,188106.96666666667,7.551918689068659,46108.76776960784,150.75,2412.0,0.0,402000.0,-47.1124153170243
VE_BTGT,2,2,242.93,3522.485,2465739.5,0.0,2465739.5,1060997.0989066665,88005.44133333334,1364084.3406666666,54.76380916822236,334364.26729166665,1093.185,17490.96,0.0,2915160.0,-352.64298135820053
VE_BTGT,3,2,123.91,1796.695,1257686.5,0.0,1257686.5,541177.0902133333,44888.462666666666,695771.1713333332,27.933081933208875,170547.38550245098,557.595,8921.52,0.0,1486920.0,-179.87071098709353
VE_BTGT,5,1,10.75,155.875,109112.5,0.0,109112.5,46950.639333333325,3894.366666666667,60362.683333333334,2.423376892760838,14796.097120098038,48.375,774.0,0.0,3600.0,-13.2504265408896
VE_BTGT,6,1,10.7,155.14999999999998,108605.0,0.0,108605.0,46732.264266666665,3876.253333333333,60081.926666666666,2.412105372329392,14727.27806372549,48.15,770.4,0.0,0.0,-13.060620850410002
