farm,revenue
E1,4488.0
E10,107316.0
E100,704781.0
E1000,3696.0000000000005
E1002,96763.33333333333
E1003,29304.0
E1004,101772.0
E1005,22464.0
E1006,456435.0
E1007,75240.0
E1008,7920.0
E1009,14355.0
E101,165036.66666666663
E1010,144144.0
E1011,161172.0
E1012,1212552.0
E1013,16940.0
E1014,924.0000000000001
E1015,22051.0
E1016,24057.0
E1017,74448.0
E1018,123760.0
E1019,218753.3333333333
E102,7029.0
E1020,298312.6666666666
E1022,277632.0
E1023,14850.666666666666
E1024,121968.0
E1026,60602.666666666664
E1027,146916.0
E1028,107712.0
E103,26928.000000000004
E1031,47632.0
E1032,79992.0
E1033,35244.0
E1035,51876.0
E1036,1177843.3333333333
E1038,8448.0
E1039,7920.0
E104,56628.0
E1040,36384.0
E1041,518058.0
E1042,43120.0
E1043,28172.0
E1044,84744.0
E1045,47124.0
E1047,44008.0
E1048,87956.0
E1049,109431.0
E105,311072.99999999994
E1050,133056.0
E1051,1023.0
E1052,14960.0
E1053,20592.0
E1054,2368527.333333333
E1055,45943.33333333333
E1056,2607.0
E1057,485352.0
E1058,39084.0
E1059,54252.0
E106,57232.0
E1060,35162.0
E1061,5940.0
E1062,50292.0
E1063,858.0
E1064,34848.0
E1065,72864.0
E1066,33280.0
E1067,73452.0
E1068,86328.0
E1069,8778.0
E107,72900.0
E1070,25905.0
E1071,26037.0
E1072,24156.0
E1073,17010.0
E1074,20455.5
E1075,54801.0
E1076,42344.0
E1077,41964.0
E1078,29304.0
E1079,47792.0
E108,28955.0
E1080,21240.0
E1081,28998.0
E1082,29952.0
E1083,33072.0
E1084,17754.0
E1085,45540.0
E1086,1518.0
E1087,23711.999999999996
E1088,12960.0
E1089,43956.0
E109,71088.0
E1090,14717.5
E1091,44196.0
E1092,34815.0
E1093,74448.0
E1094,11880.0
E1095,18777.5
E1096,9180.0
E1097,19440.0
E1098,21516.0
E11,14352.0
E110,22280.0
E1100,30368.0
E1101,19602.0
E1102,16432.0
E1103,16224.0
E1104,31284.0
E1105,25868.333333333336
E1106,7788.0
E1107,20592.0
E1108,137781.0
E1109,48708.0
E111,24752.0
E1110,31680.0
E1111,2842.0000000000005
E1112,747648.0
E1113,44928.0
E1114,6900.0
E1115,25443.0
E1116,36828.0
E1117,3300.0
E1118,35748.0
E1119,61487.99999999999
E112,115338.0
E1120,61776.0
E1121,25920.0
E1122,224928.0
E1123,53112.0
E1124,29944.0
E1125,63756.0
E1127,123606.0
E1129,981198.0
E113,125136.0
E1130,1452.0
E1131,201868.0
E1132,173249.99999999997
E1133,202059.0
E1134,931032.0
E1135,10189.0
E1136,96332.0
E1137,349668.0
E1138,4860.0
E1139,60116.00000000001
E114,38016.0
E1140,2772.0
E1141,56672.0
E1142,21564.0
E1143,88704.0
E1144,466884.0
E1145,3728.9999999999995
E1146,37232.0
E1148,19448.0
E1149,9966.0
E115,68508.0
E1150,9797.333333333334
E1151,180404.0
E1152,2112.0
E1153,38016.0
E1154,53856.0
E1155,29700.0
E1156,2904.0
E1157,6210.0
E1158,1815.0000000000002
E1159,144144.0
E116,73260.0
E1160,648252.0
E1161,129586.0
E1162,89046.0
E1163,26532.0
E1164,19404.0
E1166,21388.0
E1167,43560.0
E1168,35832.0
E1169,448497.0
E117,104940.0
E1170,4872.0
E1171,1188.0
E1172,30784.0
E1174,24156.0
E1175,17820.0
E1176,26052.0
E1177,2178.0
E1178,5426.666666666666
E1179,248912.99999999997
E118,5100.0
E1180,1089.0
E1181,22605.0
E1182,6750.0
E1183,15834.0
E1184,19628.0
E1185,33750.0
E1186,11340.0
E1187,52016.5
E1189,88024.33333333333
E119,19887.5
E1190,444528.0
E1191,88542.0
E1192,31284.0
E1193,33072.0
E1197,30286.666666666664
E1198,20239.999999999996
E1199,438084.0
E12,4356.0
E120,60588.0
E1200,143352.0
E1201,8099.666666666667
E1203,66132.0
E1204,176784.0
E1206,7920.0
E1207,2541.0
E121,17142.0
E1212,1023.0
E1213,38688.0
E1214,3373.3333333333335
E1215,3226.6666666666665
E1216,677871.3333333333
E1217,701983.3333333333
E122,87516.0
E1220,1075932.0
E1221,8514.0
E1223,382932.0
E1225,9240.0
E1227,63653.33333333333
E1228,271304.0
E123,1957032.0
E1230,733.3333333333334
E1231,24750.0
E1232,369343.3333333333
E1233,7480.0
E1235,2013.0
E1236,9826.666666666668
E1237,31284.0
E1238,14373.333333333332
E1239,1650.0
E124,42372.0
E1240,16675.999999999996
E1242,6336.0
E1243,111136.66666666666
E1244,2937.0
E1246,7039.999999999999
E1247,537273.3333333334
E125,87516.0
E1250,32076.000000000004
E1251,10032.0
E1253,4840.0
E1254,4400.0
E1255,59488.0
E1256,79801.33333333333
E1257,25740.0
E1258,39996.0
E126,59400.00000000001
E1260,13860.0
E1261,130129.99999999999
E1263,70326.66666666666
E1264,11253.0
E1265,2508.0
E1266,59049.0
E1267,29016.0
E127,17028.0
E1271,61380.0
E1272,9033.5
E1273,13926.0
E1274,26179.0
E1276,3045.0
E1277,31044.0
E1278,5133.333333333333
E1279,125238.66666666667
E128,16020.0
E1280,2508.0
E1282,14871.0
E1284,57962.666666666664
E1285,1419.0
E1286,693.0
E1289,58769.33333333333
E129,29692.0
E1291,5049.0
E1292,4290.0
E1294,12276.0
E1295,16347.0
E1296,3366.0
E1299,5400.0
E13,180180.0
E130,16401.0
E1300,63360.0
E1301,19800.0
E1302,39996.0
E1303,19316.0
E1304,101772.0
E1305,12276.0
E1306,8448.0
E1307,4620.0
E1309,1353.0
E131,97812.0
E1311,4653.0
E1312,7656.000000000001
E1314,55836.0
E1316,15048.0
E1317,1386.0000000000002
E1318,44352.0
E1319,21780.0
E132,56232.0
E1320,1386.0
E1321,20196.0
E1323,1089.0
E1324,97416.0
E1326,1782.0000000000002
E1327,6105.0
E1329,39996.0
E133,49940.0
E1331,29913.0
E1332,2842.0000000000005
E1333,30784.0
E1334,298980.0
E1335,70488.0
E1336,96228.0
E1337,11610.0
E1338,55836.0
E1339,8604.0
E134,68112.0
E1340,7491.0
E1341,6402.0
E1342,196839.0
E1343,13596.0
E1344,12238.0
E1345,81180.0
E1346,28904.0
E1347,85213.33333333333
E1348,61650.0
E1349,180180.0
E135,36386.0
E1350,45010.0
E1351,4973.5
E1352,3531.0
E1353,36036.0
E1355,59400.0
E1356,104895.0
E1357,28954.0
E1358,14535.0
E1359,38340.0
E136,127116.0
E1360,4060.0
E1361,4160.0
E1362,11070.0
E1363,13068.0
E1364,9504.0
E1365,12468.0
E1366,19008.0
E1369,7728.0
E137,42372.0
E1371,253440.0
E1372,101493.0
E1373,9900.0
E1374,16470.0
E1375,60970.0
E1377,52852.0
E1378,16432.0
E1379,70875.0
E138,54696.0
E1381,14363.999999999998
E1382,64136.0
E1383,3510.0
E1385,17870.0
E1386,6800.5
E1388,118800.0
E1389,26040.0
E139,45144.0
E1390,493020.0
E1391,12420.0
E1392,2343.0
E1393,11418.0
E1394,24552.0
E1395,47073.0
E1396,38016.0
E1398,17193.0
E14,924.0000000000001
E140,495.0
E1400,12150.0
E1401,60984.0
E1402,627.0
E1403,49104.0
E1404,16235.999999999998
E1405,23220.0
E1406,27222.0
E141,18867.0
E1410,1254.0
E1411,16922.0
E1412,11067.0
E1413,25773.0
E1416,2343.0
E1417,43683.0
E1418,12480.0
E1419,54456.0
E1420,13230.0
E1421,495232.0
E1422,94248.0
E1423,31743.0
E1424,44672.0
E1425,15225.0
E1426,11694.0
E1427,5511.0
E1428,34056.0
E1429,94248.0
E143,24628.0
E1430,7488.0
E1431,1928.5
E1432,21844.0
E1433,1551.0
E1434,8697.333333333334
E1436,10773.0
E1438,29303.999999999996
E144,22572.0
E1440,83556.0
E1441,28065.0
E1442,15876.0
E1444,106038.0
E1446,32864.0
E1447,6012.0
E1449,16199.0
E145,22950.0
E1451,13464.0
E1452,11679.0
E1453,6204.0
E1455,627.0
E1456,59004.0
E1457,4422.0
E1458,18360.0
E146,15184.0
E1460,24156.0
E1461,49896.0
E1462,19800.0
E1463,6423.999999999999
E1464,16470.0
E1466,37238.66666666667
E1467,22000.0
E1468,466884.0
E1469,100980.0
E147,71274.0
E1470,23760.0
E1472,56520.0
E1474,2013.0
E1475,9180.0
E1476,97020.0
E1478,4770.5
E1479,38353.333333333336
E148,190080.0
E1480,9900.0
E1482,990.0
E1483,72864.0
E1484,2739.0
E1485,278996.6666666666
E1486,139626.66666666666
E1487,61856.66666666666
E1488,636174.0
E1489,12276.0
E149,14652.0
E1490,25971.0
E1492,71442.0
E1493,37224.0
E1494,17820.0
E1495,9273.0
E1496,53889.0
E1497,9036.0
E1498,12420.0
E1499,61803.00000000001
E15,39168.0
E150,85536.0
E1500,10230.0
E1501,182160.0
E1502,11979.0
E1503,32382.0
E1504,58280.0
E1505,112266.0
E1506,49896.0
E1507,25184.0
E1508,22688.5
E1509,40820.0
E151,126720.0
E1510,91080.0
E1511,11258.0
E1512,5785.499999999999
E1513,41976.0
E1514,10591.0
E1515,134493.3333333333
E1517,210466.66666666663
E1518,57906.0
E152,14352.0
E1520,6654.0
E1521,858.0
E1522,1624.0
E1523,2334.5
E1524,30784.0
E1525,17580.0
E1529,4587.0
E153,21524.0
E1531,406559.99999999994
E1533,16632.0
E1534,1617.0
E1535,7280.0
E1536,7227.000000000001
E1537,924.0000000000001
E1538,79595.99999999999
E154,51786.0
E1540,1026.6666666666667
E1541,367832.6666666666
E1542,174020.0
E1543,105336.0
