crop,labor_cost
AG,67297.776
AN_NU,182691.99
AN_PA,2917969.2399999998
BA_INT,29161151.314531248
BA_IRR,4329296.432727273
BA_PER,2726170.918625
BA_SINT,3358941.132954546
BC_BT,2318809.1062499997
BC_GTMG,17707.354999999996
CS_BT_NIM,662906.9007142858
CS_BT_NISM,926.2357142857145
CS_CGT_NIM,156748.64357142858
CS_CGT_NISM,380.34785714285715
CS_EGT_NIM,398139.4657142858
CS_EGT_NISM,26762.300000000003
CS_MG_NISM,413150.39642857143
CS_NGT_NIM,706059.6314285714
CS_NGT_NISM,110884.21
CS_SBT_NIM,57176.39999999999
IG_PLA,2716596.96
IG_TUT,275413.76499999996
JA,41187.840000000004
MA_ROTA,12398756.28
MA_TO_CO_JA,11556399.48
ME,41369.5
NC,0.0
PN_PIQ,11905605.180000002
VE_BTGT,33353.892
