crop,observed_ha,simulated_ha,abs_deviation_ha,pad_pct,within_threshold
AG,100.84,0.0,100.84,100.0,False
AN,132.67000000000002,636.32,503.65000000000003,379.6261400467325,False
BA,1920.8,0.0,1920.8,100.0,False
BC,147.21,407.62,260.40999999999997,176.8969499354663,False
CS,12812.93,11339.68,1473.25,11.49815069621078,True
IG,145.42,801.22,655.8000000000001,450.96960528125436,False
JA,621.47,73.38,548.09,88.19251130384411,False
MA,1086.97,1857.14,770.1700000000001,70.85476140095862,False
ME,189.36,84.9,104.46000000000001,55.164765525982254,False
PN,6109.43,8272.36,2162.9300000000003,35.40313908171466,False
VE,310.89,0.0,310.89,100.0,False
TOTAL,23577.99,23472.620000000003,8811.29,37.370827623559094,False
