crop,gross_margin
AN_NU,1698836.7499999998
AN_PA,6423740.680999999
BC_BT,1249644.696625
BC_GTMG,332.589125
CS_BT_NIM,4627025.182064857
CS_BT_NISM,3320.727086285716
CS_CGT_NIM,1016768.6297445718
CS_CGT_NISM,1760.2868322857144
CS_EGT_NIM,2600902.437687428
CS_EGT_NISM,111981.37852114288
CS_MG_NISM,1712485.8326188575
CS_NGT_NIM,4266850.061041144
CS_NGT_NISM,424027.81892857136
CS_SBT_NIM,211684.3451211666
IG_PLA,7777192.0182
IG_TUT,1076280.4275
JA,8512.08
MA_MOBIO,-328140.12
MA_PLBIO,-7189166.115
MA_ROTA,4591958.135582998
MA_TO_CO_JA,4091834.594106999
ME,793051.2396000001
NC,0.0
PN_PIQ,13252320.72
