crop,labor_cost
AN_NU,1654818.75
AN_PA,2652988.06
BC_BT,3845901.094375
BC_GTMG,1058.591875
CS_BT_NIM,572813.7264285715
CS_BT_NISM,737.047142857143
CS_CGT_NIM,136775.4542857143
CS_CGT_NISM,419.7621428571429
CS_EGT_NIM,359416.9007142858
CS_EGT_NISM,27006.668571428574
CS_MG_NISM,398127.6414285715
CS_NGT_NIM,612549.2385714286
CS_NGT_NISM,106398.8642857143
CS_SBT_NIM,28459.49833333333
IG_PLA,7108295.04
IG_TUT,1824520.19
JA,6824.34
MA_MOBIO,1616384.6400000001
MA_PLBIO,31650225.93
MA_ROTA,8554250.205
MA_TO_CO_JA,6548282.5200000005
ME,826416.6
NC,0.0
PN_PIQ,16155919.08
