crop,production_tonnes
AN_NU,4875.0
AN_PA,13739.949999999999
BC_BT,6357.156
BC_GTMG,1.716
CS_BT_NIM,139808.90300000002
CS_BT_NISM,143.91520000000003
CS_CGT_NIM,28420.938000000002
CS_CGT_NISM,69.77879999999999
CS_EGT_NIM,67571.4195
CS_EGT_NISM,4061.8655999999996
CS_MG_NISM,59879.3208
CS_NGT_NIM,109099.926
CS_NGT_NISM,15160.392
CS_SBT_NIM,6586.56375
IG_PLA,12283.920000000002
IG_TUT,1781.7
JA,0.0
MA_MOBIO,1128.06
MA_PLBIO,21569.895
MA_ROTA,13521.735
MA_TO_CO_JA,10112.31
ME,1698.0
NC,0.0
PN_PIQ,5459.757600000001
