crop,revenue
AN_NU,3575000.0
AN_PA,10075963.333333332
BC_BT,5085724.8
BC_GTMG,1372.8
CS_BT_NIM,9284399.484518573
CS_BT_NISM,9714.596998857143
CS_CGT_NIM,2045232.0714457144
CS_CGT_NISM,5111.1365588571425
CS_EGT_NIM,5183635.992799286
CS_EGT_NISM,317371.02213942853
CS_MG_NISM,4321149.222676571
CS_NGT_NIM,8781364.23631143
CS_NGT_NISM,1242985.1143657141
CS_SBT_NIM,452086.0163875
IG_PLA,18425880.0
IG_TUT,3563400.0
JA,14676.0
MA_MOBIO,1861299.0
MA_PLBIO,33972584.625
MA_ROTA,14197821.75
MA_TO_CO_JA,11123541.0
ME,2037600.0000000002
NC,0.0
PN_PIQ,31848586.000000004
