farm,revenue
E1,23561.921374285717
E10,35459.31358857143
E100,130553.0625
E1000,24819.04611
E1001,4663.553065714286
E1002,57417.91917761905
E1003,15777.611395714286
E1004,19325.25
E1005,19460.077252857143
E1006,213900.75
E1007,22327.458597142857
E1008,18038.221807142858
E1009,6594.053330714286
E101,39920.83276428571
E1010,31644.8125
E1011,28090.125
E1012,2543560.1319592856
E1013,17515.088595714285
E1014,1078.0
E1015,32838.177547142855
E1016,18340.88111214286
E1017,29442.08543
E1018,49145.67299809524
E1019,40540.5
E102,8200.5
E1020,51727.375
E1021,9997.891161428572
E1022,68465.25
E1023,21856.493044285715
E1024,31201.5
E1025,8400.783947142856
E1026,25170.27969857143
E1027,59168.07029142857
E1028,80784.0
E1029,22615.038154285714
E103,13491.200394285715
E1030,2715.0822642857142
E1031,30509.78839514286
E1032,59994.0
E1033,10510.5
E1034,25106.52540857143
E1035,24919.471288
E1036,883754.8432838095
E1037,20442.97234285714
E1038,19684.960862857144
E1039,24435.740378571427
E104,38964.125888571434
E1040,28253.002475619047
E1041,209918.44625142857
E1042,36744.69789285714
E1043,23949.429367142857
E1044,63558.00000000001
E1045,30064.81152142857
E1046,3130.33014
E1047,36800.64642380952
E1048,28443.65657285714
E1049,82073.25
E105,54593.0
E1050,33037.8125
E1051,4280.247334285714
E1052,8268.181522857143
E1053,44763.67336571429
E1054,1010009.957422619
E1055,69922.403412
E1056,8720.20539
E1057,128107.87916666667
E1058,24629.68128857143
E1059,14812.488205714286
E106,26183.975723714284
E1060,44574.97813285714
E1061,10967.79615142857
E1062,14822.5
E1063,4407.265868571429
E1064,15130.5
E1065,29737.844795714285
E1066,9933.0
E1067,41705.57660685715
E1068,33368.35444857143
E1069,9086.817394285714
E107,19481.0
E1070,30222.5
E1071,10095.651230857144
E1072,9911.731162285714
E1073,22036.90720714286
E1074,7318.3031628571425
E1075,16439.5
E1076,6853.0
E1077,14864.797234285714
E1078,11190.745278857143
E1079,32783.01206
E108,20867.787379999998
E1080,8675.435712
E1081,10711.715009857142
E1082,21881.85317114286
E1083,26238.37994142857
E1084,9240.120660571429
E1085,17077.03209714286
E1086,3272.593237714286
E1087,21686.247007142854
E1088,7443.479588571428
E1089,19199.94102857143
E109,30289.487955714285
E1090,5582.5
E1091,14129.549361142857
E1092,14895.369086857143
E1093,28081.708452857143
E1094,5608.184948571428
E1095,7122.5
E1096,17877.645120714285
E1097,8277.543876571428
E1098,14568.484362857143
E1099,5000.551658571429
E11,31779.30677
E110,26020.38388
E1100,38182.47356285714
E1101,8228.611562857142
E1102,7333.011838571429
E1103,14146.868655714286
E1104,9394.0
E1105,9901.040861428572
E1106,9086.0
E1107,9347.040729142856
E1108,41269.0
E1109,29226.828436571428
E111,13689.692994285715
E1110,12759.174915714286
E1111,3528.4187242857142
E1112,217178.5
E1113,8013.5
E1114,4221.047398571429
E1115,8085.0
E1116,13046.543611428571
E1117,3850.0
E1118,19344.23664685714
E1119,21508.78367085714
E112,36881.917395714285
E1120,21551.568152
E1121,10720.242131428571
E1122,89658.125
E1123,17171.0
E1124,9502.35812
E1125,20144.134777142855
E1126,2140.1236671428574
E1127,26621.4375
E1128,17261.791318571428
E1129,313694.67462238093
E113,31647.0
E1130,3272.5932377142854
E1131,43785.5
E1132,92589.3453995238
E1133,59318.1875
E1134,326038.6875
E1135,18501.008084285717
E1136,28567.0
E1137,94002.72326142857
E1138,11969.352166
E1139,20160.694288571427
E114,41230.93669742857
E1140,9295.163987142856
E1141,6314.0
E1142,40956.65339457143
E1143,66528.0
E1144,197939.2955607143
E1145,9154.705266285713
E1146,23534.250119166667
E1147,1948.4708014285711
E1148,12108.424608571428
E1149,13543.688395714285
E115,34083.218224285716
E1150,26352.269035714286
E1151,63361.66504238095
E1152,5645.933105714285
E1153,28512.0
E1154,15977.5
E1155,9425.0
E1156,2960.275849142857
E1157,16266.614365714286
E1158,7091.156031428571
E1159,108108.0
E116,40719.64977142857
E1160,133465.75
E1161,46232.23178285714
E1162,15683.9375
E1163,9758.296062142857
E1164,9881.547310000002
E1165,6196.067784285715
E1166,21788.216760000003
E1167,12705.0
E1168,13146.533892142857
E1169,242723.25
E117,38529.87888142857
E1170,3979.674696428571
E1171,2814.864419142857
E1172,15345.412437142857
E1173,5746.358335714286
E1174,11133.669795
E1175,8431.42706357143
E1176,4620.0
E1177,7787.718224285714
E1178,2037.5
E1179,186684.75
E118,9165.80936857143
E1180,4350.76246
E1181,20246.840339714283
E1182,2443.0582321428574
E1183,15214.834688571429
E1184,43056.89580257143
E1185,20739.504598571428
E1186,9865.14537142857
E1187,10318.0
E1188,3240.1455385714285
E1189,42712.21696742857
E119,25127.560595714287
E1190,261103.5
E1191,46366.38728857143
E1192,11375.511838571429
E1193,15324.189149999998
E1194,7872.985212142858
E1195,3325.4125264285713
E1196,3382.257185
E1197,33277.37570857143
E1198,16907.998375714284
E1199,125023.75
E12,10707.395924285715
E120,22893.630055714286
E1200,32373.75
E1201,20201.475474857143
E1202,4216.363045714285
E1203,13618.0
E1204,38507.875
E1205,670.78503
E1206,22040.079557142857
E1207,10093.717594285714
E1208,0.0
E1209,5909.296692857143
E121,17095.043277142857
E1210,5909.296692857142
E1211,4982.9745085714285
E1212,11339.461221428572
E1213,18170.05677285714
E1214,5165.747334285715
E1215,2827.4129457142853
E1216,302687.0
E1217,195620.81452142858
E1218,5110.743085714285
E1219,11499.171942857143
E122,26686.16987857143
E1220,503579.99999999994
E1221,28045.20268285714
E1222,5685.701682857143
E1223,89247.8125
E1224,4503.842344285714
E1225,6290.4994585714285
E1226,4024.71018
E1227,39968.34280285714
E1228,102484.68149523808
E1229,6037.065269999999
E123,673620.2369271428
E1230,3992.7680357142854
E1231,12735.218135714285
E1232,78945.43148142858
E1233,25745.368294285712
E1234,4088.5944685714285
E1235,7602.23034
E1236,7051.400199999999
E1237,26400.74516857143
E1238,9653.743085714286
E1239,6260.66028
E124,12768.52425642857
E1240,8148.860921428571
E1241,1756.8179357142858
E1242,11987.403365714285
E1243,37098.43518857143
E1244,8588.518102857142
E1245,6707.8503
E1246,18047.31152142857
E1247,152460.0
E1248,3577.52016
E1249,5270.453807142857
E125,44164.13217571429
E1250,10941.813687142858
E1251,10503.912404285715
E1252,7027.271742857143
E1253,5774.342344285714
E1254,18973.633705714285
E1255,33788.81311809523
E1256,36217.06949095238
E1257,5852.0
E1258,28606.801427619048
E1259,4535.7844885714285
E126,15400.0
E1260,13735.34126142857
E1261,51405.79290285714
E1262,3609.462304285714
E1263,44113.19735142857
E1264,9299.534615714285
E1265,20155.493044285715
E1266,21593.776094285713
E1267,25862.183605714286
E1268,3446.707922857143
E1269,9071.568977142857
E127,6155.759395428571
E1270,6413.136872857142
E1271,49495.144714
E1272,6914.752234285714
E1273,56136.13641571429
E1274,20381.69850857143
E1275,0.0
E1276,2858.665465142857
E1277,23460.95477742857
E1278,19580.534447142858
E1279,43110.03661285714
E128,3080.0
E1280,8209.131081428572
E1281,5028.803362857143
E1282,10122.972524285715
E1283,286.0
E1284,24268.49466857143
E1285,5717.643827142858
E1286,3912.483487142857
E1287,2853.422132857143
E1288,12138.014828571428
E1289,16388.166666666664
E129,18692.21667142857
E1290,3122.8667497142856
E1291,20730.45164142857
E1292,3413.7233405714287
E1293,1005.3064194285713
E1294,5856.350296
E1295,9180.264069714285
E1296,7315.208413714286
E1297,941.1379245714286
E1298,2204.0079557142853
E1299,3101.444344
E13,78821.79131857143
E130,11187.813145714284
E1300,12368.9375
E1301,25303.480298571427
E1302,16187.275038857142
E1303,39130.751012
E1304,29529.5
E1305,31526.896409999998
E1306,24923.971801428568
E1307,3884.275849142857
E1308,2204.0079557142853
E1309,3293.982736
E131,30338.47566
E1310,1433.0963851428571
E1311,4316.317388571429
E1312,4192.281333714285
E1313,1925.0548457142856
E1314,20999.78052342857
E1315,1818.107354285714
E1316,8594.195107428572
E1317,3080.087753142857
E1318,31671.0
E1319,13026.092427428572
E132,21417.888577142858
E1320,4021.2256777142857
E1321,12042.155905142856
E1322,1689.7703645714287
E1323,2352.844811428571
E1324,23561.5625
E1325,4277.899657142857
E1326,4577.3526331428575
E1327,8313.735836571428
E1328,3241.5354714285722
E1329,21767.004064285717
E133,47847.61384428571
E1330,4331.87013
E1331,7969.5
E1332,8441.431797857143
E1333,42671.23772914286
