crop,observed_ha,simulated_ha,abs_deviation_ha,pad_pct,within_threshold
AG,100.84,0.05,100.79,99.95041650138833,False
AN,132.67000000000002,325.89,193.21999999999997,145.63955679505537,False
BA,1920.8,0.0,1920.8,100.0,False
BC,147.21,247.34,100.13,68.0184770056382,False
CS,12812.93,12231.24,581.6900000000005,4.539867149824439,True
IG,145.42,392.68,247.26000000000002,170.0316325127218,False
JA,621.47,1137.92,516.45,83.10135646129339,False
MA,1086.97,2917.4,1830.43,168.39747187134878,False
ME,189.36,0.0,189.36,99.99999999999999,False
PN,6109.43,6096.11,13.320000000000618,0.2180236126774612,True
VE,310.89,0.49,310.4,99.84238798288783,False
TOTAL,23577.99,23349.120000000003,6003.85,25.46379059453329,False
