region,crop,observed_ha,simulated_ha,abs_deviation_ha,pad_pct,within_threshold
1,AG,1.42,0.0,1.42,100.0,False
1,AN,0.9299999999999999,8.28,7.35,790.3225806451613,False
1,BA,8.63,0.0,8.63,100.0,False
1,BC,6.83,0.14,6.69,97.9502196193265,False
1,CS,775.8,890.57,114.7700000000001,14.793761278680085,True
1,IG,20.33,25.59,5.260000000000002,25.873093949827847,False
1,JA,23.62,13.04,10.580000000000002,44.79254868755293,False
1,MA,40.6,63.22,22.619999999999997,55.7142857142857,False
1,PN,604.53,487.33,117.19999999999999,19.38696177195507,True
1,VE,17.67,0.0,17.67,100.0,False
1,TOTAL,1500.3600000000001,1488.17,312.1900000000001,20.807672825188625,False
2,AG,1.4100000000000001,0.0,1.4100000000000001,99.99999999999999,False
2,AN,1.73,0.0,1.73,100.0,False
2,BA,1.32,0.0,1.32,100.0,False
2,BC,18.47,2.96,15.509999999999998,83.97401191120736,False
2,CS,2151.11,2240.75,89.63999999999987,4.167150912784556,True
2,IG,36.1,51.230000000000004,15.130000000000003,41.91135734072023,False
2,JA,52.29,215.1,162.81,311.35972461273667,False
2,MA,367.53,478.98,111.45000000000005,30.32405517916906,False
2,ME,10.03,0.0,10.03,100.0,False
2,PN,1725.19,1367.92,357.27,20.70902335394942,False
2,VE,38.54,0.21000000000000002,38.33,99.45511157239233,False
2,TOTAL,4403.72,4357.150000000001,804.6299999999999,18.271597649260165,True
3,AG,0.62,0.0,0.62,100.0,False
3,BA,159.43,0.0,159.43,100.0,False
3,BC,4.07,2.56,1.5100000000000002,37.100737100737106,False
3,CS,4019.76,3112.94,906.8200000000002,22.559058252233967,False
3,IG,38.81,261.26,222.45,573.1770162329296,False
3,JA,219.81,772.57,552.76,251.47172558118373,False
3,MA,176.24,319.56,143.32,81.32092600998638,False
3,ME,179.33,0.0,179.33,100.0,False
3,PN,1298.81,1585.62,286.80999999999995,22.082521692934296,False
3,VE,51.76,0.28,51.48,99.45904173106646,False
3,TOTAL,6148.639999999999,6054.789999999999,2504.53,40.73307267948685,False
4,AG,14.95,0.0,14.95,100.0,False
4,AN,121.55,251.68,130.13,107.05882352941177,False
4,BA,102.1,0.0,102.1,100.0,False
4,BC,27.34,3.1100000000000003,24.23,88.62472567666423,False
4,CS,3256.9,3031.58,225.32000000000016,6.918235131566831,True
4,IG,32.25,9.55,22.7,70.3875968992248,False
4,JA,69.72,32.18,37.54,53.8439472174412,False
4,MA,165.87,254.07,88.19999999999999,53.17417254476396,False
4,PN,634.92,868.91,233.99,36.85346185346186,False
4,VE,53.61,0.0,53.61,100.0,False
4,TOTAL,4479.21,4451.08,932.7700000000001,20.824431093875933,False
5,AG,37.66,0.05,37.61,99.86723313860861,False
5,AN,7.75,57.52,49.77,642.1935483870968,False
5,BA,1427.01,0.0,1427.01,100.0,False
5,BC,81.31,193.58,112.27000000000001,138.0764973557988,False
5,CS,318.72,562.29,243.56999999999994,76.42131024096382,False
5,IG,5.26,4.18,1.08,20.53231939163498,False
5,JA,190.46,28.66,161.8,84.9522209387798,False
5,MA,75.74,1285.21,1209.47,1596.870874042778,False
5,PN,208.62,261.87,53.25,25.52487776819097,False
5,VE,48.49,0.0,48.49,100.0,False
5,TOTAL,2401.0199999999995,2393.36,3344.3199999999997,139.28746949213254,False
6,AG,44.27,0.0,44.27,100.0,False
6,AN,0.04,8.41,8.370000000000001,20925.000000000004,False
6,BA,222.31,0.0,222.31,100.0,False
6,BC,8.28,44.99,36.71,443.35748792270533,False
6,CS,104.55,129.55,25.000000000000014,23.912003825920625,False
6,IG,4.65,17.369999999999997,12.719999999999997,273.54838709677415,False
6,JA,51.83,42.31,9.519999999999996,18.367740690719653,True
6,MA,202.25,434.85,232.60000000000002,115.00618046971572,False
6,PN,280.28,327.12,46.84000000000003,16.711859569002442,True
6,VE,94.77,0.0,94.77,100.0,False
6,TOTAL,1013.2299999999999,1004.6,733.11,72.35375975839642,False
7,AG,0.51,0.0,0.51,100.0,False
7,AN,0.6699999999999999,0.0,0.6699999999999999,100.00000000000001,False
7,BC,0.91,0.0,0.91,100.0,False
7,CS,2186.09,2263.56,77.4699999999998,3.5437699271301635,True
7,IG,8.02,23.5,15.48,193.01745635910225,False
7,JA,13.74,34.06,20.32,147.88937409024746,False
7,MA,58.74,81.51,22.770000000000003,38.76404494382023,False
7,PN,1357.08,1197.34,159.74,11.770860966192119,True
7,VE,6.05,0.0,6.05,100.0,False
7,TOTAL,3631.81,3599.97,303.9199999999998,8.368279177600144,True
