crop,gross_margin
AG,119.9050129166666
AN_NU,23033.76738
AN_PA,3888290.986199999
BC_BT,1728127.8553500003
BC_GTMG,40118.8122625
CS_BT_NIM,6094679.2476897715
CS_CGT_NIM,1543190.1551085294
CS_EGT_NIM,3850631.949758215
CS_MG_NISM,2071187.3792353736
CS_NGT_NIM,5015734.674266772
CS_SBT_NIM,923150.2842960663
IG_PLA,1581704.5011049993
IG_TUT,-11238.56812499993
JA,88985.34400000001
MA_MOBIO,-3793338.318000001
MA_PLBIO,-175190.32949999996
MA_ROTA,17366290.596161846
MA_TO_CO_JA,15939100.1899992
NC,0.0
PN_PIQ,3599143.3440000005
VE_BTGT,865.0346973333332
