crop,labor_cost
AG,381.50666666666666
AN_NU,44603.729999999996
AN_PA,2157964.56
BC_BT,2280870.105
BC_GTMG,54469.363750000004
CS_BT_NIM,651131.882857143
CS_CGT_NIM,175505.90214285714
CS_EGT_NIM,441587.80357142864
CS_MG_NISM,446083.00285714294
CS_NGT_NIM,613471.532857143
CS_SBT_NIM,114840.22333333331
IG_PLA,3766217.2800000003
IG_TUT,477711.55
JA,105826.56000000001
MA_MOBIO,8848332.48
MA_PLBIO,385384.095
MA_ROTA,29699674.155
MA_TO_CO_JA,22516594.56
NC,0.0
PN_PIQ,11905702.83
VE_BTGT,2751.415333333333
