crop,observed_ha,simulated_ha,abs_deviation_ha,pad_pct,within_threshold
AG,100.84,0.0,100.84,100.0,False
AN,132.67000000000002,194.18,61.50999999999999,46.3631567046054,False
BA,1920.8,0.0,1920.8,100.0,False
BC,147.21,309.58,162.36999999999998,110.29821343658718,False
CS,12812.93,7763.95,5048.9800000000005,39.40535068871835,False
IG,145.42,0.0,145.42,100.0,False
JA,621.47,77.58,543.89,87.51669428934622,False
MA,1086.97,3710.77,2623.8,241.3866068060756,False
ME,189.36,0.0,189.36,99.99999999999999,False
PN,6109.43,6096.06,13.36999999999989,0.21884201963194422,True
VE,310.89,0.0,310.89,100.0,False
TOTAL,23577.99,18152.12,11121.23,47.167845944459216,False
