crop,region,island,surface,production,sales,subsidy,revenue,gross_margin,labor_hours,labor_cost,etp,ges,ift,azote,surface_cld,water_need_m3,soil_carbon_balance
AN_NU,4,1,0.19,3.04,2229.3333333333335,0.0,2229.3333333333335,328.15457333333353,83.22,1289.91,0.05178593652769135,430.1311274509804,1.3933333333333335,24.42766666666667,0.0,0.0,-0.28886714250779993
AN_PA,1,2,8.8,246.4,180693.33333333334,0.0,180693.33333333334,74262.81866666666,3836.8,59470.4,2.387554449284381,39359.9411764706,140.8,1889.066666666667,0.0,0.0,-13.379109758255998
AN_PA,4,1,177.84,4979.52,3651647.9999999995,0.0,3651647.9999999995,1500784.0535999998,77538.24,1201842.72,48.25030491599253,795428.6294117649,2845.44,38176.32,0.0,0.0,-270.37964538730074
AN_PA,5,1,4.5600000000000005,127.68,93632.0,0.0,93632.0,38481.6424,1988.16,30816.48,1.23718730553827,20395.60588235295,72.96000000000001,978.8800000000001,0.0,0.0,-6.932811420187199
AN_PA,6,1,2.79,78.12,57288.0,0.0,57288.0,23544.689099999996,1216.44,18854.820000000003,0.756963285625389,12478.890441176476,44.64,598.9200000000001,0.0,0.0,-4.241785934719799
BC_BT,4,1,29.97,623.3760000000001,498700.8,0.0,498700.8,131942.88753750004,18247.98375,282843.748125,11.35531036092097,38888.00321691176,74.925,2331.6660000000006,0.0,301032.0,-11.635364129570872
BC_BT,5,1,69.31,1441.6480000000001,1153318.4,0.0,1153318.4,305137.18836250005,42201.12625,654117.456875,26.260812850031115,89934.18428308822,173.275,5392.318000000001,0.0,843296.4,-28.731391495253312
BC_BT,6,1,12.9,268.32,214656.0,0.0,214656.0,56792.233875000005,7854.4875,121744.55625,4.88767112632234,16738.579963235294,32.25,1003.6200000000001,0.0,0.0,-4.697757968260801
BC_GTMG,1,2,18.98,394.784,315827.2,0.0,315827.2,82498.44427499999,11784.2075,182655.21625,7.333047604231487,22911.19761029411,47.45,1476.6440000000002,0.0,257368.8,-9.725452171830591
BC_GTMG,2,2,48.79,1014.832,811865.6,0.0,811865.6,212070.55301249996,30292.49125,469533.614375,18.850336807716243,58895.539062499985,121.975,3795.8620000000005,0.0,661592.4,-24.94016825318096
BC_GTMG,3,2,129.63,2696.304,2157043.2,0.0,2157043.2,563449.5959624999,80484.02625,1247502.4068749999,50.08340152457996,156479.3754595588,324.075,10085.214000000002,0.0,1757782.8,-65.56897854133697
CS_BT_NIM,4,1,2571.11,152209.712,2800658.7007999998,4053674.9080045717,6854333.608804571,873490.156989057,32689.827142857146,506692.3207142858,20.34214507956263,5224790.0633367635,6391.044857142857,185119.92,0.0,0.0,511.5203214110664
CS_BT_NIM,5,1,180.51,10686.192000000001,196625.9328,284596.48075885716,481222.41355885717,61325.15070848571,2295.0557142857147,35573.36357142858,1.4281616143657214,366816.9990132352,448.69628571428575,12996.72,0.0,0.0,70.27366849621758
CS_BT_NIM,6,1,97.91,5796.272000000001,106651.40479999999,154367.30059885714,261018.70539885716,33263.229216485706,1244.8557142857144,19295.26357142857,0.7746457462885591,198964.33645441174,243.37628571428573,7049.52,0.0,0.0,48.44029216035899
CS_CGT_NIM,1,2,614.54,30972.816000000003,613803.7810800001,890307.4856365714,1504111.2667165715,193046.86715365722,7813.437142857143,121108.27571428573,4.862126411236555,1209651.769767647,1527.5708571428572,44246.88,0.0,0.0,-2.7034357180763227
CS_EGT_NIM,2,2,1736.64,79190.784,1692307.05408,2398900.816676571,4091207.870756571,568843.909475657,22080.137142857144,342242.12571428576,13.739973330962753,3358009.753835294,4316.790857142857,125038.08,0.0,0.0,-176.47909821427345
CS_NGT_NIM,3,2,2563.24,110731.96800000001,2418663.0110400002,3559435.1701028566,5978098.181142857,630341.4861630854,32589.765714285717,505141.36857142864,20.27987910036448,4911793.195170588,6371.482285714286,184553.28,0.0,0.0,-369.0836921184228
JA,1,2,5.82,0.0,0.0,698.4,698.4,62.85599999999998,34.92,541.26,0.021729931549471063,701.8235294117645,0.0,0.0,0.0,0.0,3.0265542007516792
JA,2,2,6.61,0.0,0.0,793.1999999999999,793.1999999999999,71.38799999999998,39.66,614.73,0.024679527069072806,797.0882352941175,0.0,0.0,0.0,0.0,3.440968715428199
JA,3,2,55.01,0.0,0.0,6601.2,6601.2,594.1079999999998,330.06,5115.93,0.2053889234598631,6633.558823529411,0.0,0.0,0.0,0.0,28.636564150636193
JA,4,1,2.12,0.0,0.0,254.39999999999998,254.39999999999998,22.895999999999994,12.72,197.16,0.00791537025513379,255.64705882352936,0.0,0.0,0.0,0.0,1.1015510944377598
JA,6,1,1.18,0.0,0.0,141.6,141.6,12.743999999999996,7.08,109.74,0.0044057249533291844,142.29411764705878,0.0,0.0,0.0,0.0,0.6671136968135998
JA,7,3,6.84,0.0,0.0,820.8000000000001,820.8000000000001,73.87199999999999,41.04,636.12,0.025538270068450532,824.8235294117646,0.0,0.0,0.0,0.0,3.560699850760799
MA_MOBIO,1,2,50.4,725.7600000000001,1197504.0,0.0,1197504.0,-519251.0399999999,62899.2,974937.6,39.140759178593655,15194.117647058822,0.0,0.0,0.0,774900.0,-51.11406731035683
MA_MOBIO,2,2,130.13,1873.872,3091888.8,0.0,3091888.8,-1340677.3379999998,162402.24,2517234.72,101.05926571250778,39230.36764705882,0.0,0.0,0.0,2043720.0,-133.55795784855374
MA_MOBIO,3,2,224.63,3234.672,5337208.8,0.0,5337208.8,-2314273.0379999997,280338.24,4345242.72,174.4481891723709,67719.33823529411,0.0,0.0,0.0,3714480.0,-230.21710273912262
MA_MOBIO,4,1,214.79,3092.976,5103410.4,0.0,5103410.4,-2212895.454,268057.92,4154897.7600000002,166.80642190416927,64752.86764705882,0.0,0.0,0.0,1258200.0,-200.81405962824041
MA_MOBIO,5,1,1437.28,20696.832000000002,34149772.8,0.0,34149772.8,-14807720.927999998,1793725.44,27802744.32,1116.1950466708151,433297.6470588235,0.0,0.0,0.0,17595360.0,-1051.3058360614505
MA_MOBIO,6,1,240.81,3467.664,5721645.6,0.0,5721645.6,-2480969.1059999997,300530.88,4658228.64,187.01361543248288,72597.13235294117,0.0,0.0,0.0,0.0,-169.7486490039572
MA_MOBIO,7,3,84.75,1220.4,2013660.0,0.0,2013660.0,-873145.3499999999,105768.0,1639404.0,65.8170504044804,25549.632352941175,0.0,0.0,0.0,0.0,-83.44174177725131
MA_PLBIO,1,2,3.48,75.168,118389.59999999999,0.0,118389.59999999999,-56431.33200000001,6671.16,103402.98000000001,4.151313005600498,2412.970588235294,0.0,0.0,0.0,26820.0,-3.581881718641921
MA_PLBIO,2,2,8.92,192.672,303458.4,0.0,303458.4,-144645.828,17099.64,265044.42,10.640721841941506,6184.970588235294,0.0,0.0,0.0,135000.0,-9.154500644620207
MA_PLBIO,3,2,54.21,1170.9360000000001,1844224.2,0.0,1844224.2,-879063.9390000001,103920.57,1610768.835,64.66743621655257,37588.257352941175,0.0,0.0,0.0,969660.0,-55.63514349157639
MA_PLBIO,4,1,13.11,283.176,446002.2,0.0,446002.2,-212590.44900000002,25131.87,389543.985,15.638998133167393,9090.242647058823,0.0,0.0,4.5600000000000005,53640.0,-13.071429918486956
MA_PLBIO,5,1,212.7,4594.320000000001,7236054.0,0.0,7236054.0,-3449121.93,407745.9,6320061.45,253.73111387678904,147482.42647058822,0.0,0.0,209.73,2323080.0,-160.29327289471394
MA_PLBIO,6,1,39.59,855.144,1346851.8,0.0,1346851.8,-641987.481,75894.03,1176357.4649999999,47.227149968886124,27451.007352941175,0.0,0.0,25.22,0.0,-30.07873662683209
MA_PLBIO,7,3,4.54,98.06400000000001,154450.8,0.0,154450.8,-73620.18600000002,8703.18,134899.29,5.415793403858121,3147.955882352941,0.0,0.0,0.0,0.0,-4.332247822428953
MA_ROTA,1,2,5.76,248.83200000000002,261273.6,0.0,261273.6,45834.33697919994,9521.28,147579.84,5.924878655880523,27076.108235294116,86.4,1596.6720000000005,0.0,103680.0,-5.916623885259665
MA_ROTA,2,2,172.92,7470.144,7843651.2,0.0,7843651.2,1375984.9913963983,285836.76,4430469.78,177.8697946484132,812847.3326470588,2593.8,47933.424000000006,0.0,3112560.0,-177.46594747396034
MA_ROTA,3,2,39.12,1689.9840000000002,1774483.2,0.0,1774483.2,311291.53865039966,64665.36,1002313.08,40.23980087118855,183891.90176470586,586.8,10844.064000000002,0.0,704160.0,-40.14843780465723
MA_ROTA,4,1,6.23,269.136,282592.8,0.0,282592.8,49574.29155909994,10298.19,159621.945,6.408332296204107,29285.44345588235,93.45,1726.9560000000004,0.0,112140.0,-6.051583283640719
MA_ROTA,5,1,17.41,752.1120000000001,789717.6,0.0,789717.6,138537.46645969985,28778.73,446070.315,17.908357187305537,81839.41742647058,261.15,4826.052000000001,15.4,313380.0,-16.04336509512672
MA_TO_CO_JA,1,2,20.01,576.288,633916.8,0.0,633916.8,145529.27767469993,22571.28,349854.84,14.04560049782203,30521.87095588235,200.1,1512.7560000000003,0.0,282420.0,-20.327369330805876
MA_TO_CO_JA,2,2,177.96,5125.2480000000005,5637772.8,0.0,5637772.8,1294272.3765611993,200738.88,3111452.64,124.9152955818295,271447.88382352935,1779.6,13453.776000000002,0.0,3200760.0,-182.63844559603274
MA_TO_CO_JA,3,2,118.98,3426.6240000000003,3769286.4,0.0,3769286.4,865321.0123805996,134209.44,2080246.32,83.51551960174238,181483.86838235293,1189.8,8994.888,0.0,2027880.0,-122.1079020960664
MA_TO_CO_JA,4,1,81.05,2334.2400000000002,2567664.0,0.0,2567664.0,589462.6664434997,91424.4,1417078.2,56.89135034225264,123628.06801470587,810.5,6127.38,0.0,335520.0,-76.44488029751933
MA_TO_CO_JA,5,1,87.1,2508.48,2759328.0,0.0,2759328.0,633463.2726369997,98248.8,1522856.4,61.138021157436214,132856.31985294115,871.0,6584.76,0.0,553500.0,-69.21460344066244
MA_TO_CO_JA,6,1,233.64,6728.832,7401715.2,0.0,7401715.2,1699223.4100907992,263545.92,4084961.76,163.99870566272557,356378.30735294113,2336.4,17663.184,0.0,0.0,-172.84736520993266
MA_TO_CO_JA,7,3,31.25,900.0,990000.0,0.0,990000.0,227275.85843749988,35250.0,546375.0,21.93528313627878,47666.590073529405,312.5,2362.5,0.0,0.0,-32.07154093546877
NC,1,2,97.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-140.95481228634148
NC,2,2,230.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-333.767825282016
NC,3,2,862.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1251.1562672153882
