farm,revenue
E1,19450.90542857143
E10,20318.431714285714
E100,127947.6
E1000,20714.077632
E1001,3892.220507428571
E1002,46615.88037104762
E1003,12775.995990857144
E1004,19869.3
E1005,15851.104813714286
E1006,228160.8
E1007,17260.362802285716
E1008,14971.125514285714
E1009,5222.328987428572
E101,24731.686747428575
E1010,26136.0
E1011,27507.600000000002
E1012,1966797.5845165714
E1013,14554.926043428572
E1014,831.6
E1015,26851.696714285714
E1016,14855.345789142857
E1017,22427.757385142857
E1018,29283.7
E1019,31274.100000000002
E102,6326.099999999999
E1020,32551.200000000004
E1021,8344.280950857143
E1022,73029.6
E1023,16998.232539428573
E1024,25779.6
E1025,7011.328722285714
E1026,20000.26388114286
E1027,28155.6
E1028,86169.6
E1029,18874.603556571426
E103,5940.0
E1030,2266.0187885714286
E1031,24548.114450285713
E1032,63993.600000000006
E1033,8108.1
E1034,20954.00903314286
E1035,10157.400000000001
E1036,726463.7497142857
E1037,17061.788525714284
E1038,16349.567581714286
E1039,20394.169097142854
E104,30483.99042857143
E1040,22849.200118857145
E1041,130807.59999999999
E1042,30414.320685714287
E1043,19912.722152571427
E1044,67795.2
E1045,17392.745792
E1046,2612.5863679999998
E1047,26602.68546742857
E1048,22158.22732342857
E1049,87544.8
E105,42114.6
E1050,23997.6
E1051,3572.3119725714287
E1052,6511.496941714286
E1053,37134.28046742857
E1054,647699.0666666667
E1055,57316.94582857143
E1056,7277.919168
E1057,201663.0
E1058,20055.95429142857
E1059,9949.5
E106,10781.1
E1060,36793.840173714285
E1061,9078.367638857144
E1062,11434.5
E1063,3638.2988571428573
E1064,11672.1
E1065,15711.3
E1066,7202.807515428571
E1067,20607.008142857143
E1068,25392.30726
E1069,7364.991844571428
E107,20510.834142857144
E1070,23314.5
E1071,5197.5
E1072,5049.0
E1073,18126.244594285716
E1074,7641.224506285715
E1075,12681.9
E1076,7654.5
E1077,11596.27885257143
E1078,6771.6
E1079,26607.0804
E108,16804.061999999998
E1080,4662.9
E1081,6254.590834285714
E1082,8927.830714285714
E1083,21254.27014285714
E1084,3861.0
E1085,10395.0
E1087,17623.420714285716
E1088,2494.7999999999997
E1089,10205.548633714285
E109,16542.9
E1090,4306.5
E1091,7959.6
E1092,7514.099999999999
E1093,13632.3
E1094,3831.3
E1095,5494.5
E1096,14818.095579428571
E1097,5197.5
E1098,11813.575779428573
E1099,4128.0698571428575
E11,23858.84442857143
E110,20733.04757142857
E1100,31224.772285714287
E1101,6579.359876571429
E1102,5794.556645142858
E1103,10587.868714285714
E1104,7246.8
E1105,8240.381590857143
E1106,7009.2
E1107,4692.6
E1108,33085.8
E1109,15837.505285714287
E111,10964.892932571427
E1110,8533.537285714285
E1111,2873.220428571429
E1112,138075.3
E1113,8923.734486857142
E1114,1425.6
E1115,6237.0
E1116,10221.185334857142
E1117,2970.0
E1118,10044.0
E1119,13929.3
E112,20496.85881257143
E1120,12236.4
E1121,5108.4
E1122,97950.6
E1123,13246.2
E1124,6237.0
E1125,12147.300000000001
E1126,1786.1559862857143
E1127,27947.7
E1128,14250.003857142858
E1129,304177.1333333333
E113,26254.8
E1131,36590.4
E1132,79249.1837135238
E1133,69201.0
E1134,367054.2
E1135,15322.966544571427
E1136,18235.8
E1137,64003.5
E1138,9538.873285714286
E1139,15726.756857142856
E114,20608.177714285714
E1140,7757.781970285714
E1141,4870.8
E1142,22907.744571428575
E1143,70963.2
E1144,113214.5
E1146,13655.512672
E1147,1626.2017188571429
E1148,9796.844073142858
E1149,11208.759803428571
E115,25652.067071999998
E1150,21993.71177142857
E1151,45903.3
E1152,4638.673755428572
E1153,30412.8
E1154,12234.474075428572
E1155,5940.0
E1156,831.6
E1157,13510.421115428571
E1158,5918.307894857143
E1159,115315.2
E116,33217.30806857142
E1160,115592.4
E1161,25353.899999999998
E1162,18049.614459428572
E1163,7637.198098285715
E1164,8051.518097142858
E1165,5135.683364571429
E1166,18113.118948
E1167,9322.510650857143
E1168,8336.852612571429
E1169,221712.3
E117,20819.7
E1170,3192.463542857143
E1171,2026.0035291428571
E1172,12207.727714285715
E1173,4772.703111428571
E1174,8805.938016
E1175,6821.170738285715
E1176,3564.0
E1177,6454.941476571427
E1178,1559.1000000000001
E1179,199130.4
E118,7300.259756571429
E1180,3591.654
