crop,observed_ha,simulated_ha,abs_deviation_ha,pad_pct,within_threshold
AG,100.84,657.38,556.54,551.9040063466878,False
AN,132.67000000000002,403.92,271.25,204.45466194316722,False
BA,1920.8,95.2,1825.6,95.04373177842565,False
BC,147.21,235.7,88.48999999999998,60.11140547517151,False
CS,12812.93,10541.43,2271.5,17.728185512603282,False
IG,145.42,576.42,431.0,296.38289093659745,False
JA,621.47,570.21,51.25999999999999,8.248185753133697,True
MA,1086.97,2236.83,1149.86,105.78580825597761,False
ME,189.36,4.25,185.11,97.7555978031263,False
PN,6109.43,7634.91,1525.4799999999996,24.969268818858705,False
VE,310.89,63.89,247.0,79.44932291164078,False
TOTAL,23577.99,23020.14,8603.09,36.48780069887212,False
