crop,production_tonnes
AG,13147.6
AN_NU,660.8
AN_PA,12980.8
BA_INT,1160.1000000000001
BA_IRR,2009.0600000000002
BA_PER,185.94
BC_BT,6068.92
BC_GTMG,59.279999999999994
CS_BT_NIM,214033.16
CS_BT_NISM,202.464
CS_CGT_NIM,36060.57
CS_CGT_NISM,49.896
CS_EGT_NIM,91312.29000000001
CS_EGT_NISM,4972.224
CS_MG_NISM,91505.064
CS_NGT_NIM,153674.28
CS_NGT_NISM,17622.576
CS_SBT_NIM,9831.9
IG_PLA,8951.039999999999
IG_TUT,1187.1
JA,0.0
MA_PLBIO,5.4
MA_ROTA,66780.72
MA_TO_CO_JA,35998.200000000004
ME,85.0
NC,0.0
PN_PIQ,5039.0406
VE_BTGT,926.405
