crop,subsidy
AG,0.0
AN_NU,0.0
AN_PA,0.0
BA_INT,481003.24000000005
BA_IRR,842505.2200000001
BA_PER,74376.0
BC_BT,0.0
BC_GTMG,0.0
CS_BT_NIM,9348018.088514285
CS_BT_NISM,8986.759405714287
CS_CGT_NIM,1697457.7061
CS_CGT_NISM,2390.4177942857145
CS_EGT_NIM,4525823.853728572
CS_EGT_NISM,251036.62345142858
CS_MG_NISM,4874272.943600001
CS_NGT_NIM,8083185.818857144
CS_NGT_NISM,944117.8540571429
CS_SBT_NIM,451853.956
IG_PLA,0.0
IG_TUT,0.0
JA,114042.0
MA_PLBIO,0.0
MA_ROTA,0.0
MA_TO_CO_JA,0.0
ME,0.0
NC,0.0
PN_PIQ,4199200.5
VE_BTGT,0.0
