region,crop,observed_ha,simulated_ha,abs_deviation_ha,pad_pct,within_threshold
1,AG,1.42,0.0,1.42,100.0,False
1,AN,0.9299999999999999,25.73,24.8,2666.666666666667,False
1,BA,8.63,20.53,11.9,137.89107763615294,False
1,BC,6.83,0.14,6.69,97.9502196193265,False
1,CS,775.8,706.47,69.32999999999993,8.936581593194113,True
1,IG,20.33,25.96,5.630000000000003,27.69306443679293,False
1,JA,23.62,3.7600000000000002,19.86,84.08128704487721,False
1,MA,40.6,26.05,14.55,35.83743842364532,False
1,PN,604.53,681.03,76.5,12.654458835789788,True
1,VE,17.67,0.8400000000000001,16.830000000000002,95.24617996604415,False
1,TOTAL,1500.3600000000001,1490.51,247.50999999999993,16.49670745687701,True
2,AG,1.4100000000000001,0.0,1.4100000000000001,99.99999999999999,False
2,AN,1.73,0.0,1.73,100.0,False
2,BA,1.32,74.27,72.95,5526.515151515151,False
2,BC,18.47,1.27,17.2,93.12398484028154,False
2,CS,2151.11,1974.25,176.86000000000013,8.221801767459597,True
2,IG,36.1,120.61,84.50999999999999,234.09972299168973,False
2,JA,52.29,33.78,18.509999999999998,35.39873780837636,False
2,MA,367.53,305.28,62.25,16.9373928658885,True
2,ME,10.03,1.69,8.34,83.1505483549352,False
2,PN,1725.19,1847.03,121.83999999999992,7.062410517102459,True
2,VE,38.54,5.35,33.19,86.11831862999482,False
2,TOTAL,4403.72,4363.530000000001,598.79,13.597367680052319,True
3,AG,0.62,0.0,0.62,100.0,False
3,BA,159.43,43.3,116.13000000000001,72.84074515461332,False
3,BC,4.07,1.26,2.8100000000000005,69.04176904176906,False
3,CS,4019.76,3704.1,315.6600000000003,7.852707624335788,True
3,IG,38.81,386.34,347.53,895.4650863179593,False
3,JA,219.81,58.31,161.5,73.47254447022428,False
3,MA,176.24,183.43,7.189999999999998,4.079664094416703,True
3,ME,179.33,2.56,176.77,98.5724641721965,False
3,PN,1298.81,1679.03,380.22,29.27448972521,False
3,VE,51.76,17.68,34.08,65.84234930448223,False
3,TOTAL,6148.639999999999,6076.01,1542.5100000000002,25.08701111140025,False
4,AG,14.95,28.41,13.46,90.03344481605352,False
4,AN,121.55,383.89,262.34,215.82887700534758,False
4,BA,102.1,67.53,34.56999999999999,33.858961802154745,False
4,BC,27.34,2.27,25.07,91.69714703730797,False
4,CS,3256.9,2919.75,337.1500000000001,10.35186834106052,True
4,IG,32.25,32.46,0.21000000000000085,0.651162790697677,True
4,JA,69.72,24.650000000000002,45.06999999999999,64.64429145152036,False
4,MA,165.87,122.85,43.02000000000001,25.93597395550733,False
4,PN,634.92,871.29,236.37,37.228312228312234,False
4,VE,53.61,0.0,53.61,100.0,False
4,TOTAL,4479.21,4453.1,1050.87,23.46105674884633,False
5,AG,37.66,315.95,278.28999999999996,738.9537971322358,False
5,AN,7.75,64.32000000000001,56.57000000000001,729.9354838709679,False
5,BA,1427.01,485.87,941.14,65.95188541075396,False
5,BC,81.31,202.02,120.71000000000001,148.45652441274135,False
5,CS,318.72,224.58,94.14000000000001,29.53689759036145,False
5,IG,5.26,18.13,12.87,244.6768060836502,False
5,JA,190.46,87.56,102.9,54.02709230284574,False
5,MA,75.74,731.34,655.6,865.5928175336679,False
5,PN,208.62,239.35,30.72999999999999,14.73013133927715,True
5,VE,48.49,18.38,30.110000000000003,62.095277376778725,False
5,TOTAL,2401.0199999999995,2387.5,2323.06,96.7530466218524,False
6,AG,44.27,88.78,44.51,100.54212785181838,False
6,AN,0.04,22.759999999999998,22.72,56800.0,False
6,BA,222.31,135.71,86.6,38.95461292789348,False
6,BC,8.28,39.23,30.949999999999996,373.79227053140096,False
6,CS,104.55,102.60000000000001,1.9499999999999886,1.865136298421797,True
6,IG,4.65,28.65,24.0,516.1290322580645,False
6,JA,51.83,21.79,30.04,57.95871117113641,False
6,MA,202.25,239.75,37.5,18.54140914709518,True
6,PN,280.28,321.25,40.97000000000003,14.617525331811057,True
6,VE,94.77,0.0,94.77,100.0,False
6,TOTAL,1013.2299999999999,1000.52,414.01,40.860416687227975,False
7,AG,0.51,0.0,0.51,100.0,False
7,AN,0.6699999999999999,0.0,0.6699999999999999,100.00000000000001,False
7,BA,0.0,42.85,42.85,,
7,BC,0.91,0.0,0.91,100.0,False
7,CS,2186.09,2002.1200000000001,183.97000000000003,8.41548152180377,True
7,IG,8.02,24.48,16.46,205.23690773067332,False
7,JA,13.74,12.05,1.6899999999999995,12.299854439592426,True
7,MA,58.74,25.22,33.52,57.06503234593123,False
7,PN,1357.08,1516.34,159.26,11.73549090694727,True
7,VE,6.05,0.0,6.05,100.0,False
7,TOTAL,3631.8100000000004,3623.0600000000004,445.89000000000004,12.277349310674293,True
