crop,labor_cost
AG,3304915.952
AN_NU,336327.06
AN_PA,3021907.2800000003
BA_INT,12400064.53328125
BA_IRR,1394917.7161363636
BA_PER,2391258.118666666
BC_BT,2298235.2199999997
BC_GTMG,25694.911874999998
CS_BT_NIM,617271.0700000001
CS_BT_NISM,723.2521428571429
CS_CGT_NIM,139006.30285714287
CS_CGT_NISM,218.74928571428575
CS_EGT_NIM,363110.0192857143
CS_EGT_NISM,25958.248571428576
CS_MG_NISM,394560.6485714286
CS_NGT_NIM,629245.1300000001
CS_NGT_NISM,100727.14857142858
CS_SBT_NIM,30406.45333333333
IG_PLA,5805774.24
IG_TUT,1217166.02
JA,22496.7
MA_ROTA,24115724.445
MA_TO_CO_JA,12110991.959999999
ME,41369.5
NC,0.0
PN_PIQ,13974339.959999999
VE_BTGT,237239.38333333333
