crop,revenue
AG,6063960.0
AN_NU,726586.6666666666
AN_PA,11477106.666666666
BA_INT,22055925.939999998
BA_IRR,2729148.06
BA_PER,4618483.199999999
BC_BT,5065216.0
BC_GTMG,55536.0
CS_BT_NIM,15037134.928399999
CS_BT_NISM,14249.683062857144
CS_CGT_NIM,3117854.440457143
CS_CGT_NISM,3971.912365714286
CS_EGT_NIM,7847853.810585715
CS_EGT_NISM,454373.33353142854
CS_MG_NISM,6361350.74889143
CS_NGT_NIM,13515984.6908
CS_NGT_NISM,1752395.0727314283
CS_SBT_NIM,720258.184
IG_PLA,15049530.0
IG_TUT,2377200.0
JA,48380.0
MA_ROTA,53367741.0
MA_TO_CO_JA,27430524.000000004
ME,102000.0
NC,0.0
PN_PIQ,27547982.0
VE_BTGT,428837.5
