plot,crop,farm,region,island,surface_ha
P1,CS_NGT_NIM,E1,3,2,3.68
P2,CS_NGT_NIM,E1,3,2,3.3
P3,CS_NGT_NIM,E1,3,2,1.36
P4,MA_ROTA,E2,2,2,1.24
P5,PN_PIQ,E3,2,2,0.77
P6,BA_PER,E3,2,2,0.21
P7,PN_PIQ,E3,2,2,0.57
P8,PN_PIQ,E3,2,2,1.52
P9,NC,E3,2,2,0.73
P10,PN_PIQ,E4,2,2,0.86
P11,PN_PIQ,E4,2,2,0.6
P12,PN_PIQ,E5,3,2,0.6
P13,NC,E5,3,2,1.38
P14,PN_PIQ,E5,3,2,1.46
P15,NC,E5,3,2,0.63
P16,CS_NGT_NIM,E5,3,2,1.46
P17,CS_NGT_NIM,E5,3,2,2.12
P18,PN_PIQ,E5,3,2,0.45
P19,CS_CGT_NIM,E6,1,2,0.76
P20,PN_PIQ,E6,1,2,0.48
P21,NC,E6,1,2,0.51
P22,PN_PIQ,E6,1,2,0.43
P23,CS_CGT_NIM,E6,1,2,3.59
P24,CS_CGT_NIM,E6,1,2,2.15
P25,PN_PIQ,E6,1,2,0.84
P26,PN_PIQ,E6,1,2,0.9
P27,CS_NGT_NIM,E7,3,2,1.96
P28,NC,E7,3,2,1.3
P29,IG_PLA,E7,3,2,0.44
P30,NC,E7,3,2,0.64
P31,CS_NGT_NIM,E7,3,2,0.85
P32,CS_NGT_NIM,E7,3,2,0.49
P33,CS_NGT_NIM,E7,3,2,0.67
P34,CS_NGT_NISM,E7,3,2,0.52
P35,NC,E7,3,2,2.52
P36,NC,E7,3,2,6.35
P37,MA_TO_CO_JA,E7,3,2,0.24
P38,NC,E7,3,2,1.17
P39,CS_NGT_NIM,E7,3,2,3.2
P40,NC,E7,3,2,0.62
P41,CS_NGT_NISM,E7,3,2,3.61
P42,CS_NGT_NIM,E7,3,2,1.32
P43,IG_PLA,E7,3,2,0.46
P44,CS_NGT_NIM,E7,3,2,1.01
P45,NC,E7,3,2,0.54
P46,NC,E7,3,2,1.67
P47,PN_PIQ,E8,2,2,1.59
P48,CS_CGT_NIM,E9,1,2,4.34
P49,CS_CGT_NIM,E9,1,2,0.86
P50,CS_CGT_NIM,E9,1,2,3.43
P51,PN_PIQ,E9,1,2,1.47
P52,PN_PIQ,E9,1,2,4.36
P53,PN_PIQ,E9,1,2,3.29
P54,PN_PIQ,E10,3,2,0.47
P55,NC,E10,3,2,1.05
P56,PN_PIQ,E10,3,2,0.05
P57,PN_PIQ,E10,3,2,1.43
