crop,gross_margin
AG,1739560.064768333
AN_NU,386602.97239999997
AN_PA,7306213.449999999
BA_INT,10669417.761500001
BA_IRR,2123096.9997727266
BA_PER,1623818.526916667
BA_SINT,271080.031090909
BC_BT,2795053.360125
BC_GTMG,23934.864125
CS_BT_NIM,9082168.018622857
CS_BT_NISM,6262.612344857145
CS_CGT_NIM,1965582.2825782862
CS_CGT_NISM,3533.248890571429
CS_EGT_NIM,4890156.921582571
CS_EGT_NISM,212549.3838065714
CS_MG_NISM,3277498.974326573
CS_NGT_NIM,8360745.168575429
CS_NGT_NISM,840594.3562811429
CS_SBT_NIM,551527.3613026665
IG_PLA,3613720.7505
IG_TUT,456046.42124999996
JA,40749.64
MA_ROTA,15978585.522507997
MA_TO_CO_JA,14492292.797209999
ME,41007.00756
NC,0.0
PN_PIQ,10297880.280000001
VE_BTGT,97220.57968
