farm,revenue
E1,35303.48211428571
E10,38049.77782857143
E100,156603.68
E1000,37302.1494
E1001,7009.1554857142855
E1002,72064.68457142857
E1003,20165.75147142857
E1004,32668.122385714287
E1005,29285.116114285713
E1006,285201.0
E1007,42168.08805714286
E1008,27048.12585714286
E1009,7770.2035857142855
E101,46747.80817142857
E1010,34385.8
E1011,47037.600000000006
E1012,3809877.1830142858
E1013,26068.297457142857
E1014,1078.0
E1015,48849.18268571428
E1016,25709.7219
E1017,52464.48277142857
E1018,67081.79605714286
E1019,40540.5
E102,8200.5
E1020,51427.9
E1021,15026.47717142857
E1022,91287.0
E1023,32560.99391428572
E1024,56157.83691428571
E1025,12626.081457142856
E1026,30754.570742857144
E1027,67994.11611428572
E1028,107712.0
E1029,33989.60331428571
E103,16778.752914285713
E1030,4080.6727142857144
E1031,50895.59002857143
E1032,79992.0
E1033,10510.5
E1034,37734.220628571435
E1035,30284.136417142858
E1036,1192063.642342857
E1037,30725.065142857144
E1038,29527.145942857147
E1039,36726.05442857143
E104,52322.343857142856
E1040,37841.12845714286
E1041,216040.09577142858
E1042,57748.13401904762
E1043,37558.54497142858
E1044,84744.0
E1045,36809.088885714285
E1046,4704.7756
E1047,53831.29697142857
E1048,53261.70502857143
E1049,109431.0
E105,142983.71456190475
E1050,37764.18
E1051,6433.060514285715
E1052,9328.522342857143
E1053,67287.50105714287
E1054,1019221.5974047618
E1055,105080.73448000001
E1056,13106.160600000001
E1057,356819.22
E1058,37262.478342857146
E1059,15672.6
E106,31480.348805714286
E1060,63741.44174285715
E1061,15883.92177142857
E1062,14822.5
E1063,6603.529028571429
E1064,15130.5
E1065,34651.27968571428
E1066,9933.0
E1067,46853.912868571424
E1068,36851.24337142857
E1069,11914.392914285714
E107,21495.1244
E1070,30222.5
E1071,11725.872662857144
E1072,12105.288
E1073,31814.541857142856
E1074,7878.187942857143
E1075,16439.5
E1076,9074.9
E1077,15893.006514285715
E1078,12530.226582857144
E1079,52542.019400000005
E108,28149.659
E1080,10305.518742857144
E1081,12210.952322857143
E1082,29323.806417142856
E1083,35706.55937142857
E1084,11296.06870857143
E1085,19517.172457142857
E1086,4861.280365714287
E1087,29922.233857142855
E1088,9969.172457142859
E1089,22616.30682857143
E109,47130.2834
E1090,5582.5
E1091,14869.715131428573
E1092,17397.810902857145
E1093,31868.854542857145
E1094,5919.692228571429
E1095,7122.5
E1096,26790.880185714283
E1097,9025.16134857143
E1098,22580.172000000002
E1099,7492.465628571428
E11,47589.58579999999
E110,37452.2152
E1100,54485.50394285714
E1101,9722.188614285715
E1102,8496.982828571428
E1103,21265.39262857143
E1104,9394.0
E1105,11234.515171428571
E1106,9086.0
E1107,11007.826514285716
E1108,53812.22
E1109,37944.30374857143
E111,17107.936914285714
E1110,14687.944485714284
E1111,4994.977085714286
E1112,217178.5
E1113,12146.9
E1114,5326.345228571428
E1115,8085.0
E1116,14406.910171428572
E1117,3850.0
E1118,21483.253302857145
E1119,23502.430262857146
E112,39961.28368571428
E1120,23659.43408
E1121,12952.710971428573
E1122,132913.94
E1123,17171.0
E1124,9914.9048
E1125,21594.903542857144
E1126,3216.5302571428574
E1127,37467.9
E1128,25863.822028571427
E1129,380635.2285809524
E113,56385.12594285714
E1130,4861.280365714287
E1131,57592.200000000004
E1132,122050.6312
E1133,102951.18000000001
E1134,521440.4
E1135,27385.495514285714
E1136,28567.0
E1137,92721.3
E1138,17930.23564
E1139,33309.684942857144
E114,60467.57995999999
E1140,13970.303057142857
E1141,22272.58565714286
E1142,61277.71906857143
E1143,88704.0
E1144,205434.64662857144
E1145,13598.875794285717
E1146,30862.853516666666
E1147,2928.4827714285716
E1148,15739.288628571428
E1149,19600.483685714287
E115,58173.57322857143
E1150,39606.52928571429
E1151,79176.79885714286
E1152,8441.377085714286
E1153,38016.0
E1154,15977.5
E1155,9422.5
E1156,3874.0305371428576
E1157,24399.67748571429
E1158,10657.756971428571
E1159,144144.0
E116,62143.05487142857
E1160,232838.4423857143
E1161,48146.92274285715
E1162,24774.903585714284
E1163,10707.718557142856
E1164,12671.939714285716
E1165,9285.233514285714
E1166,31077.209400000007
E1167,12705.0
E1168,14621.538914285715
E1169,292572.0
E117,43924.062314285715
E1170,5042.461071428572
E1171,4214.908337142857
E1172,18752.436057142855
E1173,8619.451285714287
E1174,13018.3443
E1175,10493.715557142856
E1176,9382.676371428572
E1177,11670.431114285713
E1178,2037.5
E1179,248912.99999999997
E118,13379.67902857143
E1180,6518.868399999999
E1181,28051.00713142857
E1182,2797.320357142857
E1183,19806.07182857143
E1184,64492.987388571426
E1185,27539.473228571427
E1186,15659.70057142857
E1187,14892.5
E1188,4855.580828571428
E1189,52683.89841142857
E119,37088.011685714286
E1190,348138.0
E1191,57826.37582857143
E1192,12539.482828571428
E1193,18299.990999999998
E1194,11798.209557142856
E1195,4983.359271428571
E1196,5068.5449
E1197,49640.183371428575
E1198,24051.965057142857
E1199,160238.06562857144
E12,16043.189114285715
E120,26033.160085714284
E1200,43562.019542857146
E1201,30361.468422857142
E1202,6337.044685714286
E1203,16241.1
E1204,44425.9
E1205,1008.1662
E1206,33125.460857142854
E1207,15170.500914285714
E1208,0.0
E1209,8881.464142857143
E121,24293.649657142858
E1210,8881.464142857143
E1211,7489.234628571428
E1212,17042.809571428574
E1213,30081.703885714283
E1214,7318.560514285715
E1215,3823.490685714286
E1216,372228.4953142857
E1217,417210.0598
E1218,7681.266285714286
E1219,17282.849142857143
E122,27111.284428571427
E1220,574222.0
E1221,42150.948742857145
E1222,8545.408742857144
E1223,143226.01102857143
E1224,6769.115914285714
E1225,8234.457628571428
E1226,6048.9972
E1227,55423.61354285714
E1228,108589.6740952381
E1229,9073.4958
E123,717960.5040857142
E1230,6000.989285714286
E1231,15868.043285714286
E1232,189009.0171333333
E1233,38694.37891428571
E1234,6145.013028571429
E1235,11425.883600000001
E1236,9300.608
E1237,39920.2954
E1238,12224.266285714286
E1239,9409.5512
E124,13037.76347142857
E1240,11101.94757142857
E1241,2640.435285714286
E1242,17706.817485714284
E1243,48603.39754285714
E1244,12868.415542857143
E1245,10081.662
E1246,27124.471571428574
E1247,182834.66666666666
E1248,5376.8864
E1249,7921.305857142857
E125,55455.48451428571
E1250,17152.964142857145
E1251,13443.948314285715
E1252,10561.741142857143
E1253,8039.615914285715
E1254,28516.701085714285
E1255,42078.75043809524
E1256,46896.32911428572
E1257,7420.4
E1258,40637.52417142857
E1259,6817.123828571428
E126,15400.0
E1260,20411.331171428574
E1261,98830.9612857143
E1262,5424.894314285714
E1263,72761.96408571428
E1264,12106.469885714287
E1265,30292.993914285715
E1266,23874.510914285715
E1267,41229.57957142858
E1268,5164.298342857142
E1269,13634.247657142856
E127,6789.157531428572
E1270,9608.981342857141
E1271,63218.780868571426
E1272,9270.338828571428
E1273,84110.3344857143
E1274,27308.374628571426
E1275,0.0
E1276,3692.119177142857
E1277,34758.497605714285
E1278,29428.85145714286
E1279,46585.36917142857
E128,4387.0
E1280,12338.033971428571
E1281,7534.795942857143
E1282,13644.353114285715
E1283,286.0
E1284,42875.86942857143
E1285,8593.416657142858
E1286,5841.253057142857
E1287,4275.361742857142
E1288,18243.00742857143
E1289,18516.95902857143
E129,23172.2262
E1290,4638.868845714287
E1291,31157.136371428573
E1292,4379.395908571429
E1293,1493.3344914285717
E1294,7031.453508571429
E1295,11786.541645714287
E1296,10866.391405714288
E1297,1398.0152685714288
E1298,3312.5460857142857
E1299,4046.3497600000005
E13,86932.76288571428
E130,14433.098685714285
E1300,15744.300000000001
E1301,36599.03208571429
E1302,19034.27238857143
E1303,58542.33848
E1304,29529.5
E1305,47383.811400000006
E1306,37150.02277142857
E1307,4798.030537142858
E1308,3312.5460857142857
E1309,4893.053440000001
E131,31528.7964
E1310,2128.7959771428577
E1311,4991.249828571429
E1312,5199.488205714287
E1313,2859.576685714286
E1314,23913.322354285716
E1315,2700.7113142857147
E1316,10972.034011428574
E1317,4575.3226971428585
E1318,44352.0
E1319,16494.206811428576
E132,24627.811657142858
E1320,5973.337965714287
E1321,15645.256777142858
E1322,2510.0728685714294
E1323,3495.0381714285722
E1324,28002.8
E1325,6354.614857142858
E1326,6799.437897142859
E1327,12332.17974857143
E1328,4862.2545714285725
E1329,27315.914142857146
E133,70379.33797142857
E1330,6497.740200000001
E1331,7969.5
E1332,12650.065842857142
E1333,62279.925737142854
E1334,121789.10587142858
E1335,74131.92002857142
E1336,87592.92992857144
E1337,37101.764371428566
E1338,40065.69668571429
E1339,26402.993577142854
E134,40589.61268571429
E1340,31917.056971428574
E1341,28784.61371428571
E1342,61092.760585714284
E1343,34511.28765714286
E1344,25164.558337142855
E1345,52295.550571428575
E1346,30084.2022
E1347,78700.6464952381
E1348,38660.45510000001
E1349,96805.04730857143
E135,32800.0936
E1350,40850.04125714285
E1351,24916.79635714286
E1352,13420.3966
E1353,33665.319142857144
E1354,4952.646771428571
E1355,32623.104757142857
E1356,77868.0
E1357,8239.0
E1358,9914.550885714285
E1359,36190.51585714286
E136,67876.42445714286
E1360,7931.877457142857
E1361,6988.550885714286
E1362,21557.946057142857
E1363,10716.351685714286
E1364,11541.676742857144
E1365,7178.760471428572
E1366,12706.87722857143
E1367,3790.7604714285712
E1368,3934.005971428572
E1369,5913.196714285715
E137,36908.987617142855
E1370,17505.64667142857
E1371,74266.5
E1372,101493.0
E1373,32842.319514285715
E1374,47967.642920000006
E1375,33190.19373714286
E1376,5750.029928571429
E1377,23681.80537142857
E1378,28299.038871428573
E1379,53298.0
E138,32851.3044
E1380,20657.51492857143
E1381,50467.453205714286
E1382,15515.6
E1383,8589.523514285716
E1384,3471.425142857143
E1385,34281.40843428571
E1386,33582.26345714286
E1387,4703.259731428572
E1388,68971.12942857142
E1389,27842.170614285715
E139,37852.28162857143
E1390,208172.69999999998
E1391,6718.588137142859
E1392,3221.3920914285723
E1393,7932.51110857143
E1394,20510.752548571432
E1395,14815.476754285713
E1396,17042.342125714287
E1397,1938.1575314285717
E1398,8369.861211428572
E1399,3876.315062857144
E14,4575.322697142858
E140,2224.1152000000006
E1400,6531.6728
E1401,19873.572868571428
E1402,2764.2574628571438
E1403,26340.51424
E1404,7586.488205714286
E1405,6083.0
E1406,11326.99584
E1407,2342.6047857142858
E1408,7206.129942857142
E1409,5464.968777142858
E141,34587.487777142866
E1410,5790.503171428572
E1411,25337.299357142856
E1412,33779.590800000005
E1413,9947.299794285715
E1414,1652.1998628571432
E1415,2637.165165714286
E1416,9775.224982857142
E1417,32567.492342857146
E1418,40898.31852571428
E1419,20747.8952
E142,3725.067657142857
E1420,8012.580828571428
E1421,169182.49287142858
E1422,47945.05998571429
E1423,13226.71017142857
E1424,33041.71814285714
E1425,10050.361742857142
E1426,36376.47997142857
E1427,30647.147542857143
E1428,42912.10002857143
E1429,25410.0
E143,48820.115028571425
E1430,23958.957885714284
E1431,4437.074842857142
E1432,6583.5
E1433,9091.817942857142
E1434,10444.64202857143
E1435,3640.4070285714283
E1436,8167.446771428571
E1437,3598.076714285714
E1438,28472.102799999997
E1439,5485.663085714285
E144,31326.335857142858
E1440,64984.859771428564
E1441,8855.0
E1442,12766.571914285714
E1443,4656.3345714285715
E1444,44807.39797142857
E1445,0.0
E1446,16197.689657142857
E1447,18413.686714285715
E1448,2963.122
E1449,7253.970428571429
E145,9193.940114285715
E1450,8091.35305142857
E1451,18766.254485714286
E1452,30763.238114285712
E1453,7491.493725714286
E1454,115.99999999999999
E1455,3598.076714285714
E1456,34299.859142857145
E1457,11756.037485714289
E1458,6819.069051428572
E1459,2573.619017142858
E146,48256.73608
E1460,10173.857394285715
E1461,13972.5
E1462,13806.014925714288
E1463,8134.480904761905
E1464,12831.490399999999
E1465,4575.3226971428585
E1466,45494.07817142857
E1467,14497.258371428572
E1468,170027.63237142857
E1469,45979.314371428576
E147,25565.81853714286
E1470,6044.5
E1471,0.0
E1472,24202.875428571428
E1473,20595.39522857143
E1474,9777.35934857143
E1475,17373.624194285712
E1476,51134.805171428576
E1477,4032.6648
E1478,20741.854
E1479,27983.975771428573
E148,84211.54791428571
E1480,6332.445874285715
E1481,2065.249828571429
E1482,6102.800182857142
E1483,30009.560457142856
E1484,11519.9466
E1485,542166.7228761906
E1486,287995.46382857143
E1487,133147.76104
E1488,275014.85454285715
E1489,16436.716751428572
E149,5428.922971428572
E1490,17594.5
E1491,2976.490685714286
E1492,71442.0
E1493,36227.27271428572
E1494,48896.5508
E1495,26665.506108571426
E1496,15400.0
E1497,15597.091302857143
E1498,35183.67197714286
E1499,61803.00000000001
E15,11480.869188571429
E150,76627.03308571428
E1500,13209.060514285715
E1501,48594.82
E1502,47623.850971428576
E1503,9608.981577142857
E1504,15905.38
E1505,112266.0
E1506,49896.0
E1507,49479.43151428571
E1508,7392.0
E1509,30215.721165714283
E151,56057.0074
E1510,25449.036304761903
E1511,43447.16242857143
E1512,14893.594285714285
E1513,34804.44291428572
E1514,27412.519057142857
E1515,99523.44592380952
E1516,5040.831
E1517,111485.84305714285
E1518,73006.04783428571
E1519,8169.750657142857
E152,8987.289285714285
E1520,22421.40626285714
E1521,3137.6854857142857
E1522,4679.710171428571
E1523,10181.466382857143
E1524,16536.135314285715
E1525,52431.931679999994
E1526,0.0
E1527,12049.986485714286
E1528,3979.0495428571426
E1529,17712.37471428571
E153,31242.44465142857
E1530,10225.685742857142
E1531,871397.9693428571
E1532,4800.791428571429
E1533,16236.0
E1534,5488.8784857142855
E1535,18819.078657142858
E1536,27124.47157142857
E1537,4800.791428571429
E1538,51868.503228571426
E1539,4704.7756
E154,10895.5
E1540,4066.7705142857144
E1541,183622.98973333332
E1542,64565.25045714285
E1543,105336.0
E1544,2784.4590285714285
E1545,5424.894314285714
E1546,9937.638257142858
E1547,3072.5065142857143
E1548,11425.8836
E1549,10465.725314285715
