crop,region,island,surface,production,sales,subsidy,revenue,gross_margin,labor_hours,labor_cost,etp,ges,ift,azote,surface_cld,water_need_m3,soil_carbon_balance
AG,4,1,33.45,669.0,468300.0,0.0,468300.0,200656.17492499994,16466.32,255227.96,10.246621032980709,85815.31911764703,200.7,4816.8,0.0,401400.0,-42.72394236103439
AG,5,1,580.53,11610.6,8127420.0,0.0,8127420.0,3482419.4089449993,285775.56799999997,4429521.304,177.83171624144367,1489338.332058823,3483.18,83596.32,0.0,5656800.0,-714.247690894497
AG,6,1,171.65,3433.0,2403100.0,0.0,2403100.0,1029675.1098916664,84497.57333333333,1309712.3866666667,52.58094171333748,440364.70931372535,1029.9,24717.6,0.0,0.0,-208.98317030094003
AN_NU,1,2,0.4,8.0,5866.666666666666,0.0,5866.666666666666,2787.8346666666666,175.2,2715.6,0.1090230242688239,905.5392156862745,2.9333333333333336,51.42666666666668,0.0,0.0,-0.608141352648
AN_NU,4,1,60.32,1206.4,884693.3333333333,0.0,884693.3333333333,420405.4677333333,26420.16,409512.48,16.440672059738645,136555.31372549018,442.3466666666667,7755.141333333335,0.0,0.0,-91.70771597931838
AN_NU,5,1,24.64,492.8,361386.6666666666,0.0,361386.6666666666,171730.61546666664,10792.32,167280.96,6.7158182949595515,55781.21568627451,180.69333333333336,3167.8826666666673,0.0,0.0,-37.46150732311679
AN_NU,6,1,19.16,383.2,281013.3333333333,0.0,281013.3333333333,133537.2805333333,8392.08,130077.23999999999,5.2222028624766645,43375.328431372545,140.5066666666667,2463.337333333334,0.0,0.0,-29.12997079183919
AN_PA,1,2,24.91,871.85,639356.6666666666,0.0,639356.6666666666,407609.80299999996,10860.76,168341.78,6.758406969508401,111415.46985294121,398.56,5347.346666666667,0.0,0.0,-37.872002736154194
AN_PA,4,1,325.46,11391.1,8353473.333333332,0.0,8353473.333333332,5325599.617999999,141900.56,2199458.68,88.30153080273801,1455691.6426470592,5207.36,69865.41333333334,0.0,0.0,-494.8142115820451
AN_PA,5,1,58.18,2036.3,1493286.6666666665,0.0,1493286.6666666665,952016.7939999999,25366.48,393180.44,15.784990665836963,260222.8838235295,930.88,12489.306666666667,0.0,0.0,-88.45415974265158
AN_PA,6,1,7.56,264.59999999999997,194039.99999999997,0.0,194039.99999999997,123706.54799999997,3296.16,51090.479999999996,2.0511263223397633,33813.767647058834,120.96,1622.88,0.0,0.0,-11.493871565047197
BA_INT,1,2,0.03,1.3499999999999999,729.0,335.844,1064.844,86.29155000000006,46.7446875,724.5426562499999,0.029088168948350965,876.7249080882352,0.22499999999999998,11.655000000000003,0.0,0.0,0.004429146890849986
