crop,gross_margin
AG,4712750.693761665
AN_NU,728461.1983999999
AN_PA,6808932.762999999
BA_INT,6184.227750000005
BA_IRR,151733.9386590908
BC_BT,2781617.245875
BC_GTMG,28018.537624999997
CS_BT_NIM,3092841.1799999992
CS_BT_NISM,765.8128660000003
CS_CGT_NIM,757246.7475360002
CS_CGT_NISM,1272.6245772000002
CS_EGT_NIM,2108814.5662800004
CS_EGT_NISM,35379.93040559999
CS_MG_NISM,574101.3430620002
CS_NGT_NIM,2808474.267966001
CS_NGT_NISM,115611.03246600012
CS_SBT_NIM,106738.47473466658
IG_PLA,4355268.556349999
IG_TUT,402495.17250000004
JA,44079.48
MA_ROTA,24115621.270222995
MA_TO_CO_JA,20401666.276354
ME,280.23012
NC,0.0
PN_PIQ,8424672.0
VE_BTGT,307472.09386666666
