crop,labor_cost
AG,5994461.650666667
AN_NU,709586.28
AN_PA,2812071.38
BA_INT,51925.55703125
BA_IRR,712379.9929545454
BC_BT,2305502.143125
BC_GTMG,23770.199375
CS_BT_NIM,563624.2857142858
CS_BT_NISM,482.82500000000005
CS_CGT_NIM,145627.90285714288
CS_CGT_NISM,762.6664285714286
CS_EGT_NIM,400409.72857142857
CS_EGT_NISM,18694.195714285714
CS_MG_NISM,319584.8235714286
CS_NGT_NIM,583881.257857143
CS_NGT_NISM,71696.55642857144
CS_SBT_NIM,24335.56833333333
IG_PLA,3980682.7199999997
IG_TUT,682313.41
JA,113871.99
MA_ROTA,22123396.605
MA_TO_CO_JA,17128375.44
ME,292.02
NC,0.0
PN_PIQ,11905488.0
VE_BTGT,395305.38666666666
