crop,production_tonnes
AG,15712.6
AN_NU,2090.4
AN_PA,14563.85
BA_INT,96.75
BA_IRR,1452.8200000000002
BC_BT,6351.54
BC_GTMG,64.22
CS_BT_NIM,211640.0
CS_BT_NISM,145.04000000000002
CS_CGT_NIM,46554.48
CS_CGT_NISM,195.048
CS_EGT_NIM,115812.59999999999
CS_EGT_NISM,4325.616
CS_MG_NISM,73948.152
CS_NGT_NIM,159990.66
CS_NGT_NISM,15716.592
CS_SBT_NIM,8664.825
IG_PLA,6879.06
IG_TUT,666.3000000000001
JA,0.0
MA_ROTA,46627.380000000005
MA_TO_CO_JA,35267.76
ME,0.6
NC,0.0
PN_PIQ,4023.36
VE_BTGT,1020.8000000000001
