crop,revenue
AG,10998820.0
AN_NU,1532959.9999999998
AN_PA,10680156.666666666
BA_INT,76313.81999999999
BA_IRR,1150069.404
BC_BT,5081232.0
BC_GTMG,51375.99999999999
CS_BT_NIM,8923645.833142856
CS_BT_NISM,6165.031936
CS_CGT_NIM,2126829.954363429
CS_CGT_NISM,8988.951344914285
CS_EGT_NIM,5669123.2514742855
CS_EGT_NISM,213660.08814445714
CS_MG_NISM,3104235.5567382863
CS_NGT_NIM,8165562.672531428
CS_NGT_NISM,809493.7981577143
CS_SBT_NIM,369379.89009
IG_PLA,10318590.0
IG_TUT,1332600.0
JA,146931.6
MA_ROTA,48958749.0
MA_TO_CO_JA,38794536.0
ME,720.0
NC,0.0
PN_PIQ,22128480.0
VE_BTGT,714560.0
