farm,revenue
E1,19237.147234285716
E10,32755.167582857146
E100,197071.5
E1000,20749.03664
E1001,2605.3262674285716
E1002,53715.91571657143
E1003,6642.900000000001
E1004,29513.4
E1005,10795.940393142859
E1006,114534.0
E1007,20775.418473142858
E1008,15389.173608000001
E1009,5490.510130285715
E101,37795.374751999996
E1010,20582.100000000002
E1011,32392.8
E1012,2265798.918185143
E1013,16942.44645942857
E1014,873.643648
E1015,32154.266502857143
E1016,9807.081310285716
E1017,27897.526893714283
E1018,29856.779428571426
E1019,34267.2
E102,5943.120644571429
E1020,47574.804210285714
E1021,375.59999999999997
E1022,79649.5
E1023,21272.183638857143
E1024,27771.333333333332
E1025,315.59999999999997
E1026,23912.891040000002
E1027,50021.697171428576
E1028,95482.2
E1029,14260.296809142856
E103,11415.310900114286
E1030,102.0
E1031,26102.076077714282
E1032,79992.0
E1033,9629.485737142857
E1034,943.2
E1035,20684.05638857143
E1036,832239.3924693333
E1037,12108.589247999998
E1038,14757.785797714288
E1039,21279.463140571424
E104,37373.49596571429
E1040,26950.61013942857
E1041,127058.14182857143
E1042,35629.3368
E1043,18200.090475428573
E1044,84744.0
E1045,30043.881118476187
E1046,117.6
E1047,35514.50393295238
E1048,21453.3
E1049,95922.0
E105,121352.8773302857
E1050,28241.399999999998
E1051,2650.9293851428565
E1052,7388.049417142857
E1053,39567.79275942857
E1054,641872.4792887619
E1055,61426.85158582857
E1056,6147.902418285714
E1057,316092.0
E1058,23339.898260228572
E1059,11942.7
E106,11035.2
E1060,43021.051689142856
E1061,10514.925334857142
E1062,12908.950806857145
E1063,3582.849771428572
E1064,12262.212630857142
E1065,26243.97361714286
E1066,9202.24988342857
E1067,16077.041993142859
E1068,31347.39515314286
E1069,8299.614656
E107,18245.445359999998
E1070,942.0
E1071,5909.1
E1072,9143.416326857143
E1073,21010.187067428575
E1074,3786.3581331428577
E1075,14190.008077714287
E1076,6461.400000000001
E1077,13590.250976
E1078,9003.279270857143
E1079,31380.820563428573
E108,19717.253725714287
E1080,7887.3876
E1081,9500.794971428571
E1082,15094.477573714286
E1083,25045.147234285716
E1084,7994.4249874285715
E1085,15397.060292571428
E1086,2336.6657828571433
E1087,20261.02397142857
E1088,5853.305252571428
E1089,12925.002233142855
E109,28774.813817142858
E1090,4045.7863542857144
E1091,12294.037056
E1092,8748.3
E1093,22882.247537142855
E1094,3558.3457165714285
E1095,5161.865348571429
E1096,15708.81184457143
E1097,5963.4876
E1098,13917.648672000001
E1099,212.4
E11,28194.271662857143
E110,25151.93662285714
E1100,5154.599999999999
E1101,3230.7000000000003
E1102,6609.281331428572
E1103,14006.481565714286
E1104,8193.756013714286
E1105,8404.660562285713
E1106,283.2
E1107,6654.928395428572
E1108,51996.0
E1109,20298.171702857144
E111,12538.549143428572
E1110,10671.504617142857
E1111,3252.125177142857
E1112,199376.76785828572
E1113,4428.6
E1114,3847.1647817142857
E1115,7194.700717714287
E1116,12071.06858057143
E1117,120.0
E1118,14904.979364571429
E1119,19019.122573714285
E112,34411.29753428572
E1120,13031.7
E1121,8180.512162285714
E1122,20618.4
E1123,10503.599999999999
E1124,7591.4908512
E1125,18242.107666285716
E1126,80.4
E1127,31625.34
E1128,11382.794674285715
E1129,319564.3336975238
E113,33387.6
E1130,2318.723568
E1131,42204.2
E1132,90492.920672
E1133,109830.0
E1134,291737.0
E1135,17796.499123542857
E1136,26317.688621714286
E1137,81384.6
E1138,9936.400656000002
E1139,18528.555593142857
E114,39990.25045371429
E1140,6559.522683428571
E1141,13851.4
E1142,30961.823057142858
E1143,88704.0
E1144,140711.81973942858
E1145,6738.059629714286
E1146,22280.347681238094
E1147,1123.2545599999999
E1148,10678.852301714285
E1149,10015.700393142855
E115,31824.98527542857
E1150,2032.8000000000002
E1151,66948.69369142858
E1152,5481.871241142857
E1153,38016.0
E1154,14804.479501714286
E1155,2722.5
E1156,1122.0
E1157,14189.22766457143
E1158,5276.660329142856
E1159,132694.8
E116,39364.13787428572
E1160,68461.8
E1161,41553.877902857144
E1162,11269.5
E1163,7026.940605257143
E1164,9505.283628000001
E1165,3679.452781714286
E1166,21200.155498285716
E1167,11354.955773142858
E1168,11589.781686857143
E1169,258471.0
E117,36214.321182857144
E1170,1742.3999999999999
E1171,2467.1410230857146
E1172,14420.98452
E1173,2964.558090857143
E1174,8528.356731428572
E1175,7332.838957714286
E1176,4356.0
E1177,6473.258166857144
E1178,1404.3
E1179,173844.0
E118,8742.711157714286
E1180,3374.4063257142857
E1181,13608.890554285714
E1182,2163.088868571429
E1183,13392.947931428575
E1184,38143.56987428571
E1185,8808.057137142856
E1186,9654.631954285715
E1187,9728.4
E1188,136.79999999999998
E1189,38849.90554228571
E119,24361.934417142857
E1190,314451.0
E1191,21743.7
E1192,9631.327791428572
E1193,13335.100896
E1194,332.4
E1195,1795.9224411428572
E1196,142.79999999999998
E1197,32262.41185828571
E1198,15631.98098742857
E1199,141989.26609828573
E12,8072.950645714287
E120,20230.365377142858
E1200,17169.9
E1201,16044.978968685713
E1202,158.4
E1203,6933.299999999999
E1204,30242.100000000002
E1205,25.2
E1206,19095.354020571427
E1207,7999.595949714285
E1208,0.0
E1209,222.0
E121,16477.350624
E1210,3612.176150857142
E1211,2707.330944
E1212,6846.33359542857
E1213,17240.222450285713
E1214,4208.608886857143
E1215,2620.9309439999997
E1216,333372.021415619
E1217,329173.4130940952
E1218,3072.149650285714
E1219,432.0
E122,24283.93092
E1220,553461.3333333333
E1221,23775.587849142852
E1222,213.6
E1223,134913.16666666666
E1224,169.2
E1225,5741.086829714285
E1226,2191.306002285714
E1227,39255.89962057142
E1228,92727.49236571428
E1229,226.79999999999998
E123,624445.1023028571
E1230,150.0
E1231,11201.103977142857
E1232,149353.9685302857
E1233,22433.920818285715
E1234,153.6
E1235,6645.932036571428
E1236,6601.479035428571
E1237,24711.657138285715
E1238,8990.136713142856
E1239,3265.3574445714285
E124,10911.937522285714
E1240,8312.626034285713
E1241,66.0
E1242,11126.954953142857
E1243,36056.61770057143
E1244,6032.282314285715
E1245,252.0
E1246,15819.190340571426
E1247,179769.33333333334
E1248,134.4
E1249,5148.25721142857
E125,40448.38169142857
E1250,10053.426267428571
E1251,4392.3
E1252,264.0
E1253,5429.071241142857
E1254,15382.368516571427
E1255,19816.911538285713
E1256,15795.764539428572
E1257,5517.6
E1258,29069.838198857142
E1259,170.39999999999998
E126,13008.355474285716
E1260,13365.897042285713
E1261,48633.460444952376
E1262,135.6
E1263,50490.54032731428
E1264,8660.095422857143
E1265,17316.865165714284
E1266,19993.09350857143
E1267,24748.77919542857
E1268,1754.3833542857144
E1269,340.79999999999995
E127,5466.950544
E1270,3936.493217142857
E1271,45147.09438171429
E1272,6551.361257142857
E1273,46218.76205142858
E1274,12255.261517714287
E1275,0.0
E1276,1177.8
E1277,22283.481466285717
E1278,16287.213723428571
E1279,40436.53634895238
E128,2904.0
E1280,6926.746066285714
E1281,213.6
E1282,7501.055730857143
E1284,22897.101952
E1285,4295.012004571428
E1286,2661.409032
E1287,121.2
E1288,456.0
E1289,16038.366666666665
E129,6279.9
E1290,1915.5948411428571
E1291,15659.573193142855
E1292,1454.6999999999998
E1293,56.4
E1294,5176.672361142857
E1295,7350.002838857143
E1296,5876.659961142857
E1297,52.8
E1298,82.8
E13,13068.0
E130,10624.858537142856
E1300,5808.0
E1301,24550.128612571425
E1302,14540.453382857144
E1303,34792.293113142856
E1304,24718.2
E1305,27613.379588571428
E1306,24147.000620799994
E1307,1887.6000000000001
E1308,82.8
E1309,2319.923568
E131,27983.733750857144
E1310,80.4
E1311,3814.3083291428575
E1312,3681.716989714286
E1313,108.0
E1314,18794.208754285715
E1315,102.0
E1316,4275.705915428572
E1317,2254.0969234285717
E1318,44352.0
E1319,7643.087931428572
E132,20089.841074285716
E1320,2863.1055840000004
E1321,7476.181021714286
E1322,94.80000000000001
E1323,1513.550544
E1324,20364.3
E1325,2052.1637005714288
E1326,3163.438806857143
E1327,6967.766208
E1328,132.0
E1329,20578.746312000003
E133,46112.760120000006
E1330,176.4
E1331,6762.239485714286
E1332,7394.023337142858
E1333,38878.7952
E1334,82051.2
E1335,50198.174451428575
E1336,44806.094641714284
E1337,21505.412561142857
E1338,24118.523050285716
E1339,15550.376602285714
E134,21226.30455085714
E1340,17859.12809142857
E1341,15571.616314285715
E1342,36621.9
E1343,22385.09533714286
E1344,16294.678481142857
E1345,40671.56247257143
E1346,15668.07969257143
E1347,54777.67993866667
E1348,21715.33982914286
E1349,75641.75489142857
E135,20576.908176
E1350,29433.443064
E1351,1778.7
E1352,6951.727791428571
E1353,24060.576442285717
E1354,140.39999999999998
E1355,14265.900000000001
E1356,25110.0
E1357,7541.453321142857
E1358,7096.596946285715
E1359,25330.35779485714
E136,33361.567404
E1360,5264.033125714286
E1361,4631.727826285714
E1362,14189.22766457143
E1363,7704.101766857143
E1364,6800.167340571428
E1365,5585.297485714285
E1366,8847.943625142858
E1367,106.8
E1368,106.8
E1369,3917.618562857143
E137,15977.859925714287
E1370,6901.673965714286
E1371,66762.98010857144
E1372,90036.0
E1373,17357.692729714287
E1374,26581.09251771429
E1375,24501.181695085714
E1376,162.0
E1377,19296.941266285714
E1378,18750.127104000003
E1379,45594.0
E138,25031.76953142857
E1380,7577.91741257143
E1381,29623.18912114286
E1382,18826.8
E1383,5568.9496968
E1384,2232.1579885714286
E1385,18452.080525714286
E1386,18971.48115942857
E1387,1492.298742857143
E1388,55647.07948571429
E1389,7529.250089142857
E139,26988.851135999997
E1390,214692.0
E1391,4541.132228571429
E1392,1633.6218171428573
E1393,3970.1325600000005
E1394,12729.08561142857
E1395,11955.552294857142
E1396,2795.1000000000004
E1397,73.2
E1398,6321.359204571429
E1399,1312.643965714286
E14,2392.7768571428574
E140,1070.821817142857
E1400,4628.203501714286
E1401,17008.48793142857
E1402,1324.4706102857144
E1403,19166.092189714287
E1404,5829.370278857143
E1405,5220.666445714285
E1406,6900.623568
E1407,66.0
E1408,2152.9421897142856
E1409,2054.4481302857143
E141,16861.683480000003
E1410,2722.269721714286
E1411,16745.51705142857
E1412,19678.113360000003
E1413,7797.507997714287
E1414,62.400000000000006
E1415,99.6
E1416,5244.951977142857
E1417,24244.088115428574
E1418,22654.63470857143
E1419,17736.027826285714
E142,105.6
E1420,6056.648832
E1421,158374.5
E1422,23268.3
E1423,9089.756845714284
E1424,24208.842041142856
E1425,7983.509228571429
E1426,21221.4948
E1427,15551.533251428573
E1428,29677.641444
E1429,23798.437522285716
E143,32544.127488000002
E1430,13532.147982857143
E1431,2957.609334857143
E1432,5946.961220571429
E1433,3913.1441211428573
E1434,7204.399894285715
E1435,103.2
E1436,5153.064794285714
E1437,102.0
E1438,21251.919257142858
E1439,192.0
E144,19385.79937714286
E1440,37104.16940571428
E1441,6761.401398857142
E1442,9332.967291428571
E1443,132.0
E1444,31049.7
E1445,0.0
E1446,12542.814565714287
E1447,10776.109697142858
E1448,84.0
E1449,4804.324885714286
E145,7010.731776
E1450,283.2
E1451,12570.90204
E1452,19927.922077714284
E1453,4873.376153142857
E1455,1841.7852685714288
E1456,20676.69762857143
E1457,6355.215332571429
E1458,4784.607997714285
E1459,97.2
E146,28486.013194285715
E1460,8113.003501714285
E1461,11325.599999999999
E1462,10431.776194285714
E1463,5697.559367619047
E1464,9104.395714285714
E1465,1751.7149074285715
E1466,30074.670701714283
E1467,9581.047858285714
E1468,140891.4
E1469,26231.969742857145
E147,20333.982109714285
E1470,5699.1
E1471,0.0
E1472,13420.099999999999
E1473,514.8
E1474,4283.944862171428
E1475,11210.74104
E1476,25715.80794857143
E1477,100.8
E1478,12209.249605714285
E1479,19973.986130285713
E148,68607.67299428572
E1480,2825.1
E1481,78.0
E1482,213.6
E1483,24774.533708571427
E1484,5071.308531428572
E1485,346239.73784228566
E1486,169649.82444
E1487,77879.09090742856
E1488,123120.0
E1489,11138.510959238096
E149,4154.197254857143
E1490,11160.84
E1491,74.4
E1492,49896.0
E1493,21578.09742857143
E1494,32031.467136000003
E1495,15618.096373714287
E1496,14170.415314285714
E1497,9007.569497142858
E1498,20095.007310857145
E1499,43164.0
E15,10154.199668571428
E150,44640.89405142857
E1500,10355.674358857144
E1501,26353.8
E1502,27613.379588571424
E1503,8793.148234971428
E1504,17164.3
E1505,78408.0
E1506,44937.0
E1507,32604.79398247619
E1508,6675.6691200000005
E1509,24494.902861714283
E151,30119.2
E1510,29788.44881980952
E1511,25242.06111542857
E1512,9839.05668
E1513,17631.522222857144
E1514,17816.09010742857
E1515,73025.74810514285
E1516,1836.0888548571425
E1517,64458.61232457142
E1518,49901.42454514286
E1519,3500.287474285715
E152,5447.841181714286
E1520,9759.614674285715
